pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL
1,"S/ 402,000 · USD 120,000",,Cercado DE Lima,"Lima Cercado, Lima",94 m² tot.,5 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-venta-en-2do-piso-perfecto-para-airbnb-149119383.html?n_src=Listado&n_pg=1&n_pos=11
1,"S/ 1,608,630 · USD 430,000",S/ 728 Mantenimiento,"Calle La Republica 833, San Isidro, Lima","El Olivar, San Isidro",135 m² tot.,3 dorm.,2 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin--vive-en-la-zona-mas-exclusiva-de-lima!-a-30-m-del-147472760.html?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=12
1,"S/ 1,747,200 · USD 520,000",S/ 600 Mantenimiento,"Calle Via Lactea, Cerca a la Universidad de Lima, Surco","Santiago de Surco, Lima",400 m² tot.,4 dorm.,4 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-de-exclusivo-duplex-de-400-m-sup2--a-espaldas-u-148545161.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=13
1,"S/ 190,000 · USD 56,547",,Pedro Garezon,"Lima Cercado, Lima",63 m² tot.,3 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-cercado-de-lima-148333361.html?n_src=Listado&n_pg=1&n_pos=14
1,"S/ 350,000 · USD 104,155",,Calle Porras Barrenechea al 2061,"Lima Cercado, Lima",98 m² tot.,,1 baño,,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-cercado-de-lima-148547590.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=15
1,"S/ 448,000 · USD 129,855",,Flat de 1 Dormitorio De39m2 + Cochera de en Surco Cerca a la Universidad de Lima Av. El Derby,"Santiago de Surco, Lima",39 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-de-1-dormitorio-cochera-en-surco-cerca-a-149669435.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=16
1,"S/ 408,690 · USD 119,500",,Calle Diego Quispe Tito al 100,"San Miguel, Lima",95 m² tot.,3 dorm.,3 baños,,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-san-miguel-lima-149003807.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=17
1,"S/ 1,959,750 · USD 585,000",S/ 990 Mantenimiento,Lima Golf Club,"San Isidro, Lima",244 m² tot.,3 dorm.,4 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-vendo-departamento-en-sani-isidro-149896772.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=18
1,"S/ 945,000 · USD 270,000",,Calle Mariscal Juan Miller 2543,"Lince, Lima",105 m² tot.,3 dorm.,3 baños,,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-flat-en-lince-lima-listo-para-mudarte!-148896120.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=19
1,"S/ 1,220,000 · USD 360,000",,"Lima Polo Hunt- Bello Duplex de 277 mt2 con Terraza Y Piscina Propia, 3d, 2 Cocheras Paralelas","Monterrico, Santiago de Surco",277 m² tot.,3 dorm.,4 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-duplex-en-venta-de-277-m-sup2--terraza-y-piscina-3-149847548.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=20
