iter	RMSE
0	675.7613675
1	668.6823931
2	661.1332002
3	653.7489968
4	646.4565294
5	639.1896323
6	632.0173659
7	624.9383079
8	616.6345357
9	610.1259578
10	603.6898433
11	597.3253462
12	590.7013853
13	584.4774198
14	578.322644
15	572.2643942
16	566.2696079
17	559.9699991
18	552.6014356
19	547.3383821
20	541.5780165
21	535.904687
22	529.9588001
23	524.108557
24	518.6182297
25	513.1854167
26	506.7562059
27	501.4290071
28	494.2952798
29	489.1172632
30	484.0660293
31	478.7469756
32	473.7318361
33	468.7692329
34	463.8586157
35	458.9994399
36	454.2167226
37	449.2134377
38	444.5076783
39	439.8367384
40	435.0140878
41	430.4570744
42	425.9685936
43	421.5063368
44	417.1122476
45	412.7427659
46	408.4190569
47	404.1406412
48	399.8931903
49	395.7040878
50	391.5785346
51	387.4969904
52	383.437745
53	379.4210223
54	375.4463771
55	371.5133685
56	367.6419254
57	363.7906727
58	359.9797641
59	356.2087768
60	352.4772927
61	348.7848979
62	345.131183
63	341.5157428
64	337.9381764
65	334.3980869
66	330.8950819
67	327.4287727
68	323.9987751
69	320.6047086
70	317.2461968
71	313.9228673
72	310.6343515
73	307.3802847
74	304.1603061
75	300.9740585
76	297.8211886
77	294.7013468
78	291.6141871
79	288.5593671
80	285.536548
81	282.5453946
82	279.5855752
83	276.6567615
84	273.7586288
85	270.8908556
86	268.053124
87	265.2451191
88	262.4665297
89	259.7170475
90	256.9963677
91	254.3041884
92	251.6402113
93	249.0041408
94	246.3956846
95	243.8145534
96	241.260461
97	238.7331241
98	236.2322625
99	233.7575988
100	231.3088586
101	228.8857702
102	226.4880651
103	224.1154772
104	221.7677436
105	219.4446037
106	217.1458
107	214.8710775
108	212.6201841
109	210.3928699
110	208.1888882
111	206.0079943
112	203.8499466
113	201.7145055
114	199.6014344
115	197.5104989
116	195.4414671
117	193.3941096
118	191.3681992
119	189.3635114
120	187.3798238
121	185.4169164
122	183.4745716
123	181.5525739
124	179.6507102
125	177.7687695
126	175.9065433
127	174.0638249
128	172.24041
129	170.4360963
130	168.6506839
131	166.8839746
132	165.1357726
133	163.405884
134	161.6941169
135	160.0002815
136	158.32419
137	156.6656565
138	155.024497
139	153.4005296
140	151.7935741
141	150.2034524
142	148.6299881
143	147.0730067
144	145.5323355
145	144.0078038
146	142.4992423
147	141.0064839
148	139.5293629
149	138.0677156
150	136.6213798
151	135.1901953
152	133.7740031
153	132.3726464
154	130.9859697
155	129.6138191
156	128.2560426
157	126.9124896
158	125.583011
159	124.2674595
160	122.965689
161	121.6775554
162	120.4029156
163	119.1416284
164	117.8935539
165	116.6585537
166	115.4364908
167	114.2272296
168	113.0306362
169	111.8465777
170	110.6749229
171	109.5155418
172	108.3683059
173	107.2330879
174	106.1097619
175	104.9982034
176	103.8982891
177	102.8098971
178	101.7329065
179	100.667198
180	99.61265334
181	98.56915566
182	97.53658919
183	96.51483943
184	95.50379306
185	94.50333797
186	93.51336319
187	92.53375895
188	91.5644166
189	90.60522866
190	89.65608873
191	88.71689158
192	87.78753303
193	86.86791003
194	85.95792058
195	85.05746379
196	84.16643977
197	83.28474972
198	82.41229587
199	81.54898145
200	80.69471073
201	79.84938897
202	79.01292242
203	78.18521832
204	77.36618488
205	76.55573127
206	75.75376761
207	74.96020496
208	74.17495532
209	73.39793161
210	72.62904764
211	71.86821817
212	71.1153588
213	70.37038605
214	69.63321731
215	68.90377081
216	68.18196567
217	67.46772184
218	66.76096011
219	66.0616021
220	65.36957025
221	64.68478781
222	64.00717886
223	63.33666823
224	62.67318157
225	62.0166453
226	61.36698661
227	60.72413346
228	60.08801455
229	59.45855934
230	58.83569801
231	58.21936151
