precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa
2200.0,,,83.0,3.0,2.0,,12.0,258.0,2026-03-01,san miguel,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-san-miguel-lima-149123355.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=4,"padre urraca 111, san miguel"
1800.0,,210.0,69.0,3.0,2.0,,6.0,306.0,2026-02-28,brena,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-cercado-de-lima-limite-149122221.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=5,"av venezuela 1839, brena"
2900.0,850.0,200.0,62.0,,,,0.0,,2026-03-12,san isidro,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-estreno-en-alquiler-149249803.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=6,"javier prado este al 500, san isidro"
5500.0,1650.0,550.0,140.0,3.0,2.0,1.0,10.0,163.0,2026-01-14,surco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-3-dorm.-vista-hipodromo-u-145168842.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=7,"av manuel olguin, santiago de surco"
8500.0,2500.0,980.0,220.0,3.0,3.0,2.0,5.0,97.0,2025-12-01,surco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-3-dorm.-u.-lima-roosevelt-148211631.html?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=8,"av circunvalacion el club el golf los incas 148, santiago de surco"
2800.0,,,64.0,2.0,2.0,1.0,4.0,,2026-03-13,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-magdalena-149258451.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=9,"jr tacna al 300, lima"
3490.0,1000.0,450.0,103.0,1.0,1.0,1.0,4.0,18.0,2026-03-04,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-magdalena-149159491.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=10,"uan nolberto elespuru al 700, lima"
3450.0,,380.0,90.0,2.0,2.0,1.0,4.0,111.0,2026-02-18,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-miraflores-90-m-02-dorm.-01-cochera-amoblado-y-148999958.html?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=11,"grimaldo del solar, lima"
4355.0,1300.0,,100.0,1.0,2.0,1.0,0.0,,2026-01-14,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-san-isidro-centro-financiero-alquiler-duplex-con-148643188.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=12,"san isidro av rivera navarrete 546, lima"
2399.0,,,73.0,3.0,2.0,1.0,0.0,190.0,2026-02-10,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-de-estreno-03-dorm.-148924040.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=13,"republica de venezuela al 2500, lima cercado"
3570.0,1050.0,380.0,124.0,3.0,3.0,1.0,35.0,16.0,2026-03-14,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-124-m-sup2--sin-amoblar-en-149261093.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=14,"calle san martin miraflores 5, miraflores"
