precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa,latitud,longitud,num_colegios_aprox,num_hospitales_aprox,num_tren_est_aprox,num_metro_est_aprox,num_comisarias_aprox,num_delitos_aprox,set
4617.0,1350.0,,146.0,2.0,3.0,0.0,12.0,129.0,2026-04-25,barranco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-1er-piso-en-un-condominio-149459768.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=24,"pje belen 116 barranco 15063 peru, barranco",-12.1541508,-77.0240662,3,2,0,0,0,12,train
2900.0,,,100.0,3.0,3.0,0.0,5.0,,2026-04-27,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-lince-03-dorm.-100-m-amoblado-y-equipado-149674426.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=13,"av cesar vallejo, lince",-12.0885688,-77.0409569,10,1,0,0,0,27,train
2600.0,750.0,180.0,48.0,1.0,1.0,1.0,0.0,40.0,2026-04-24,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-miraflores-149647042.html?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=27,"av el ejercito 1194, miraflores",-12.111009,-77.0504996,1,0,0,0,0,13,train
3600.0,1050.0,350.0,93.0,1.0,1.0,1.0,11.0,228.0,2026-04-27,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-1-dormitorio-cerca-a-larcomar-149248767.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=17,"dalias 275, miraflores",-12.1308415,-77.0288812,1,1,0,0,0,6,train
3773.0,1100.0,720.0,125.0,2.0,4.0,2.0,13.0,60.0,2026-04-24,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-duplex-con-balcon-en-149642069.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=30,"calle santa isabel al 100, miraflores",-12.1224896,-77.03135019999999,5,2,0,0,0,21,train
4437.0,1300.0,450.0,105.0,2.0,2.0,1.0,12.0,148.0,2026-04-27,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-amoblado-y-equipado-142701749.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=15,"juan fanning, miraflores",-12.129781,-77.0298418,1,0,0,0,0,8,train
3365.0,970.0,450.0,108.0,1.0,1.0,1.0,4.0,56.0,2026-03-04,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-magdalena-149159491.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=10,"uan nolberto elespuru al 700, lima",-11.9560671,-77.0416043,10,0,0,0,0,75,train
1450.0,,160.0,73.0,2.0,2.0,0.0,5.0,1188.0,2026-03-24,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-moderno-departamento-en-prolongacion-arica-149341637.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=12,"casapalca 1674 arica cercado, lima cercado",-12.0530507,-77.0632131,12,0,0,0,0,31,train
3300.0,,400.0,98.0,2.0,2.0,1.0,9.0,34.0,2026-04-27,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-acogedor-dpto.-duplex-2-dorm.-cerca-al-malecon-de-149664070.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=18,"berlin al 800, miraflores",34.1785191,-86.742541,0,0,0,0,0,0,train
2700.0,,150.0,55.0,2.0,1.0,1.0,0.0,86.0,2026-04-24,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquier-excelente-ubicacion-lindas-145016038.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=26,"calle soledad esquina con av arequipa, lince",-12.0846557,-77.034531,14,4,0,0,0,46,train
2400.0,688.0,311.0,70.0,2.0,2.0,1.0,3.0,81.0,2026-04-12,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-de-70-m-sup2--de-2-dorm.-en-149514792.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=7,"av arequipa 768, lima cercado",-12.0720469,-77.0366021,11,4,0,0,1,11,train
13800.0,4000.0,1450.0,240.0,3.0,3.0,2.0,4.0,69.0,2026-04-25,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-espectacular-departamento-en-edificio-con-91048253.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=22,"malecon de la marina, miraflores",-12.1152552,-77.0484237,2,0,0,0,0,12,train
3700.0,,175.0,73.0,3.0,2.0,0.0,15.0,41.0,2026-04-24,magdalena,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-magdalena-del-mar-full-149642693.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=29,"jiron libertad 11, magdalena",-12.0886947,-77.0838096,20,0,0,0,1,43,train
2500.0,676.0,340.0,95.0,3.0,2.0,0.0,2.0,219.0,2026-04-24,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-santa-beatriz-149372398.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=8,"jiron enrrique barron santa beatriz cercado de lima, lima cercado",-12.0741788,-77.0332702,9,3,0,0,0,85,eval
3048.0,824.0,432.0,68.0,2.0,1.0,1.0,0.0,378.0,2026-04-27,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-exclusivos-departamentos-desde-los-56-m-sup2--146042237.html?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=16,"av ricardo palma, miraflores",-12.1225062,-77.0208304,3,1,0,1,1,24,eval
2800.0,809.0,300.0,89.0,2.0,2.0,1.0,12.0,,2026-04-26,barranco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-de-2-dorm-2-banos-en-149656432.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=21,"perez roca al 100 2 dorm sin amoblar o con linea blanca, barranco",-12.1423061,-77.0232349,10,0,0,0,1,26,eval
