precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa,latitud,longitud,num_colegios_aprox,num_hospitales_aprox,num_tren_est_aprox,num_metro_est_aprox,num_comisarias_aprox,num_delitos_aprox,set,total_ambientes,total_servicios_prox,total_transporte_aprox,flg_estac,flg_tren,flg_metro,precio_por_m2,costo_total_mensual,score_ubicacion,categoria_precio,decada_construccion,zona_apeim,zona_apeim_cod,tamano,antiguedad_categoria,tamano_cod,antiguedad_cod,nivel_socioeconomico_cod,categoria_crimenes,categoria_crimenes_cod,tipo_vivienda_cod,tipo_vivienda
3700.0,1100.0,300.0,60.0,2.0,2.0,1.0,3.0,16.0,2026-04-30,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-miraflores:-dpto-amoblado-70-m-sup2--2-dorm-2-banos-149591166.html?n_src=Listado&n_pills=Parrilla&n_pg=31&n_pos=9,"calle grimaldo del solar 248, miraflores",-12.1243673,-77.02602949999999,3,0,0,1,0,8,train,4.0,4,1,1,0,1,61.666666666666664,4000.0,2.8,Bajo,2020.0,zona 7,7,mediano,nuevo,2.0,1.0,1.0,nivel_1,1,0,Medio
2900.0,870.0,,75.0,3.0,2.0,1.0,0.0,21.0,2026-04-07,san miguel,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-flat-de-estreno-en-san-miguel-3dorm-149468408.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=93&n_pos=25,"hermanos catari 3, san miguel",-12.0747954,-77.1008502,14,2,0,0,0,10,train,5.0,16,0,1,0,0,38.666666666666664,,9.6,Bajo,2020.0,zona 6,6,mediano,nuevo,2.0,1.0,2.0,nivel_2,2,0,Medio
3277.0,950.0,250.0,59.0,2.0,2.0,1.0,0.0,25.0,2026-03-28,magdalena,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-magdalena-limite-con-san-149397397.html?n_src=Listado&n_pills=Gimnasio&n_pg=37&n_pos=27,"jiron domingo ponte 654, magdalena",-12.0947209,-77.065288,19,0,0,0,0,12,train,4.0,19,0,1,0,0,55.54237288135593,3527.0,11.4,Bajo,2020.0,zona 6,6,mediano,nuevo,2.0,1.0,2.0,nivel_2,2,0,Medio
2600.0,751.0,,120.0,3.0,3.0,0.0,0.0,,2026-04-07,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-lurin-149471189.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=73&n_pos=16,"dpto 201 - segundo piso lote 26 de la manzana calle las algas distrito lurin, lima",-12.3017355,-76.8516775,3,0,0,0,0,5,train,6.0,3,0,0,0,0,21.666666666666668,,1.7999999999999998,Bajo,2020.0,zona 4,4,grande,nuevo,3.0,1.0,3.0,nivel_1,1,1,Premium
3060.0,850.0,200.0,58.0,2.0,2.0,0.0,0.0,38.0,2025-11-22,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-de-estreno-en-la-aurora-146795819.html?n_src=Listado&n_pills=Gimnasio&n_pg=86&n_pos=19,"av roosvelt, miraflores",-12.1262423,-77.0180857,8,2,0,0,0,9,train,4.0,10,0,0,0,0,52.758620689655174,3260.0,6.0,Bajo,2020.0,zona 7,7,mediano,nuevo,2.0,1.0,1.0,nivel_1,1,0,Medio
1500.0,,150.0,65.0,3.0,2.0,0.0,9.0,76.0,2026-05-01,santa anita,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-los-nogales-149620398.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=62&n_pos=7,"av los nogales 265, santa anita",-12.0549753,-76.9772833,12,0,0,0,0,16,train,5.0,12,0,0,0,0,23.076923076923077,1650.0,7.199999999999999,Muy Bajo,2010.0,zona 5,5,mediano,seminuevo,2.0,2.0,2.0,nivel_2,2,2,Económico
8710.0,2800.0,1200.0,320.0,3.0,3.0,3.0,10.0,80.0,2026-04-17,surco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-vendo-moderno-pent-house-domotizado-de-3-148200057.html?n_src=Listado&n_pills=Ascensor&n_pg=64&n_pos=18,"av de los precursores, santiago de surco",-12.1160371,-76.9802169,6,0,0,0,0,6,train,6.0,6,0,1,0,0,27.21875,9910.0,3.5999999999999996,Muy Alto,2010.0,zona 7,7,grande,seminuevo,3.0,2.0,1.0,nivel_1,1,1,Premium
5055.0,1500.0,680.0,127.0,1.0,1.0,2.0,11.0,110.0,2026-03-26,surco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-precioso-departamento-cerros-de-camacho-148836763.html?n_src=Listado&n_pills=Gimnasio&n_pg=29&n_pos=16,"calle cerros de camacho 1050 - 1201d, santiago de surco",-12.0814757,-76.9601898,0,0,0,0,0,1,train,2.0,0,0,1,0,0,39.803149606299215,5735.0,0.0,Medio,2010.0,zona 7,7,grande,seminuevo,3.0,2.0,1.0,nivel_1,1,1,Premium
3790.0,1100.0,400.0,100.0,3.0,1.0,1.0,18.0,329.0,2026-03-03,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-lindo-departamento-amoblado-3-dorm.-149147492.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=4&n_pos=26,"grau 490, miraflores",-12.0578231,-77.0212363,10,3,0,0,0,126,train,4.0,13,0,1,0,0,37.9,4190.0,7.8,Bajo,2000.0,zona 7,7,mediano,seminuevo,2.0,2.0,1.0,nivel_4,4,2,Económico
1800.0,,300.0,48.0,1.0,1.0,1.0,0.0,151.0,2026-04-18,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-miniduplex-1dorm-cercado-de-lima-limite-149277317.html?n_src=Listado&n_pills=Piscina&n_pg=29&n_pos=20,"teodoro cardenas 323 lima, lima cercado",-12.077399,-77.03422929999999,13,3,0,0,0,77,train,2.0,16,0,1,0,0,37.5,2100.0,9.6,Muy Bajo,2020.0,zona 4,4,pequeno,nuevo,1.0,1.0,3.0,nivel_4,4,0,Medio
