precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa,latitud,longitud,num_colegios_aprox,num_hospitales_aprox,num_tren_est_aprox,num_metro_est_aprox,num_comisarias_aprox,num_delitos_aprox,set,total_ambientes,total_servicios_prox,total_transporte_aprox,flg_estac,flg_tren,flg_metro,precio_por_m2,costo_total_mensual,score_ubicacion,categoria_precio,decada_construccion,zona_apeim,zona_apeim_cod,tamano,antiguedad_categoria,tamano_cod,antiguedad_cod,nivel_socioeconomico_cod,categoria_crimenes,categoria_crimenes_cod,tipo_vivienda_cod,tipo_vivienda
3700.0,1100.0,300.0,60.0,2.0,2.0,1.0,3.0,16.0,2026-04-30,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-miraflores:-dpto-amoblado-70-m-sup2--2-dorm-2-banos-149591166.html?n_src=Listado&n_pills=Parrilla&n_pg=31&n_pos=9,"calle grimaldo del solar 248, miraflores",-12.1243673,-77.02602949999999,3,0,0,1,0,8,train,4.0,4,1,1,0,1,61.66666666666666,4000.0,2.8,Bajo,2020.0,zona 7,7,mediano,nuevo,2.0,1.0,1.0,nivel_1,1,0,Medio
3060.0,850.0,200.0,58.0,2.0,2.0,0.0,0.0,38.0,2025-11-22,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-de-estreno-en-la-aurora-146795819.html?n_src=Listado&n_pills=Gimnasio&n_pg=86&n_pos=19,"av roosvelt, miraflores",-12.1262423,-77.0180857,8,2,0,0,0,9,train,4.0,10,0,0,0,0,52.75862068965517,3260.0,6.0,Bajo,2020.0,zona 7,7,mediano,nuevo,2.0,1.0,1.0,nivel_1,1,0,Medio
3790.0,1100.0,400.0,100.0,3.0,1.0,1.0,18.0,329.0,2026-03-03,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-lindo-departamento-amoblado-3-dorm.-149147492.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=4&n_pos=26,"grau 490, miraflores",-12.0578231,-77.0212363,10,3,0,0,0,126,train,4.0,13,0,1,0,0,37.9,4190.0,7.8,Bajo,2000.0,zona 7,7,mediano,seminuevo,2.0,2.0,1.0,nivel_4,4,2,Económico
3332.0,980.0,270.0,105.0,3.0,3.0,1.0,15.0,135.0,2026-03-11,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-en-miraflores-con-vista-149234875.html?n_src=Listado&n_pills=Seguridad&n_pg=84&n_pos=18,"calle general suarez 1120, miraflores",-12.1091377,-77.0274141,11,2,0,1,0,25,train,6.0,14,1,1,0,1,31.73333333333333,3602.0,8.8,Bajo,2010.0,zona 7,7,grande,seminuevo,3.0,2.0,1.0,nivel_3,3,1,Premium
3900.0,196800.0,380.0,100.0,2.0,3.0,1.0,8.0,28.0,,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-cerca-al-parque-kennedy-con-balcon-57907858.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=27&n_pos=6,"av arequipa 4988, miraflores",-12.1158151,-77.0297552,7,1,0,2,1,48,train,5.0,11,2,1,0,1,39.0,4280.0,7.399999999999999,Bajo,2010.0,zona 7,7,mediano,seminuevo,2.0,2.0,1.0,nivel_3,3,1,Premium
3750.0,1000.0,500.0,115.0,2.0,2.0,2.0,8.0,177.0,2026-04-15,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-hermoso-duplex-amoblado-2-dorm.-en-52911230.html?n_src=Listado&n_pills=Ascensor&n_pg=35&n_pos=21,"buenos aires, miraflores",-34.6036739,-58.3821215,0,0,0,0,0,0,train,4.0,0,0,1,0,0,32.608695652173914,4250.0,0.0,Bajo,2010.0,zona 7,7,grande,seminuevo,3.0,2.0,1.0,nivel_1,1,1,Premium
5100.0,1500.0,550.0,121.0,3.0,2.0,2.0,2.0,260.0,2026-04-29,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-en-c.-samuel-marquez-cerca-a-149537333.html?n_src=Listado&n_pills=Seguridad&n_pg=2&n_pos=2,"samuel marquez al 100, miraflores",-12.1334146,-77.022315,11,2,0,0,0,11,train,5.0,13,0,1,0,0,42.14876033057851,5650.0,7.8,Medio,2020.0,zona 7,7,grande,nuevo,3.0,1.0,1.0,nivel_2,2,1,Premium
3100.0,925.0,,91.0,2.0,2.0,1.0,20.0,29.0,2026-04-20,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin--tu-hogar-sonado-en-el-corazon-de-miraflores!-149585046.html?n_src=Listado&n_pills=Amoblado&n_pg=56&n_pos=30,"c bajada balta, miraflores",-12.1257174,-77.0340022,4,1,0,0,0,14,train,4.0,5,0,1,0,0,34.065934065934066,,3.0,Bajo,2000.0,zona 7,7,mediano,seminuevo,2.0,2.0,1.0,nivel_2,2,2,Económico
3785.0,1100.0,350.0,68.0,1.0,2.0,0.0,5.0,112.0,2026-04-06,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-moderno-departamento-de-1-habitacion-miraflores-149454383.html?n_src=Listado&n_pills=Amoblado&n_pg=4&n_pos=8,"calle jose gonzales 640, miraflores",-12.1295001,-77.0279564,1,1,0,0,0,7,train,3.0,2,0,0,0,0,55.66176470588236,4135.0,1.2,Bajo,2020.0,zona 7,7,mediano,nuevo,2.0,1.0,1.0,nivel_1,1,0,Medio
4500.0,,550.0,95.0,3.0,3.0,1.0,0.0,53.0,2026-04-15,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-3-habitaciones-de-estreno-mij141-148745681.html?n_src=Listado&n_pills=Piscina&n_pg=35&n_pos=26,"calle bolivar, miraflores",-12.1258688,-77.026949,1,0,0,1,0,7,train,6.0,2,1,1,0,1,47.36842105263158,5050.0,1.6,Medio,2020.0,zona 7,7,mediano,nuevo,2.0,1.0,1.0,nivel_1,1,1,Premium
3100.0,,350.0,65.0,2.0,2.0,1.0,0.0,70.0,2026-04-19,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-miraflores-alquilo-departamento-estreno-65-m-sup2-149582202.html?n_src=Listado&n_pills=Ascensor&n_pg=34&n_pos=25,"parque kennedy, miraflores",-12.1217856,-77.03044899999999,5,0,0,0,0,21,train,4.0,5,0,1,0,0,47.69230769230769,3450.0,3.0,Bajo,2020.0,zona 7,7,mediano,nuevo,2.0,1.0,1.0,nivel_2,2,0,Medio
2736.0,800.0,,65.0,2.0,2.0,0.0,3.0,71.0,2026-03-13,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-espectacular-departamento-con-acabados-de-primera-149118905.html?n_src=Listado&n_pills=Ascensor&n_pg=84&n_pos=13,"calle general suarez 739, miraflores",-12.1131401,-77.02750259999999,12,2,0,3,1,38,train,4.0,18,3,0,0,1,42.09230769230769,,12.0,Bajo,2020.0,zona 7,7,mediano,nuevo,2.0,1.0,1.0,nivel_3,3,0,Medio
