precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa,latitud,longitud,num_colegios_aprox,num_hospitales_aprox,num_tren_est_aprox,num_metro_est_aprox,num_comisarias_aprox,num_delitos_aprox,set,total_ambientes,total_servicios_prox,total_transporte_aprox,flg_estac,flg_tren,flg_metro,precio_por_m2,costo_total_mensual,score_ubicacion,categoria_precio,decada_construccion,zona_apeim,zona_apeim_cod,tamano,antiguedad_categoria,tamano_cod,antiguedad_cod,nivel_socioeconomico_cod,categoria_crimenes,categoria_crimenes_cod,tipo_vivienda_cod,tipo_vivienda
4617.0,1350.0,,146.0,2.0,3.0,0.0,12.0,129.0,2026-04-25,barranco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-1er-piso-en-un-condominio-149459768.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=24,"pje belen 116 barranco 15063 peru, barranco",-12.1541508,-77.0240662,3,2,0,0,0,12,train,5.0,5,0,0,0,0,31.62328767123288,,3.0,Bajo,2010.0,zona 8,8,grande,seminuevo,3.0,2.0,1.0,nivel_1,1,0,Medio
2900.0,,,100.0,3.0,3.0,0.0,5.0,,2026-04-27,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-lince-03-dorm.-100-m-amoblado-y-equipado-149674426.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=13,"av cesar vallejo, lince",-12.0885688,-77.0409569,10,1,0,0,0,27,train,6.0,11,0,0,0,0,29.0,,6.6,Muy Bajo,2020.0,zona 6,6,mediano,nuevo,2.0,1.0,2.0,nivel_2,2,2,Económico
3365.0,970.0,450.0,108.0,1.0,1.0,1.0,4.0,56.0,2026-03-04,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-magdalena-149159491.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=10,"uan nolberto elespuru al 700, lima",-11.9560671,-77.0416043,10,0,0,0,0,75,train,2.0,10,0,1,0,0,31.15740740740741,3815.0,6.0,Muy Bajo,2020.0,zona 4,4,grande,nuevo,3.0,1.0,3.0,nivel_4,4,1,Premium
1450.0,,160.0,73.0,2.0,2.0,0.0,5.0,1188.0,2026-03-24,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-moderno-departamento-en-prolongacion-arica-149341637.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=12,"casapalca 1674 arica cercado, lima cercado",-12.0530507,-77.0632131,12,0,0,0,0,31,train,4.0,12,0,0,0,0,19.863013698630137,1610.0,7.199999999999999,Muy Bajo,2020.0,zona 4,4,mediano,nuevo,2.0,1.0,3.0,nivel_2,2,1,Premium
2700.0,,150.0,55.0,2.0,1.0,1.0,0.0,86.0,2026-04-24,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquier-excelente-ubicacion-lindas-145016038.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=26,"calle soledad esquina con av arequipa, lince",-12.0846557,-77.034531,14,4,0,0,0,46,train,3.0,18,0,1,0,0,49.09090909090909,2850.0,10.8,Muy Bajo,2020.0,zona 6,6,mediano,nuevo,2.0,1.0,2.0,nivel_3,3,1,Premium
2400.0,688.0,311.0,70.0,2.0,2.0,1.0,3.0,81.0,2026-04-12,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-de-70-m-sup2--de-2-dorm.-en-149514792.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=7,"av arequipa 768, lima cercado",-12.0720469,-77.0366021,11,4,0,0,1,11,train,4.0,16,0,1,0,0,34.285714285714285,2711.0,9.6,Muy Bajo,2020.0,zona 4,4,mediano,nuevo,2.0,1.0,3.0,nivel_1,1,1,Premium
3700.0,,175.0,73.0,3.0,2.0,0.0,15.0,41.0,2026-04-24,magdalena,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-magdalena-del-mar-full-149642693.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=29,"jiron libertad 11, magdalena",-12.0886947,-77.0838096,20,0,0,0,1,43,train,5.0,21,0,0,0,0,50.68493150684932,3875.0,12.6,Muy Bajo,2010.0,zona 6,6,mediano,seminuevo,2.0,2.0,2.0,nivel_3,3,2,Económico
2500.0,676.0,340.0,95.0,3.0,2.0,0.0,2.0,219.0,2026-04-24,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-santa-beatriz-149372398.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=8,"jiron enrrique barron santa beatriz cercado de lima, lima cercado",-12.0741788,-77.0332702,9,3,0,0,0,85,eval,5.0,12,0,0,0,0,26.31578947368421,2840.0,7.199999999999999,Muy Bajo,2020.0,zona 4,4,mediano,nuevo,2.0,1.0,3.0,nivel_4,4,1,Premium
2800.0,809.0,300.0,89.0,2.0,2.0,1.0,12.0,,2026-04-26,barranco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-de-2-dorm-2-banos-en-149656432.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=21,"perez roca al 100 2 dorm sin amoblar o con linea blanca, barranco",-12.1423061,-77.0232349,10,0,0,0,1,26,eval,4.0,11,0,1,0,0,31.46067415730337,3100.0,6.6,Muy Bajo,2010.0,zona 8,8,mediano,seminuevo,2.0,2.0,1.0,nivel_2,2,0,Medio
2050.0,610.0,180.0,45.0,1.0,1.0,0.0,0.0,219.0,2026-04-24,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-vive-con-estilo-comodidad-y-tecnologia-cerca-parque-147022446.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=28,"av cesar vallej 320, lince",-12.0886619,-77.03608969999999,8,4,0,0,0,31,eval,2.0,12,0,0,0,0,45.55555555555556,2230.0,7.199999999999999,Muy Bajo,2020.0,zona 6,6,pequeno,nuevo,1.0,1.0,2.0,nivel_2,2,1,Premium
