mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
300.0,60.0,2.0,2.0,1.0,3.0,4,1,7,1,3700.0
200.0,58.0,2.0,2.0,0.0,0.0,10,0,7,1,3060.0
400.0,100.0,3.0,1.0,1.0,18.0,13,0,7,4,3790.0
270.0,105.0,3.0,3.0,1.0,15.0,14,1,7,3,3332.0
380.0,100.0,2.0,3.0,1.0,8.0,11,2,7,3,3900.0
500.0,115.0,2.0,2.0,2.0,8.0,0,0,7,1,3750.0
550.0,121.0,3.0,2.0,2.0,2.0,13,0,7,2,5100.0
,91.0,2.0,2.0,1.0,20.0,5,0,7,2,3100.0
350.0,68.0,1.0,2.0,0.0,5.0,2,0,7,1,3785.0
550.0,95.0,3.0,3.0,1.0,0.0,2,1,7,1,4500.0
350.0,65.0,2.0,2.0,1.0,0.0,5,0,7,2,3100.0
,65.0,2.0,2.0,0.0,3.0,18,3,7,3,2736.0
,84.0,2.0,2.0,0.0,13.0,8,0,7,3,2950.0
250.0,95.0,2.0,2.0,1.0,3.0,12,0,7,3,3325.0
650.0,130.0,2.0,3.0,2.0,12.0,13,0,7,1,9000.0
500.0,213.0,3.0,2.0,2.0,55.0,13,0,7,2,5780.0
270.0,56.0,1.0,1.0,1.0,0.0,11,0,7,1,2850.0
900.0,115.0,2.0,2.0,1.0,14.0,2,0,7,2,5862.0
,60.0,3.0,1.0,0.0,50.0,13,0,7,2,2760.0
300.0,42.0,1.0,1.0,0.0,0.0,4,1,7,1,2400.0
1.0,27.0,1.0,1.0,0.0,4.0,15,3,7,3,1870.0
380.0,82.0,2.0,2.0,1.0,4.0,4,1,7,1,3500.0
380.0,89.0,1.0,1.0,0.0,10.0,0,0,7,2,3310.0
300.0,80.0,2.0,2.0,1.0,15.0,12,0,7,4,2700.0
500.0,140.0,3.0,2.0,2.0,10.0,5,0,7,1,6174.0
825.0,219.0,3.0,3.0,0.0,13.0,4,0,7,1,8450.0
300.0,48.0,1.0,1.0,1.0,0.0,2,0,7,2,2600.0
550.0,65.0,2.0,2.0,1.0,0.0,6,1,7,2,3400.0
650.0,200.0,3.0,2.0,1.0,12.0,7,0,7,2,6900.0
350.0,58.0,2.0,2.0,0.0,0.0,2,0,7,2,2760.0
780.0,230.0,3.0,3.0,2.0,9.0,5,0,7,2,7160.0
590.0,164.0,2.0,2.0,2.0,20.0,6,1,7,2,4200.0
,40.0,1.0,1.0,0.0,30.0,12,0,7,1,2340.0
400.0,130.0,3.0,3.0,1.0,5.0,5,0,7,2,4250.0
350.0,60.0,1.0,1.0,2.0,14.0,9,0,7,2,2671.0
1200.0,200.0,3.0,3.0,3.0,2.0,8,0,7,1,9250.0
460.0,130.0,2.0,1.0,1.0,14.0,1,0,7,2,5200.0
150.0,6.0,1.0,1.0,0.0,25.0,9,0,7,3,2200.0
