mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
,75.0,3.0,2.0,1.0,0.0,16,0,6,2,2900.0
250.0,59.0,2.0,2.0,1.0,0.0,19,0,6,2,3277.0
,120.0,3.0,3.0,0.0,0.0,3,0,4,1,2600.0
150.0,65.0,3.0,2.0,0.0,9.0,12,0,5,2,1500.0
1200.0,320.0,3.0,3.0,3.0,10.0,6,0,7,1,8710.0
680.0,127.0,1.0,1.0,2.0,11.0,0,0,7,1,5055.0
300.0,48.0,1.0,1.0,1.0,0.0,16,0,4,4,1800.0
,30.0,1.0,1.0,0.0,10.0,8,0,7,1,950.0
400.0,39.0,1.0,1.0,1.0,3.0,12,1,8,3,1900.0
150.0,45.0,1.0,1.0,0.0,14.0,7,0,7,1,1750.0
190.0,51.0,2.0,2.0,0.0,3.0,11,1,6,3,2250.0
180.0,76.0,3.0,2.0,0.0,19.0,4,0,7,2,2000.0
190.0,52.0,2.0,2.0,0.0,7.0,12,0,6,2,1700.0
180.0,45.0,1.0,1.0,0.0,12.0,9,0,8,3,2277.0
220.0,42.0,1.0,1.0,0.0,0.0,24,0,6,2,2100.0
230.0,48.0,1.0,1.0,0.0,1.0,20,0,6,2,2000.0
,120.0,3.0,1.0,0.0,15.0,25,0,2,2,1500.0
160.0,55.0,2.0,2.0,0.0,0.0,3,0,8,2,1800.0
,65.0,2.0,1.0,0.0,10.0,13,0,4,4,1200.0
200.0,47.0,1.0,1.0,1.0,6.0,18,0,6,2,1800.0
60.0,50.0,1.0,1.0,0.0,20.0,2,0,6,2,1400.0
,66.0,3.0,2.0,0.0,0.0,19,0,6,3,2270.0
30.0,70.0,2.0,1.0,0.0,28.0,13,1,4,3,1700.0
120.0,70.0,3.0,2.0,0.0,12.0,12,0,6,2,2300.0
40.0,200.0,3.0,3.0,3.0,15.0,13,0,4,3,2800.0
1000.0,200.0,3.0,3.0,2.0,10.0,9,0,7,2,6534.0
,51.0,2.0,2.0,0.0,4.0,8,0,6,3,1900.0
150.0,120.0,2.0,2.0,1.0,11.0,0,0,7,1,4472.0
300.0,110.0,2.0,2.0,1.0,7.0,4,0,8,1,5640.0
300.0,65.0,2.0,2.0,1.0,3.0,5,0,8,2,3100.0
,185.0,4.0,3.0,2.0,20.0,28,0,7,3,5500.0
220.0,65.0,2.0,2.0,0.0,3.0,8,0,6,2,2200.0
200.0,82.0,3.0,2.0,1.0,7.0,1,0,10,1,6000.0
,64.0,2.0,1.0,0.0,10.0,11,0,7,2,1800.0
,128.0,4.0,4.0,0.0,7.0,21,0,2,4,1550.0
300.0,92.0,2.0,2.0,2.0,0.0,5,0,7,1,4080.0
150.0,65.0,2.0,1.0,0.0,6.0,3,0,7,2,1600.0
200.0,50.0,1.0,2.0,0.0,3.0,13,0,7,3,1100.0
180.0,77.0,3.0,2.0,1.0,10.0,11,0,6,3,2300.0
,62.0,1.0,1.0,1.0,0.0,7,1,7,1,3540.0
290.0,61.0,2.0,2.0,1.0,0.0,5,0,6,1,2100.0
,108.0,3.0,2.0,1.0,8.0,15,0,4,4,3000.0
,85.0,1.0,1.0,0.0,6.0,19,0,2,3,1000.0
