precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa,latitud,longitud
1950.0,575.0,,69.0,2.0,2.0,,0.0,,2026-05-01,san miguel,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-san-miguel-lima-149720156.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=3,"calle luis banchero rossi al 200, san miguel",-12.0759546,-77.112445
5712.0,1700.0,1000.0,120.0,2.0,2.0,,6.0,166.0,2026-01-30,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-con-terraza-y-preciosa-vista-al-mar-amoblado-y-147985913.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=4,"malecon miraflores lima, miraflores",-12.1245227,-77.0383825
15792.0,4700.0,900.0,280.0,3.0,3.0,3.0,2.0,76.0,2025-11-20,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-bellismo-y-moderno-con-amplia-terraza-areas-sociales-147778405.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=5,"malecon miraflores lima, miraflores",-12.1245227,-77.0383825
11760.0,,750.0,250.0,3.0,4.0,2.0,6.0,115.0,2025-11-20,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-con-amplia-terraza-y-bellisima-vista-al-mar!-c.-g-147778523.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=6,"malecon miraflores lima, miraflores",-12.1245227,-77.0383825
2900.0,850.0,200.0,62.0,,,,0.0,,2026-05-01,san isidro,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-estreno-en-alquiler-149249803.html?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=7,"javier prado este al 500, san isidro",-12.0833635,-76.9852257
2500.0,676.0,340.0,95.0,3.0,2.0,,2.0,209.0,2026-05-01,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-santa-beatriz-149372398.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=8,"jiron enrrique barron santa beatriz cercado de lima, lima cercado",-12.0741788,-77.0332702
1200.0,,100.0,73.0,3.0,2.0,,0.0,251.0,2026-04-09,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-comas-73.20-m-sup2--piso-149497238.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=9,"avenida a urb los parques de comas los cerezos, lima",-11.9278947,-77.0573458
3365.0,970.0,450.0,108.0,1.0,1.0,1.0,4.0,65.0,2026-03-04,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-magdalena-149159491.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=10,"uan nolberto elespuru al 700, lima",-11.9327358,-76.9553042
4437.0,1300.0,450.0,105.0,2.0,2.0,1.0,12.0,235.0,2026-05-01,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-amoblado-y-equipado-142701749.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=11,"juan fanning, miraflores",-12.129781,-77.0298418
3600.0,1050.0,350.0,93.0,1.0,1.0,1.0,11.0,248.0,2026-05-01,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-1-dormitorio-cerca-a-larcomar-149248767.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=12,"dalias 275, miraflores",-12.1308415,-77.0288812
3048.0,824.0,432.0,68.0,2.0,1.0,1.0,0.0,422.0,2026-05-01,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-exclusivos-departamentos-desde-los-56-m-sup2--146042237.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=13,"av ricardo palma, miraflores",-12.1225062,-77.0208304
4152.0,1200.0,600.0,120.0,2.0,3.0,2.0,9.0,63.0,2026-05-01,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin--cod:-mir115-departamento-duplex-amoblado-de-120-149617938.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=14,"calle porta, miraflores",-12.1265382,-77.0326576
5040.0,1500.0,400.0,180.0,3.0,4.0,2.0,0.0,225.0,2026-05-01,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-exclusivo-departamento-de-gran-metraje-en-149086238.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=15,"calle genaro iglesias al 242, miraflores",-12.1224037,-77.0137483
3000.0,,,40.0,1.0,1.0,,0.0,72.0,2026-05-01,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-loft-de-estreno-en-lince-149496740.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=16,"jr domingo casanova al 100, lince",-12.0896323,-77.0326028
2000.0,,,70.0,3.0,2.0,,2.0,155.0,2026-05-01,chorrillos,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-acogedor-departamento-en-condominio-alameda-149541044.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=17,"av las gaviotas, chorrillos",-12.1776428,-77.0058905
2300.0,,,60.0,2.0,2.0,,14.0,203.0,2026-05-01,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-en-av-arequipa-s-2300-149549188.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=18,"avenida arequipa al 1400, lince",-12.0920545,-77.0332479
6313.0,1850.0,950.0,175.0,3.0,5.0,2.0,6.0,,2026-05-01,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-de-3-dorm.-con-bano-propio-2-149718179.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=19,"malecon cisneros 153, miraflores",-12.1265124,-77.0363605
1600.0,456.0,180.0,70.0,3.0,2.0,,10.0,,2026-05-01,chorrillos,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-de-3-dorm.-en-quinto-piso-149717950.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=20,"av guardia civil 531, chorrillos",-12.1815536,-76.9992585
14070.0,4200.0,1200.0,436.0,3.0,4.0,2.0,10.0,35.0,2026-04-30,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-duplex-penthouse-con-terraza-en-el-malecon-de-149671945.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=21,"malecon armendariz 190 miraflores, miraflores",-12.136087,-77.0265457
