precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,distrito,nivel_socioeconomico,URL,direccion_completa,latitud,longitud
,,,1031.0,,,,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclniin-local-industrial-en-venta-cercado-de-lima-147077554.html?n_src=Listado&n_pg=1&n_pos=11,"av argentina_cercado de lima, lima cercado",-12.0453337,-77.062733
402000.0,120000.0,,94.0,5.0,2.0,,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-venta-en-2do-piso-perfecto-para-airbnb-149119383.html?n_src=Listado&n_pg=1&n_pos=12,"cercado de lima, lima cercado",-12.0463808,-77.0432246
290000.0,,,61.0,3.0,2.0,1.0,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclapin-se-vende-depa-en-cercado-de-lima-excelente-148518239.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=13,"jr leonardo arrieta 825 lima 15081, lima cercado",-12.0468524,-77.07216869999999
582900.0,174000.0,,96.0,4.0,3.0,1.0,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclcain-se-vende-casa-de-2-pisos-en-centro-de-lima-cruce-e.-148560705.html?n_src=Listado&n_pg=1&n_pos=14,"jiron condesuyos 499 lima 15079 peru, lima cercado",-12.0384846,-77.0507068
1608630.0,430000.0,728.0,135.0,3.0,2.0,2.0,san isidro,A,https://www.adondevivir.com/propiedades/clasificado/veclapin--vive-en-la-zona-mas-exclusiva-de-lima!-a-30-m-del-147472760.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=15,"calle la republica 833 san isidro lima, san isidro",-12.1055755,-77.0361801
1747200.0,520000.0,600.0,400.0,4.0,4.0,2.0,surco,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-de-exclusivo-duplex-de-400-m-sup2--a-espaldas-u-148545161.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=16,"calle via lactea cerca a la universidad de lima surco, santiago de surco",-12.0844624,-76.9713278
379000.0,113500.0,80.0,90.0,3.0,2.0,,ate,C,https://www.adondevivir.com/propiedades/clasificado/veclapin-urbanizacion-el-banco-de-javier-prado-ate-lima-5-148895945.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=17,"urbanizacion el banco de javier prado ate lima, ate vitarte",-12.0612536,-76.93567790000002
,,,1303.0,,,,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/vecltein-terreno-comercial-en-venta-1-303-m-sup2--centro-de-145466737.html?n_src=Listado&n_pg=1&n_pos=18,"terreno comercial en venta 1300m2 - centro de lima, lima cercado",-12.0463808,-77.0432246
22070880.0,6288000.0,,5240.0,,,,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/vecltein-venta-de-terreno-para-proyectos-inmobiliarios-de-5-240-147542115.html?n_src=Listado&n_pg=1&n_pos=19,"av oscar r benavides 832 lima 15082 peru, lima cercado",-12.0472038,-77.05248499999999
21001920.0,6288000.0,,5240.0,,,,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclniin-venta-de-local-para-almacenes-de-5-240-m-sup2--av-149184439.html?n_src=Listado&n_pg=1&n_pos=20,"avenida mariscal oscar raimundo benavides 828 lima 15082 peru, lima cercado",-12.0471916,-77.05248859999999
3600000.0,1045000.0,,418.0,,6.0,6.0,la victoria,C,https://www.adondevivir.com/propiedades/clasificado/vecllcin-centro-operativo-de-alto-rendimiento:-1-220-m-sup2--de-149416049.html?n_src=Listado&n_pg=1&n_pos=21,"lima, la victoria",-12.0734497,-77.01628989999999
350000.0,104155.0,,98.0,,1.0,,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-cercado-de-lima-148547590.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=22,"calle porras barrenechea al 2061, lima cercado",-12.0607285,-77.062241
,,,63.0,3.0,1.0,,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-cercado-de-lima-148333361.html?n_src=Listado&n_pg=1&n_pos=23,"pedro garezon, lima cercado",-12.0408613,-77.0624528
7770000.0,2220000.0,,1250.0,3.0,,5.0,surco,A,https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-en-venta-de-1-250-m-sup2--con-jardin-y-piscina-149481168.html?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=24,"los alamos - casa de 1000m2 con piscina en surco impecable cerca a la u lima, santiago de surco",-12.1555525,-76.9840741
