precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa,latitud,longitud,num_colegios_aprox,num_hospitales_aprox,num_tren_est_aprox,num_metro_est_aprox,num_comisarias_aprox,num_delitos_aprox,set,total_ambientes,total_servicios_prox,total_transporte_aprox,flg_estac,flg_tren,flg_metro,precio_por_m2,costo_total_mensual,score_ubicacion,categoria_precio,decada_construccion,zona_apeim,zona_apeim_cod,tamano,antiguedad_categoria,tamano_cod,antiguedad_cod,nivel_socioeconomico_cod,categoria_crimenes,categoria_crimenes_cod,tipo_vivienda_cod,tipo_vivienda
770500.0,230000.0,,106.0,12.0,12.0,0.0,24.0,84.0,,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclcain-venta-de-edificio-en-cercado-lima-145565903.html?n_src=Listado&n_pg=1&n_pos=23,"jr cangallo 217, lima cercado",-12.0498204,-77.0212406,9,0,0,0,1,126,train,24.0,10,0,0,0,0,7268.867924528302,,6.0,Muy Bajo,2000.0,zona 4,4,grande,antiguo,3.0,3.0,3.0,nivel_4,4,1,Premium
21001920.0,6288000.0,,5240.0,7.5,2.0,0.0,26.0,24.0,2026-03-06,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclniin-venta-de-local-para-almacenes-de-5-240-m-sup2--av-149184439.html?n_src=Listado&n_pg=1&n_pos=17,"avenida mariscal oscar raimundo benavides 828 lima 15082 peru, lima cercado",-12.0471916,-77.05248859999999,3,0,0,0,0,26,train,9.5,3,0,0,0,0,4008.0,,1.7999999999999998,Muy Alto,1990.0,zona 4,4,grande,antiguo,3.0,3.0,3.0,nivel_2,2,2,Económico
448000.0,129855.0,,39.0,1.0,1.0,1.0,0.0,,2026-04-27,surco,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-de-1-dormitorio-cochera-en-surco-cerca-a-149669435.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=22,"flat de 1 dormitorio de39m2 + cochera de en surco cerca a la universidad de lima av el derby, santiago de surco",-12.0844624,-76.9713278,3,1,0,0,0,3,train,2.0,4,0,1,0,0,11487.179487179486,,2.4,Muy Bajo,2020.0,zona 7,7,pequeno,nuevo,1.0,1.0,1.0,nivel_1,1,0,Medio
3600000.0,1045000.0,,418.0,7.5,6.0,6.0,13.0,48.0,2026-03-31,la victoria,C,https://www.adondevivir.com/propiedades/clasificado/vecllcin-centro-operativo-de-alto-rendimiento:-1-220-m-sup2--de-149416049.html?n_src=Listado&n_pg=1&n_pos=18,"lima, la victoria",-12.0734497,-77.01628989999999,8,0,0,0,0,123,train,,8,0,1,0,0,8612.440191387559,,4.8,Muy Bajo,2010.0,zona 4,4,grande,seminuevo,3.0,2.0,3.0,nivel_4,4,1,Premium
626870.0,185000.0,,231.0,7.5,2.0,0.0,1.0,71.0,2025-12-15,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/vecltein-se-vende-terreno-en-cercado-de-lima-148458546.html?n_src=Listado&n_pg=1&n_pos=24,"jiron joaquin capello, lima cercado",-12.0362442,-77.0763248,21,0,0,0,1,63,train,9.5,22,0,0,0,0,2713.722943722944,,13.2,Muy Bajo,2020.0,zona 4,4,grande,nuevo,3.0,1.0,3.0,nivel_4,4,1,Premium
418250.0,119500.0,,95.0,3.0,2.0,0.0,0.0,132.0,2026-02-18,san miguel,B,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-san-miguel-lima-149003807.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=26,"calle diego quispe tito al 100, san miguel",-12.0850927,-77.0854809,18,0,0,0,0,41,train,5.0,18,0,0,0,0,4402.631578947368,,10.799999999999999,Muy Bajo,2020.0,zona 6,6,mediano,nuevo,2.0,1.0,2.0,nivel_3,3,0,Medio
1003000.0,295000.0,,126.0,4.0,2.0,1.0,31.0,399.0,2026-03-06,surco,A,https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-en-santiago-de-surco-149180365.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=30,"delfos lima 15054, santiago de surco",-12.1678885,-76.9962024,18,0,0,0,1,23,train,6.0,19,0,1,0,0,7960.31746031746,,11.4,Muy Bajo,1990.0,zona 7,7,grande,antiguo,3.0,3.0,1.0,nivel_1,1,0,Medio
350000.0,104155.0,,98.0,7.5,1.0,0.0,35.0,78.0,2025-12-31,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-cercado-de-lima-148547590.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=20,"calle porras barrenechea al 2061, lima cercado",-12.0607285,-77.062241,8,0,0,0,0,36,train,8.5,8,0,0,0,0,3571.4285714285716,,4.8,Muy Bajo,1990.0,zona 4,4,mediano,antiguo,2.0,3.0,3.0,nivel_2,2,1,Premium
701400.0,210000.0,,125.0,3.0,2.0,0.0,76.0,70.0,2025-11-09,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclcain-venta-de-casa-en-miroquezada-cercado-lima-148137736.html?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=29,"jr sta rosa 1349 al 1300, lima cercado",-12.0528579,-77.0160863,16,1,1,0,0,161,train,5.0,18,1,0,1,0,5611.2,,11.2,Muy Bajo,1940.0,zona 4,4,grande,antiguo,3.0,3.0,3.0,nivel_4,4,1,Premium
7770000.0,2220000.0,,1250.0,3.0,5.0,4.0,30.0,61.0,2026-04-08,surco,A,https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-en-venta-de-1-250-m-sup2--con-jardin-y-piscina-149481168.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=21,"los alamos - casa de 1000m2 con piscina en surco impecable cerca a la u lima, santiago de surco",-12.1631965,-76.981805,12,0,0,0,0,45,train,8.0,12,0,1,0,0,6216.0,,7.199999999999999,Bajo,1990.0,zona 7,7,grande,antiguo,3.0,3.0,1.0,nivel_3,3,0,Medio
22070880.0,6288000.0,,5240.0,7.5,2.0,0.0,26.0,63.0,2025-09-08,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/vecltein-venta-de-terreno-para-proyectos-inmobiliarios-de-5-240-147542115.html?n_src=Listado&n_pg=1&n_pos=16,"av oscar r benavides 832 lima 15082 peru, lima cercado",-12.0472038,-77.05248499999999,3,0,0,0,0,26,eval,9.5,3,0,0,0,0,4212.0,,1.7999999999999998,Muy Alto,1990.0,zona 4,4,grande,antiguo,3.0,3.0,3.0,nivel_2,2,2,Económico
1747200.0,520000.0,600.0,400.0,4.0,4.0,2.0,13.0,32.0,2025-12-30,surco,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-de-exclusivo-duplex-de-400-m-sup2--a-espaldas-u-148545161.html?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=14,"calle via lactea cerca a la universidad de lima surco, santiago de surco",-12.0844624,-76.9713278,3,1,0,0,0,3,eval,8.0,4,0,1,0,0,4368.0,1747800.0,2.4,Muy Bajo,2010.0,zona 7,7,grande,seminuevo,3.0,2.0,1.0,nivel_1,1,0,Medio
1608630.0,430000.0,728.0,135.0,3.0,2.0,2.0,13.0,97.0,2025-09-01,san isidro,A,https://www.adondevivir.com/propiedades/clasificado/veclapin--vive-en-la-zona-mas-exclusiva-de-lima!-a-30-m-del-147472760.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=13,"calle la republica 833 san isidro lima, san isidro",-12.1055755,-77.0361801,3,2,0,0,0,1,eval,5.0,5,0,1,0,0,11915.777777777777,1609358.0,3.0,Muy Bajo,2010.0,zona 7,7,grande,seminuevo,3.0,2.0,1.0,nivel_1,1,0,Medio
402000.0,120000.0,,94.0,5.0,2.0,0.0,10.0,73.0,2026-02-28,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-venta-en-2do-piso-perfecto-para-airbnb-149119383.html?n_src=Listado&n_pg=1&n_pos=11,"cercado de lima, lima cercado",-12.0463808,-77.0432246,12,4,0,2,0,80,test,7.0,18,2,0,0,1,4276.595744680851,,11.6,Muy Bajo,2010.0,zona 4,4,mediano,seminuevo,2.0,2.0,3.0,nivel_4,4,1,Premium
2915500.0,850000.0,,1133.0,7.5,2.0,1.0,10.0,15.0,2026-04-16,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/vecllcin-venta-de-edificio-cercado-de-lima-av-argentina-149562051.html?n_src=Listado&n_pg=1&n_pos=12,"av argentina 798 lima 15079 peru, lima cercado",-12.0441544,-77.0524246,4,0,0,0,0,28,test,9.5,4,0,1,0,0,2573.2568402471315,,2.4,Muy Bajo,2010.0,zona 4,4,grande,seminuevo,3.0,2.0,3.0,nivel_2,2,1,Premium
255000.0,75000.0,250.0,46.0,1.0,1.0,1.0,4.0,249.0,2026-03-06,san miguel,B,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-san-miguel-lima-149182850.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=25,"jorge chavez 20, san miguel",-12.0859632,-77.0952758,6,0,0,0,0,40,test,2.0,6,0,1,0,0,5543.478260869565,255250.0,3.5999999999999996,Muy Bajo,2020.0,zona 6,6,pequeno,nuevo,1.0,1.0,2.0,nivel_3,3,0,Medio
969000.0,285000.0,,154.0,4.0,2.0,1.0,0.0,311.0,2026-01-21,san miguel,B,https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-san-miguel-lima-148715195.html?n_src=Listado&n_pg=1&n_pos=27,"pomalca al 200, san miguel",-6.768777,-79.7820735,0,0,0,0,0,0,test,6.0,0,0,1,0,0,6292.207792207792,,0.0,Muy Bajo,2020.0,zona 6,6,grande,nuevo,3.0,1.0,2.0,nivel_1,1,0,Medio
