precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa,latitud,longitud,num_colegios_aprox,num_hospitales_aprox,num_tren_est_aprox,num_metro_est_aprox,num_comisarias_aprox,num_delitos_aprox,set,total_ambientes,total_servicios_prox,total_transporte_aprox,flg_estac,flg_tren,flg_metro,precio_por_m2,costo_total_mensual,score_ubicacion,categoria_precio,decada_construccion,zona_apeim,zona_apeim_cod,tamano,antiguedad_categoria,tamano_cod,antiguedad_cod,nivel_socioeconomico_cod,categoria_crimenes,categoria_crimenes_cod,tipo_vivienda_cod,tipo_vivienda
2672000.0,800000.0,1500.0,440.0,4.0,4.0,3.0,12.0,132.0,2026-02-27,surco,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-hermoso-depto.-480-m-sup2--4dorm-techos-altos-149111485.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=62&n_pos=4,"avenida cerros de camacho, santiago de surco",-12.0851279,-76.9617709,0,0,0,0,0,1,train,8.0,0,0,1,0,0,6072.727272727273,2673500.0,0.0,Bajo,2010.0,zona 7,7,grande,seminuevo,3.0,2.0,1.0,nivel_1,1,1,Premium
265000.0,77900.0,100.0,89.0,2.0,1.0,0.0,43.0,486.0,2026-02-12,pueblo libre,B,https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-departamento-en-senda-dorada-con-av-bolivar-cdra-148944944.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=98&n_pos=26,"senda dorada 100, pueblo libre",-12.0698803,-77.0752339,5,0,0,0,0,8,train,3.0,5,0,0,0,0,2977.5280898876404,265100.0,3.0,Muy Bajo,1980.0,zona 6,6,mediano,antiguo,2.0,3.0,2.0,nivel_1,1,0,Medio
2471600.0,740000.0,,360.0,5.0,5.0,0.0,13.0,24.0,2026-02-24,san borja,A,https://www.adondevivir.com/propiedades/clasificado/veclcain-linda-casa-en-corpac-san-isidro-149056718.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=89&n_pos=24,"calle 27, san borja",-12.0959197,-76.9827957,5,0,0,0,0,3,train,10.0,5,0,0,0,0,6865.555555555556,,3.0,Bajo,2010.0,zona 7,7,grande,seminuevo,3.0,2.0,1.0,nivel_1,1,1,Premium
1750000.0,500000.0,,2000.0,5.0,4.0,0.0,1.0,,2025-12-15,pachacamac,D,https://www.adondevivir.com/propiedades/clasificado/vecltein-terreno-en-venta-excelente-oportunidad-de-inversion-en-148460264.html?n_src=Listado&n_pg=74&n_pos=3,"av los rosales mza lt, pachacamac",-12.1503652,-76.8696009,1,0,0,0,0,11,train,9.0,1,0,0,0,0,875.0,,0.6,Muy Bajo,2020.0,zona 9,9,grande,nuevo,3.0,1.0,4.0,nivel_2,2,1,Premium
365000.0,105900.0,260.0,57.0,2.0,1.0,0.0,12.0,89.0,2026-04-20,jesus maria,B,https://www.adondevivir.com/propiedades/clasificado/veclapin-acogedor-departamento-02-dorm.-av-san-felipe-cdra08-149604015.html?n_src=Listado&n_pills=Gimnasio&n_pg=34&n_pos=22,"av san felipe 800, jesus maria",-12.0823774,-77.04957739999999,13,3,0,0,0,24,train,3.0,16,0,0,0,0,6403.508771929824,365260.0,9.6,Muy Bajo,2010.0,zona 6,6,mediano,seminuevo,2.0,2.0,2.0,nivel_3,3,0,Medio
444000.0,,150.0,73.0,3.0,2.0,0.0,0.0,50.0,2026-03-24,surquillo,C,https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-en-surquillo-la-calera-estreno-departamento-flat-149354143.html?n_src=Listado&n_pills=Seguridad&n_pg=106&n_pos=28,"avenida aviacion 3944, surquillo",-12.1149092,-76.999687,10,2,1,0,0,9,train,5.0,13,1,0,1,0,6082.191780821918,444150.0,8.2,Muy Bajo,2020.0,zona 8,8,mediano,nuevo,2.0,1.0,3.0,nivel_1,1,0,Medio
604464.0,179900.0,,100.0,4.0,2.0,1.0,60.0,104.0,2025-12-12,san isidro,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-de-departamento-u-oficina-100-m-sup2--03-148439451.html?n_src=Listado&n_pills=Seguridad&n_pg=100&n_pos=26,"calle rio de la plata - san isidro, san isidro",-34.470829,-58.5286102,0,0,0,0,0,0,train,6.0,0,0,1,0,0,6044.64,,0.0,Muy Bajo,1960.0,zona 7,7,mediano,antiguo,2.0,3.0,1.0,nivel_1,1,1,Premium
830000.0,242000.0,430.0,157.0,3.0,3.0,3.0,12.0,144.0,2025-06-28,surco,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-ocasion-vendo-dpto-de-157-m-sup2--3-dorm.-y-3-cocheras-146857799.html?n_src=Listado&n_pills=Seguridad&n_pg=113&n_pos=12,"geronimo de aliaga sur 595, santiago de surco",-12.1068364,-76.9783867,5,0,0,0,0,1,train,6.0,5,0,1,0,0,5286.624203821656,830430.0,3.0,Muy Bajo,2010.0,zona 7,7,grande,seminuevo,3.0,2.0,1.0,nivel_1,1,1,Premium
170000.0,50000.0,150.0,50.0,3.0,1.0,0.0,7.0,157.0,,comas,C,https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-departamento-condominio-los-girasoles-comas-143672640.html?n_src=Listado&n_pills=Parrilla&n_pg=137&n_pos=20,"los girasoles tercera etapa, comas",-11.9259683,-77.0565738,10,0,0,1,0,26,train,4.0,11,1,0,0,1,3400.0,170150.0,7.0,Muy Bajo,2010.0,zona 1,1,pequeno,seminuevo,1.0,2.0,3.0,nivel_3,3,0,Medio
1542000.0,450000.0,700.0,284.0,4.0,2.0,2.0,12.0,19.0,2026-04-27,surco,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-duplex-de-lujo-en-chacarilla-surco-149692956.html?n_src=Listado&n_pills=Seguridad&n_pg=58&n_pos=27,"departamento de lujo en chacarilla - surco, santiago de surco",-12.1065502,-76.9682923,5,1,0,0,0,7,train,6.0,6,0,1,0,0,5429.577464788732,1542700.0,3.6,Muy Bajo,2010.0,zona 7,7,grande,seminuevo,3.0,2.0,1.0,nivel_1,1,1,Premium
1376000.0,399000.0,900.0,161.0,3.0,3.0,2.0,2.0,230.0,2026-04-07,san isidro,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-exclusivo-departamento-en-venta-y-o-alquiler-en-san-149477048.html?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=60&n_pos=5,"av salaverry 2999, san isidro",-12.0969884,-77.05498469999999,7,2,0,0,0,11,train,6.0,9,0,1,0,0,8546.583850931676,1376900.0,5.4,Muy Bajo,2020.0,zona 7,7,grande,nuevo,3.0,1.0,1.0,nivel_2,2,1,Premium
1624300.0,439000.0,,320.0,3.0,2.0,0.0,0.0,40.0,,san miguel,B,https://www.adondevivir.com/propiedades/clasificado/vecltein-vendo-terreno-en-pando-san-miguel-145082047.html?n_src=Listado&n_pg=39&n_pos=20,"calle los alamos mz h lote 3, san miguel",-12.0624962,-77.0860437,8,0,0,0,0,25,train,5.0,8,0,0,0,0,5075.9375,,4.8,Muy Bajo,2020.0,zona 6,6,grande,nuevo,3.0,1.0,2.0,nivel_3,3,0,Medio
502500.0,150000.0,,221.0,4.0,2.0,1.0,15.0,75.0,2025-10-19,ancon,D,https://www.adondevivir.com/propiedades/clasificado/veclapin-vendo-lindo-departamento-flat-frente-a-mar-en-el-147948740.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=57&n_pos=27,"malecon de ancon piso 9 ancon, ancon",-11.7419328,-77.1462988,3,0,0,0,0,3,train,6.0,3,0,1,0,0,2273.755656108597,,1.7999999999999998,Muy Bajo,2010.0,zona 10,10,grande,seminuevo,3.0,2.0,4.0,nivel_1,1,1,Premium
3392000.0,1000000.0,,264.0,3.0,30.0,4.0,29.0,26.0,2026-02-14,magdalena,B,https://www.adondevivir.com/propiedades/clasificado/vecllcin-edificio-local-para-hostal-oficinas-etc-148967477.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=127&n_pos=2,"tomas ramsey, magdalena",-12.0916496,-77.0612248,13,1,0,0,0,14,train,33.0,14,0,1,0,0,12848.484848484848,,8.4,Bajo,1990.0,zona 6,6,grande,antiguo,3.0,3.0,2.0,nivel_2,2,2,Económico
