mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
,180.0,3.0,3.0,1.0,19.0,7,0,7,3,1323052.0
,340.0,4.0,4.0,4.0,37.0,5,0,7,1,3375600.0
,76.0,2.0,2.0,1.0,2.0,8,0,7,3,695652.0
,84.0,3.0,2.0,1.0,0.0,6,0,7,2,741339.0
400.0,70.0,3.0,2.0,1.0,15.0,7,0,7,2,550000.0
,50.0,2.0,2.0,1.0,0.0,7,0,7,3,728887.0
,600.0,3.0,2.0,0.0,80.0,15,2,7,1,7350000.0
800.0,212.0,3.0,4.0,2.0,8.0,3,0,7,1,2170000.0
,581.0,3.0,2.0,0.0,5.0,3,1,7,1,4686393.0
,361.0,4.0,4.0,2.0,16.0,3,0,7,1,4550000.0
,94.0,2.0,2.0,2.0,0.0,7,0,7,3,763000.0
350.0,90.0,2.0,2.0,1.0,11.0,9,0,7,3,782043.0
,333.0,4.0,4.0,1.0,31.0,8,0,7,1,1584000.0
,85.0,2.0,2.0,1.0,13.0,8,0,7,2,680000.0
,483.0,4.0,3.0,0.0,48.0,23,0,7,4,2754000.0
700.0,207.0,3.0,2.0,1.0,40.0,1,0,7,1,1526000.0
500.0,186.0,3.0,2.0,2.0,9.0,5,0,7,2,1618200.0
,50.0,1.0,1.0,0.0,0.0,10,0,7,2,480383.0
457.0,23.0,3.0,2.0,0.0,12.0,17,2,7,2,221000.0
,219.0,3.0,2.0,0.0,29.0,7,0,7,3,1276800.0
457.0,23.0,3.0,2.0,0.0,14.0,13,0,7,2,221000.0
,365.0,3.0,3.0,2.0,26.0,9,0,7,1,2645000.0
,130.0,3.0,2.0,2.0,0.0,14,1,7,3,1240000.0
250.0,78.0,1.0,2.0,0.0,2.0,17,3,7,3,545000.0
700.0,381.0,3.0,3.0,1.0,18.0,4,0,7,1,1418600.0
,101.0,3.0,3.0,0.0,0.0,12,0,7,1,891500.0
