mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
1500.0,440.0,4.0,4.0,3.0,12.0,0,0,7,1,2672000.0
100.0,89.0,2.0,1.0,0.0,43.0,5,0,6,1,265000.0
,360.0,5.0,5.0,0.0,13.0,5,0,7,1,2471600.0
,2000.0,5.0,4.0,0.0,1.0,1,0,9,2,1750000.0
260.0,57.0,2.0,1.0,0.0,12.0,16,0,6,3,365000.0
150.0,73.0,3.0,2.0,0.0,0.0,13,1,8,1,444000.0
,100.0,4.0,2.0,1.0,60.0,0,0,7,1,604464.0
430.0,157.0,3.0,3.0,3.0,12.0,5,0,7,1,830000.0
150.0,50.0,3.0,1.0,0.0,7.0,11,1,1,3,170000.0
700.0,284.0,4.0,2.0,2.0,12.0,6,0,7,1,1542000.0
900.0,161.0,3.0,3.0,2.0,2.0,9,0,7,2,1376000.0
,320.0,3.0,2.0,0.0,0.0,8,0,6,3,1624300.0
,221.0,4.0,2.0,1.0,15.0,3,0,10,1,502500.0
,264.0,3.0,30.0,4.0,29.0,14,0,6,2,3392000.0
670.0,260.0,3.0,4.0,2.0,15.0,10,0,7,1,1490000.0
500.0,137.0,4.0,3.0,2.0,3.0,8,0,7,1,891800.0
450.0,200.0,3.0,5.0,2.0,14.0,11,0,7,2,1186600.0
750.0,220.0,3.0,3.0,3.0,8.0,4,0,7,1,1870000.0
,105.0,3.0,2.0,0.0,0.0,2,0,1,1,138750.0
480.0,53.0,3.0,3.0,0.0,0.0,11,1,7,2,526900.0
250.0,70.0,2.0,1.0,0.0,6.0,14,0,7,3,438000.0
,120.0,4.0,4.0,1.0,10.0,11,0,2,3,536500.0
900.0,2300.0,5.5,7.0,0.0,0.0,2,0,10,2,684250.0
400.0,152.0,3.0,2.0,2.0,15.0,13,0,7,2,1050000.0
230.0,55.0,1.0,1.0,1.0,8.0,2,0,7,1,538432.0
1368.0,114.0,3.0,2.0,2.0,15.0,9,0,7,2,1199680.0
,3980.0,3.0,2.5,0.0,12.0,5,0,9,3,7001500.0
300.0,89.0,3.0,2.0,1.0,8.0,13,0,6,1,640000.0
,156.0,3.0,3.0,1.0,0.0,7,0,7,3,760000.0
,120.0,2.0,2.0,0.0,5.0,4,0,1,1,224400.0
,160.0,4.5,3.5,0.0,0.0,26,0,8,4,536000.0
,1244.0,4.0,4.0,0.0,1.0,3,0,7,1,2311500.0
,1012.0,6.0,6.0,4.0,5.0,1,0,4,1,1390930.0
1163.0,1162.0,3.0,2.0,0.0,0.0,0,0,4,1,472500.0
,97.0,3.0,2.0,0.0,30.0,8,0,6,2,368500.0
,1629.0,4.0,4.0,6.0,25.0,0,0,7,1,4070000.0
520.0,221.0,4.0,4.0,2.0,21.0,5,0,7,1,1071000.0
600.0,180.0,3.0,2.0,2.0,56.0,2,0,7,2,1402200.0
,100.0,3.0,3.0,0.0,6.0,16,1,8,1,538000.0
