precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa
402000.0,120000.0,,94.0,5.0,2.0,,10.0,97.0,2026-02-28,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-venta-en-2do-piso-perfecto-para-airbnb-149119383.html?n_src=Listado&n_pg=1&n_pos=11,"cercado de lima, lima cercado"
2915500.0,850000.0,,1133.0,,,1.0,10.0,19.0,2026-04-16,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/vecllcin-venta-de-edificio-cercado-de-lima-av-argentina-149562051.html?n_src=Listado&n_pg=1&n_pos=12,"av argentina 798 lima 15079 peru, lima cercado"
1608630.0,430000.0,728.0,135.0,3.0,2.0,2.0,13.0,111.0,2025-09-01,san isidro,A,https://www.adondevivir.com/propiedades/clasificado/veclapin--vive-en-la-zona-mas-exclusiva-de-lima!-a-30-m-del-147472760.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=13,"calle la republica 833 san isidro lima, san isidro"
1747200.0,520000.0,600.0,400.0,4.0,4.0,2.0,13.0,26.0,2025-12-30,surco,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-de-exclusivo-duplex-de-400-m-sup2--a-espaldas-u-148545161.html?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=14,"calle via lactea cerca a la universidad de lima surco, santiago de surco"
,,,1303.0,,,,0.0,71.0,,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/vecltein-terreno-comercial-en-venta-1-303-m-sup2--centro-de-145466737.html?n_src=Listado&n_pg=1&n_pos=15,"terreno comercial en venta 1300m2 - centro de lima, lima cercado"
22070880.0,6288000.0,,5240.0,,,,26.0,64.0,2025-09-08,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/vecltein-venta-de-terreno-para-proyectos-inmobiliarios-de-5-240-147542115.html?n_src=Listado&n_pg=1&n_pos=16,"av oscar r benavides 832 lima 15082 peru, lima cercado"
21001920.0,6288000.0,,5240.0,,,,26.0,25.0,2026-03-06,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclniin-venta-de-local-para-almacenes-de-5-240-m-sup2--av-149184439.html?n_src=Listado&n_pg=1&n_pos=17,"avenida mariscal oscar raimundo benavides 828 lima 15082 peru, lima cercado"
3600000.0,1045000.0,,418.0,,6.0,6.0,13.0,54.0,2026-03-31,la victoria,C,https://www.adondevivir.com/propiedades/clasificado/vecllcin-centro-operativo-de-alto-rendimiento:-1-220-m-sup2--de-149416049.html?n_src=Listado&n_pg=1&n_pos=18,"lima, la victoria"
190000.0,56547.0,,63.0,3.0,1.0,,0.0,126.0,2025-12-01,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-cercado-de-lima-148333361.html?n_src=Listado&n_pg=1&n_pos=19,"pedro garezon, lima cercado"
350000.0,104155.0,,98.0,,1.0,,35.0,86.0,2025-12-31,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-cercado-de-lima-148547590.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=20,"calle porras barrenechea al 2061, lima cercado"
7770000.0,2220000.0,,1250.0,3.0,5.0,4.0,30.0,70.0,2026-04-08,surco,A,https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-en-venta-de-1-250-m-sup2--con-jardin-y-piscina-149481168.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=21,"los alamos - casa de 1000m2 con piscina en surco impecable cerca a la u lima, santiago de surco"
448000.0,129855.0,,39.0,1.0,1.0,1.0,0.0,18.0,2026-04-27,surco,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-de-1-dormitorio-cochera-en-surco-cerca-a-149669435.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=22,"flat de 1 dormitorio de39m2 + cochera de en surco cerca a la universidad de lima av el derby, santiago de surco"
770500.0,230000.0,,106.0,12.0,12.0,,24.0,90.0,,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclcain-venta-de-edificio-en-cercado-lima-145565903.html?n_src=Listado&n_pg=1&n_pos=23,"jr cangallo 217, lima cercado"
