,nombre,distrito,direccion,nivel__modalidad,gestion__dependencia,latitud,longitud
0,innova schools - bertello,lima,sub lote 5-b mz c lote 3-4-5,inicial - jardin,privada - particular,-12.06259,-77.06233
3,0001 maria auxiliadora,lima,jiron isaias clivio 237,primaria,publica - en convenio,-12.04671,-77.01373
5,0035 nuestra senora de la visitacion,lima,jiron pacasmayo 550,inicial - jardin,publica - sector educacion,-12.046186,-77.046883
8,0038 san martin de porres,lima,jiron ascope 142,primaria,publica - sector educacion,-12.03948,-77.04636
10,0040 hipolito unanue,lima,avenida elvira garcia y garcia s/n,basica alternativa - avanzado,publica - sector educacion,-12.05265,-77.0704
13,0095 maria auxiliadora,lima,avenida materiales 2005,primaria,publica - sector educacion,-12.04113,-77.06812
15,0099 oscar miro quesada de la guerra,lima,jiron paruro 231,primaria,publica - sector educacion,-12.04595,-77.02188
17,022 republica de guatemala,lima,jiron manuel pardo 225,secundaria,publica - sector educacion,-12.04685,-77.01556
20,030 santa teresita del divino nino,lima,jiron jose diaz 412,inicial - jardin,publica - sector educacion,-12.06868,-77.03501
21,06 republica de holanda,lima,jiron carabaya 1171,inicial - jardin,publica - sector educacion,-12.05526,-77.03562
22,077 manzanilla,lima,avenida nicolas ayllon cdra 3 s/n,inicial - cuna jardin,publica - sector educacion,-12.05753,-77.01097
23,088 nina maria,lima,jiron conde de superunda 446,inicial - cuna jardin,publica - municipalidad,-12.04297,-77.03416
24,097 ministerio publico,lima,jiron ayacucho 613,inicial - cuna jardin,publica - otro sector publico,-12.05165,-77.02742
25,100 virgen de la merced,lima,avenida morales duarez 2053,inicial - jardin,publica - sector educacion,-12.03522,-77.0685
26,1001 jose jimenez borja,lima,jiron washington 1454,secundaria,publica - sector educacion,-12.05908,-77.03922
28,101 libertador simon bolivar,lima,jiron ramon carcamo 195,inicial - jardin,publica - sector educacion,-12.040281,-77.051309
29,1015 republica de italia,lima,avenida venezuela cdra 27 block 5 s/n,inicial - jardin,publica - sector educacion,-12.05946,-77.07164
31,1016 john f. kennedy,lima,avenida venezuela s/n,primaria,publica - sector educacion,-12.0589,-77.07191
32,102 hospital dos de mayo,lima,avenida grau cuadra 12 s/n,inicial - cuna jardin,publica - otro sector publico,-12.05672,-77.01668
33,1021 republica federal de alemania,lima,avenida belisario sosa pelaez 1550,secundaria,publica - sector educacion,-12.0644,-77.06369
35,1027 republica de nicaragua,lima,jiron ancash 1379,primaria,publica - sector educacion,-12.04557,-77.01448
37,1028 republica argentina,lima,jiron miroquesada 1340,primaria,publica - sector educacion,-12.05314,-77.01645
39,103 luis armando cabello hurtado,lima,pasaje alto de la alianza s/n,secundaria,publica - sector educacion,-12.05834,-77.01134
42,1032 republica del brasil,lima,jiron cangallo 731,primaria,publica - sector educacion,-12.05586,-77.02194
44,1035 jose del carmen marin arista,lima,avenida nicolas de pierola 1533,inicial - jardin,publica - sector educacion,-12.05579,-77.02819
47,1036 republica de costa rica,lima,jiron desaguadero 490,inicial - jardin,publica - sector educacion,-12.04939,-77.01234
49,1037 ramon espinoza,lima,jiron ancash 1254,primaria,publica - sector educacion,-12.04673,-77.01667
