precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,distrito,nivel_socioeconomico,URL,direccion_completa,latitud,longitud,num_colegios_aprox,num_hospitales_aprox,num_tren_est_aprox,num_metro_est_aprox,num_comisarias_aprox,num_delitos_aprox,set
5712.0,1700.0,1000.0,120.0,2.0,2.0,0.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-con-terraza-y-preciosa-vista-al-mar-amoblado-y-147985913.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=4,"malecon miraflores lima, miraflores",-12.1245227,-77.0383825,4,1,0,0,0,9,train
3700.0,1100.0,350.0,90.0,3.0,2.0,1.0,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-con-vista-panoramica-en-lince-149335181.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=21,"av manuel villavicencio cuadra 8 lince, lince",-12.089747,-77.0433228,3,0,0,0,0,12,train
2700.0,,250.0,69.0,3.0,2.0,1.0,surquillo,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-surquillo-149472182.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=29,"calle las gaviotas, surquillo",-12.1039369,-77.0216978,6,2,0,0,0,18,train
5760.0,1600.0,370.0,110.0,3.0,2.0,1.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-amoblado-de-110-m-sup2--3-dorm-147803805.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=24,"av jose pardo, miraflores",-12.1191345,-77.036787,9,1,0,0,0,18,train
2700.0,,,40.0,1.0,1.0,0.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-de-estreno-miraflores-149507429.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=17,"casimiro ulloa al 300, miraflores",-12.124002,-77.0216877,4,0,0,1,0,14,train
6200.0,415000.0,700.0,124.0,2.0,2.0,1.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-vendo-alquilo-moderno-departamento-de-125-m-sup2--en-90144797.html?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=25,"parque armendariz, miraflores",-12.1348923,-77.0239057,10,1,0,0,0,11,train
6900.0,2000.0,800.0,130.0,2.0,2.0,2.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-flat-en-ava159-miraflores-2-dorm.-149363500.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=27,"av parque armendariz 159 - dpto 304, miraflores",-12.134851,-77.0247132,6,1,0,0,0,6,train
10000.0,3000.0,220.0,285.0,3.0,2.0,2.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-depa-diego-ferre-208-1er-piso-jardin-sin-149507569.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=16,"diego ferre 208 1er piso miraflores - alq, miraflores",-12.1293842,-77.0331434,0,1,0,0,0,8,train
10150.0,3000.0,1000.0,130.0,2.0,2.0,1.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-duplex-de-lujo-con-vista-al-malecon-miraflores-130-149513285.html?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=12,"armendariz 159, miraflores",-12.1347557,-77.02438959999999,9,1,0,0,0,8,train
11760.0,,750.0,250.0,3.0,4.0,2.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-con-amplia-terraza-y-bellisima-vista-al-mar!-c.-g-147778523.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=6,"malecon miraflores lima, miraflores",-12.1245227,-77.0383825,4,1,0,0,0,9,train
