precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa,latitud,longitud,num_colegios_aprox,num_hospitales_aprox,num_tren_est_aprox,num_metro_est_aprox,num_comisarias_aprox,num_delitos_aprox,set,total_ambientes,total_servicios_prox,total_transporte_aprox,flg_estac,flg_tren,flg_metro,precio_por_m2,costo_total_mensual,score_ubicacion,categoria_precio,decada_construccion,zona_apeim,zona_apeim_cod,tamano,antiguedad_categoria,tamano_cod,antiguedad_cod,nivel_socioeconomico_cod,categoria_crimenes,categoria_crimenes_cod,tipo_vivienda_cod,tipo_vivienda
4500.0,1320.0,,55.0,2.0,2.0,1.0,2.0,,2025-11-01,surco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-premium-en-la-av-primavera-148059769.html,"av primavera cdra 20, santiago de surco",-12.1101447,-76.9783214,5,0,0,0,0,4,train,4.0,5,0,1,0,0,81.81818181818181,,3.0,Bajo,2020.0,zona 7,7,mediano,nuevo,2.0,1.0,1.0,nivel_1,1,2,Económico
1415.0,420.0,150.0,40.0,1.0,1.0,0.0,15.0,,2025-11-04,surquillo,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-los-sauces-surquillo-148072940.html,"avellanas al 100, surquillo",-12.1124923,-77.0122039,10,0,0,0,1,113,train,2.0,11,0,0,0,0,35.375,1565.0,6.6,Muy Bajo,2010.0,zona 8,8,pequeno,seminuevo,1.0,2.0,3.0,nivel_4,4,2,Económico
5000.0,1428.0,580.0,90.0,2.0,2.0,1.0,5.0,33.0,2025-09-10,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-moderno-flat-de-estreno-en-alquiler-amoblado-y-147571009.html,"calle diego ferre cerca a larcomar, miraflores",-12.1319578,-77.03049159999999,1,0,0,0,0,6,train,4.0,1,0,1,0,0,55.55555555555556,5580.0,0.6,Medio,2020.0,zona 7,7,mediano,nuevo,2.0,1.0,1.0,nivel_1,1,2,Económico
10730.0,2900.0,900.0,180.0,3.0,3.0,2.0,6.0,71.0,2025-11-04,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-180-m-sup2--en-malecon-de-la-57736168.html,"malecon de la marina, miraflores",-12.1152552,-77.0484237,2,0,0,0,0,12,train,6.0,2,0,1,0,0,59.611111111111114,11630.0,1.2,Muy Alto,2010.0,zona 7,7,grande,seminuevo,3.0,2.0,1.0,nivel_2,2,1,Premium
2500.0,740.0,260.0,80.0,2.0,2.0,1.0,6.0,81.0,2025-10-01,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-lindo-depa-tipo-casa-en-lince!-147535257.html,"belisario flores 1031, lince",-12.0824758,-77.04439289999999,17,2,0,0,0,31,train,4.0,19,0,1,0,0,31.25,2760.0,11.4,Muy Bajo,2010.0,zona 6,6,mediano,seminuevo,2.0,2.0,2.0,nivel_3,3,0,Medio
7452.0,2300.0,578.0,190.0,3.0,2.0,2.0,15.0,16.0,2025-11-01,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-190-m-sup2--a-$2-300-frente-al-57003652.html,"malecon cisneros, miraflores",-12.1229231,-77.0400963,3,0,0,0,0,8,train,5.0,3,0,1,0,0,39.22105263157895,8030.0,1.7999999999999998,Alto,2010.0,zona 7,7,grande,seminuevo,3.0,2.0,1.0,nivel_1,1,1,Premium
2800.0,780.0,300.0,79.0,3.0,2.0,1.0,5.0,58.0,2025-11-04,lince,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-amoblado!-oportunidad-exclusiva-146721141.html,"av arequipa 2544, lince",-12.0895189,-77.0340726,8,5,0,0,0,30,train,5.0,13,0,1,0,0,35.44303797468354,3100.0,7.8,Muy Bajo,2020.0,zona 6,6,mediano,nuevo,2.0,1.0,2.0,nivel_3,3,0,Medio
850.0,243.0,,61.0,3.0,1.0,0.0,8.0,17.0,2025-10-07,puente piedra,D,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-dpto-ciudad-verde-pte-piedra-147824528.html,"las hiedras al 100, puente piedra",-11.8751356,-77.08778869999999,9,1,0,0,0,11,train,4.0,10,0,0,0,0,13.934426229508198,,6.0,Muy Bajo,2010.0,zona 1,1,mediano,seminuevo,2.0,2.0,4.0,nivel_2,2,0,Medio
1800.0,,280.0,100.0,4.0,2.0,0.0,2.0,41.0,2025-10-14,comas,C,https://www.adondevivir.com/propiedades/clasificado/alclapin--en-alquiler-amplio-departamento-en-comas!-147859533.html,"condominio mambo tress, comas",-11.9333531,-77.0640791,12,0,0,0,0,20,train,6.0,12,0,0,0,0,18.0,2080.0,7.199999999999999,Muy Bajo,2020.0,zona 1,1,mediano,nuevo,2.0,1.0,3.0,nivel_3,3,0,Medio
7000.0,2000.0,680.0,140.0,3.0,2.0,2.0,11.0,22.0,2025-08-17,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-duplex-totalmente-amoblado-y-equipado-en-calle-santa-147295632.html,"calle santa isabel, miraflores",-12.1316526,-77.027638,4,1,0,0,0,6,train,5.0,5,0,1,0,0,50.0,7680.0,3.0,Alto,2010.0,zona 7,7,grande,seminuevo,3.0,2.0,1.0,nivel_1,1,1,Premium
2590.0,,293.0,70.0,2.0,1.0,1.0,2.0,72.0,2025-10-19,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-aurora-estreno-lindo-dpto-70-m-sup2--2-dor-2-banos-g-147618402.html,"calle sergio bernales 290, miraflores",-12.118792,-77.0163365,7,1,0,0,0,67,train,3.0,8,0,1,0,0,37.0,2883.0,4.8,Muy Bajo,2020.0,zona 7,7,mediano,nuevo,2.0,1.0,1.0,nivel_4,4,2,Económico
2200.0,,200.0,63.0,1.0,1.0,1.0,14.0,95.0,2025-10-28,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-dpto-equipado-y-amoblado-en-miraflores-148024504.html,"avenida federico villareal 350, miraflores",-12.1121727,-77.04728519999999,4,0,0,0,0,22,train,2.0,4,0,1,0,0,34.92063492063492,2400.0,2.4,Muy Bajo,2010.0,zona 7,7,mediano,seminuevo,2.0,2.0,1.0,nivel_3,3,2,Económico
1600.0,,230.0,70.0,3.0,2.0,0.0,7.0,33.0,2025-10-31,chorrillos,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-acogedor-3-dorm.-chorrillos-143139932.html,"guardia civil 865, chorrillos",-12.1751668,-76.9940809,11,0,0,0,0,14,train,5.0,11,0,0,0,0,22.857142857142858,1830.0,6.6,Muy Bajo,2010.0,zona 8,8,mediano,seminuevo,2.0,2.0,2.0,nivel_2,2,2,Económico
3240.0,900.0,,120.0,3.0,1.0,0.0,15.0,65.0,2025-09-21,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-amplio-departamento-tipo-casa-en-147659316.html,"calle independencia 891, miraflores",-12.1106824,-77.032376,12,2,0,0,0,11,train,4.0,14,0,0,0,0,27.0,,8.4,Bajo,2010.0,zona 7,7,grande,seminuevo,3.0,2.0,1.0,nivel_2,2,1,Premium
7917.0,2100.0,1000.0,178.0,3.0,3.0,2.0,11.0,74.0,2025-03-20,san isidro,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-dpto.-amoblado-edif.-millenium.-vista-al-143423734.html,"av aurelio miroquesada 350, san isidro",-12.0993029,-77.04336420000001,4,0,0,0,0,6,train,6.0,4,0,1,0,0,44.47752808988764,8917.0,2.4,Alto,2010.0,zona 7,7,grande,seminuevo,3.0,2.0,1.0,nivel_1,1,1,Premium
10200.0,3000.0,1400.0,257.0,3.0,3.0,2.0,10.0,70.0,2025-10-27,barranco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-en-barranco-malecon-pazos-147571015.html,"malecon pazos n 123, barranco",-12.143923,-77.02494109999999,6,0,0,0,1,13,train,6.0,7,0,1,0,0,39.688715953307394,11600.0,4.2,Muy Alto,2010.0,zona 8,8,grande,seminuevo,3.0,2.0,1.0,nivel_2,2,1,Premium
4200.0,1200.0,,104.0,3.0,2.0,0.0,0.0,40.0,2025-11-04,san borja,A,https://www.adondevivir.com/propiedades/clasificado/alclapin--alquilo-lindo-departamento-de-estreno-primer-piso-en-147880011.html,"andrea del sarto 142, san borja",-12.097919,-77.00207689999999,8,3,1,0,0,9,train,5.0,12,1,0,1,0,40.38461538461539,,7.6,Bajo,2020.0,zona 7,7,grande,nuevo,3.0,1.0,1.0,nivel_1,1,1,Premium
10000.0,2990.0,300.0,239.0,3.0,3.0,2.0,0.0,16.0,2025-11-02,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-dpto.-duplex-estreno-con-terraza-zona-146935734.html,"alejandro deustua, miraflores",-12.1173563,-77.012797,10,0,0,0,1,86,train,6.0,11,0,1,0,0,41.84100418410042,10300.0,6.6,Muy Alto,2020.0,zona 7,7,grande,nuevo,3.0,1.0,1.0,nivel_4,4,1,Premium
2900.0,850.0,450.0,117.0,2.0,3.0,1.0,8.0,47.0,2025-10-27,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-miraflores-2dorm.-sala-de-estar-117-m-sup2--cochera-147653027.html,"parque tradiciones, miraflores",-12.1216021,-77.0213547,4,1,0,0,1,35,train,5.0,6,0,1,0,0,24.786324786324787,3350.0,3.5999999999999996,Bajo,2010.0,zona 7,7,grande,seminuevo,3.0,2.0,1.0,nivel_3,3,1,Premium
2150.0,,280.0,60.0,2.0,2.0,1.0,2.0,165.0,2025-10-11,surquillo,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-hermoso-dpto-la-calera.-cerca-a-todo!-2dorm-y-2banos-147865992.html,"juan bielovucic 235, surquillo",-12.11937,-77.0050213,12,1,0,0,0,17,train,4.0,13,0,1,0,0,35.833333333333336,2430.0,7.8,Muy Bajo,2020.0,zona 8,8,mediano,nuevo,2.0,1.0,3.0,nivel_2,2,2,Económico
1800.0,,200.0,75.0,2.0,2.0,0.0,3.0,144.0,2025-09-27,san miguel,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-de-75-m-sup2--en-san-miguel-147711055.html,"avla paz 118 san miguel, san miguel",13.4792922,-88.1779182,0,0,0,0,0,0,train,4.0,0,0,0,0,0,24.0,2000.0,0.0,Muy Bajo,2020.0,zona 6,6,mediano,nuevo,2.0,1.0,2.0,nivel_1,1,2,Económico
5320.0,1450.0,580.0,121.0,2.0,2.0,2.0,10.0,108.0,2025-07-27,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-impecable-departamento-amoblado.-02-dorm.-cerca-a-146283570.html,"calle las acacias, miraflores",-12.1337199,-77.0253024,4,1,0,0,0,4,train,4.0,5,0,1,0,0,43.96694214876033,5900.0,3.0,Medio,2010.0,zona 7,7,grande,seminuevo,3.0,2.0,1.0,nivel_1,1,1,Premium
3221.0,950.0,450.0,80.0,1.0,1.0,1.0,7.0,,2025-10-17,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-duplex-amoblado-cerca-a-larcomar-143260293.html,"jose gonzales, miraflores",-12.1286917,-77.0296291,1,0,0,0,0,9,train,2.0,1,0,1,0,0,40.2625,3671.0,0.6,Bajo,2010.0,zona 7,7,mediano,seminuevo,2.0,2.0,1.0,nivel_1,1,2,Económico
2200.0,610.0,200.0,41.0,1.0,1.0,1.0,0.0,41.0,2025-09-12,san miguel,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-en-san-miguel-147587714.html,"av escardo 620, san miguel",-12.0753505,-77.0923157,9,3,0,0,0,19,train,2.0,12,0,1,0,0,53.65853658536585,2400.0,7.199999999999999,Muy Bajo,2020.0,zona 6,6,pequeno,nuevo,1.0,1.0,2.0,nivel_3,3,2,Económico
1700.0,,,70.0,2.0,2.0,0.0,10.0,231.0,2025-10-30,jesus maria,B,https://www.adondevivir.com/propiedades/clasificado/alclapin-jesus-maria-departamento-familiar-en-edificio-en-el-65576199.html,"cerca a la avenida cuba, jesus maria",-12.0751143,-77.0421535,15,3,0,0,0,30,train,4.0,18,0,0,0,0,24.285714285714285,,10.799999999999999,Muy Bajo,2010.0,zona 6,6,mediano,seminuevo,2.0,2.0,2.0,nivel_3,3,0,Medio
2600.0,,350.0,71.0,3.0,2.0,1.0,4.0,61.0,2025-08-12,surquillo,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-acogedor-dpto.-en-moderno-edificio-en-surquillo-147277092.html,"las palomas 160, surquillo",-12.1124923,-77.0122039,10,0,0,0,1,113,train,5.0,11,0,1,0,0,36.61971830985915,2950.0,6.6,Muy Bajo,2020.0,zona 8,8,mediano,nuevo,2.0,1.0,3.0,nivel_4,4,2,Económico
3097.0,,300.0,50.0,1.0,2.0,1.0,1.0,,2025-10-31,san isidro,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-en-san-isidro-de-estreno-amoblado-148054625.html,"av gral felipe salaverry 2900 san isidro, san isidro",-12.096069,-77.05514079999999,9,2,0,0,0,11,train,3.0,11,0,1,0,0,61.94,3397.0,6.6,Bajo,2020.0,zona 7,7,pequeno,nuevo,1.0,1.0,1.0,nivel_2,2,2,Económico
2900.0,817.0,350.0,80.0,3.0,3.0,0.0,10.0,19.0,2025-08-28,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-miraflores-147442917.html,"calle jose galvez, miraflores",-12.1212022,-77.0370892,7,1,0,0,0,20,train,6.0,8,0,0,0,0,36.25,3250.0,4.8,Bajo,2010.0,zona 7,7,mediano,seminuevo,2.0,2.0,1.0,nivel_3,3,0,Medio
1750.0,500.0,170.0,46.0,1.0,1.0,1.0,2.0,115.0,2025-10-11,barranco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-vive-con-estilo-en-barranco:-tu-hogar-perfecto-espera-142538536.html,"jr tejada barranco, barranco",-12.1415286,-77.0158298,11,0,0,1,0,76,train,2.0,12,1,1,0,1,38.04347826086956,1920.0,7.6,Muy Bajo,2020.0,zona 8,8,pequeno,nuevo,1.0,1.0,1.0,nivel_4,4,2,Económico
2100.0,585.0,220.0,67.0,2.0,2.0,0.0,10.0,19.0,2025-09-18,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-moderno-en-santa-beatriz-147621103.html,"av petit thouars 1498 cercado de lima santa beatriz, lima cercado",-12.079353,-77.03425,23,6,0,0,0,84,train,4.0,29,0,0,0,0,31.34328358208955,2320.0,17.4,Muy Bajo,2010.0,zona 4,4,mediano,seminuevo,2.0,2.0,3.0,nivel_4,4,0,Medio
2900.0,195000.0,550.0,89.0,3.0,2.0,1.0,20.0,86.0,2025-05-18,surco,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-departamento-de-3-dorm.-frente-a-parque-146475711.html,"jiron pisac, santiago de surco",-12.1179877,-76.9954762,8,2,0,0,0,10,train,5.0,10,0,1,0,0,32.58426966292135,3450.0,6.0,Bajo,2000.0,zona 7,7,mediano,seminuevo,2.0,2.0,1.0,nivel_2,2,2,Económico
2500.0,730.0,180.0,50.0,1.0,1.0,0.0,38.0,71.0,2025-09-23,surco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-mini-departamento-para-pareja-joven-o-soltero-147096352.html,"padre luis tezza 194 surco, santiago de surco",-12.1031577,-76.9708995,3,7,0,0,0,2,train,2.0,10,0,0,0,0,50.0,2680.0,6.0,Muy Bajo,1980.0,zona 7,7,pequeno,antiguo,1.0,3.0,1.0,nivel_1,1,2,Económico
1700.0,,,65.0,3.0,2.0,0.0,2.0,63.0,2025-10-04,callao,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-en-callao-av-argentina-con-sta-rosa-147784901.html,"alquiler av argentina al 2500 - callao, callao",-12.047242,-77.0843634,0,0,0,0,0,35,train,5.0,0,0,0,0,0,26.153846153846153,,0.0,Muy Bajo,2020.0,zona 1,1,mediano,nuevo,2.0,1.0,3.0,nivel_3,3,0,Medio
2415.0,700.0,210.0,55.0,2.0,1.0,0.0,0.0,63.0,2025-10-23,surquillo,C,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-estreno-amoblado-con-terraza-y-areas-147978642.html,"los canarios al 100, surquillo",-12.1124923,-77.0122039,10,0,0,0,1,113,train,3.0,11,0,0,0,0,43.90909090909091,2625.0,6.6,Muy Bajo,2020.0,zona 8,8,mediano,nuevo,2.0,1.0,3.0,nivel_4,4,2,Económico
2800.0,,350.0,71.0,1.0,2.0,1.0,4.0,230.0,2025-10-08,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-amoblado-de-1-habitacion-en-147837712.html,"urbanizacion santa cruz, miraflores",-12.1126927,-77.0434934,8,0,0,0,0,16,train,3.0,8,0,1,0,0,39.436619718309856,3150.0,4.8,Muy Bajo,2020.0,zona 7,7,mediano,nuevo,2.0,1.0,1.0,nivel_2,2,2,Económico
2600.0,,180.0,60.0,2.0,1.0,0.0,25.0,34.0,2025-10-31,san isidro,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-dpto.-en-alquiler-ovalo-quinones-san-isidro-146163272.html,"av guardia civil 820, san isidro",-12.0987051,-77.0131035,3,9,0,0,0,11,train,3.0,12,0,0,0,0,43.333333333333336,2780.0,7.199999999999999,Muy Bajo,2000.0,zona 7,7,mediano,antiguo,2.0,3.0,1.0,nivel_2,2,2,Económico
2200.0,640.0,80.0,75.0,1.0,1.0,0.0,15.0,171.0,2025-10-22,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alaquilo-duplex-1-dormitorio-con-terraza-urb.-aurora-147668876.html,"calle el melonar cuadra 1 aurora miraflores, miraflores",-12.121834,-77.0103858,3,0,0,0,0,7,train,2.0,3,0,0,0,0,29.333333333333332,2280.0,1.7999999999999998,Muy Bajo,2010.0,zona 7,7,mediano,seminuevo,2.0,2.0,1.0,nivel_1,1,2,Económico
2000.0,574.0,60.0,65.0,2.0,1.0,0.0,0.0,131.0,2025-09-19,surco,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-santiago-de-surco-147641754.html,"av santiago de surco, santiago de surco",-12.1400446,-76.9930063,7,0,1,0,0,21,train,3.0,8,1,0,1,0,30.76923076923077,2060.0,5.2,Muy Bajo,2020.0,zona 7,7,mediano,nuevo,2.0,1.0,1.0,nivel_3,3,2,Económico
2300.0,,180.0,40.0,1.0,1.0,0.0,1.0,115.0,2025-10-14,san isidro,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-vista-al-mar-1-dormitorio-147886810.html,"av salaverry 3590, san isidro",-12.1024093,-77.058377,9,1,0,0,1,9,train,2.0,11,0,0,0,0,57.5,2480.0,6.6,Muy Bajo,2020.0,zona 7,7,pequeno,nuevo,1.0,1.0,1.0,nivel_1,1,2,Económico
1200.0,,,170.0,4.0,2.0,0.0,10.0,,2025-03-26,carabayllo,D,https://www.adondevivir.com/propiedades/clasificado/alclapin-carabayllo-alquiler-de-departamento-142571143.html,"av las palmeras carabayllo, carabayllo",-11.8620645,-77.0456806,6,0,0,0,0,15,train,6.0,6,0,0,0,0,7.0588235294117645,,3.5999999999999996,Muy Bajo,2010.0,zona 1,1,grande,seminuevo,3.0,2.0,4.0,nivel_2,2,0,Medio
