precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa,latitud,longitud,num_colegios_aprox,num_hospitales_aprox,num_tren_est_aprox,num_metro_est_aprox,num_comisarias_aprox,num_delitos_aprox,set,total_ambientes,total_servicios_prox,total_transporte_aprox,flg_estac,flg_tren,flg_metro,precio_por_m2,costo_total_mensual,score_ubicacion,categoria_precio,decada_construccion,zona_apeim,zona_apeim_cod,tamano,antiguedad_categoria,tamano_cod,antiguedad_cod,nivel_socioeconomico_cod,categoria_crimenes,categoria_crimenes_cod,tipo_vivienda_cod,tipo_vivienda
2500.0,750.0,,48.0,1.0,1.0,0.0,19.0,117.0,2026-03-10,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-hab-1-bano-1-cochera-con-149217792.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=9&n_pos=6,"jorge chavez cdra 3 - piso 9 - vista exterior 1 hab 1 cochera, miraflores",-12.1073234,-77.0311595,7,5,0,0,0,4,train,2.0,12,0,0,0,0,52.083333333333336,,7.199999999999999,Muy Bajo,2000.0,zona 7,7,pequeno,seminuevo,1.0,2.0,1.0,nivel_1,1,0,Medio
3500.0,,300.0,81.0,3.0,2.0,1.0,2.0,,2026-03-21,san isidro,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-en-san-isidro-149324492.html?n_src=Listado&n_pills=Gimnasio&n_pg=6&n_pos=2,"avenida pablo carriquiry 888, san isidro",-12.1015441,-77.01769530000001,4,2,0,0,0,8,train,5.0,6,0,1,0,0,43.20987654320987,3800.0,3.6,Bajo,2020.0,zona 7,7,mediano,nuevo,2.0,1.0,1.0,nivel_1,1,2,Económico
4600.0,1270.0,450.0,150.0,3.0,3.0,1.0,3.0,397.0,2025-11-20,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-totalmente-amoblado-y-equipado!-cg-144284484.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=5&n_pos=5,"bajada balta, miraflores",-12.1257174,-77.0340022,4,1,0,0,0,14,train,6.0,5,0,1,0,0,30.666666666666668,5050.0,3.0,Bajo,2020.0,zona 7,7,grande,nuevo,3.0,1.0,1.0,nivel_3,3,1,Premium
3426.0,1000.0,410.0,85.0,2.0,2.0,1.0,6.0,70.0,2026-03-12,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-en-miraflores-amoblado-149251900.html?n_src=Listado&n_pills=Ascensor&n_pg=2&n_pos=18,"malecon balta al 7xx, miraflores",-12.1251193,-77.0337998,4,1,0,0,0,17,train,4.0,5,0,1,0,0,40.305882352941175,3836.0,3.0,Bajo,2010.0,zona 7,7,mediano,seminuevo,2.0,2.0,1.0,nivel_3,3,2,Económico
4080.0,1200.0,400.0,115.0,3.0,2.0,1.0,4.0,33.0,2025-11-20,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-areas-sociales-piscina-zona-de-parrillas-sum!-j.-a-147778405.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=4&n_pos=28,"calle alcanfores, miraflores",-12.1274221,-77.0281033,1,0,0,0,0,8,train,5.0,1,0,1,0,0,35.47826086956522,4480.0,0.6,Bajo,2020.0,zona 7,7,grande,nuevo,3.0,1.0,1.0,nivel_1,1,1,Premium
3840.0,1150.0,400.0,135.0,3.0,3.0,2.0,5.0,250.0,2025-11-18,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-super-amplio-con-espacioso-balcon!-c.-g-147353677.html?n_src=Listado&n_pills=Seguridad&n_pg=5&n_pos=18,"alcanfores, miraflores",-12.1274221,-77.0281033,1,0,0,0,0,8,train,6.0,1,0,1,0,0,28.444444444444443,4240.0,0.6,Bajo,2020.0,zona 7,7,grande,nuevo,3.0,1.0,1.0,nivel_1,1,1,Premium
2750.0,820.0,250.0,60.0,2.0,2.0,1.0,3.0,569.0,2026-02-25,san isidro,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-con-areas-comunes-en-san-isidro-cerca-de-149080968.html?n_src=Listado&n_pills=Gimnasio&n_pg=8&n_pos=4,"av arequipa al 2655, san isidro",-12.0920545,-77.0332479,2,4,0,0,1,13,train,4.0,7,0,1,0,0,45.833333333333336,3000.0,4.2,Muy Bajo,2020.0,zona 7,7,mediano,nuevo,2.0,1.0,1.0,nivel_3,3,2,Económico
8500.0,2500.0,1300.0,354.0,3.0,3.0,2.0,8.0,140.0,2026-03-06,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-duplex-de-352-m-sup2--a-pasos-del-malecon-de-149182593.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=9&n_pos=11,"av grau 720 - cerca al malecon terraza, miraflores",-12.1253676,-77.03499479999999,4,1,0,0,0,15,train,6.0,5,0,1,0,0,24.01129943502825,9800.0,3.0,Alto,2010.0,zona 7,7,grande,seminuevo,3.0,2.0,1.0,nivel_3,3,1,Premium
4000.0,1170.0,500.0,84.0,2.0,2.0,2.0,4.0,175.0,2026-03-05,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alq-dpto-amoblado-86-m-sup2--2-dorm.-2-cocheras-en-149171154.html?n_src=Listado&n_pills=Amoblado&n_pg=3&n_pos=7,"av general mendiburu 6xx miraflores, miraflores",-12.1137075,-77.0465154,4,0,0,0,0,18,train,4.0,4,0,1,0,0,47.61904761904762,4500.0,2.4,Bajo,2020.0,zona 7,7,mediano,nuevo,2.0,1.0,1.0,nivel_3,3,2,Económico
4420.0,1300.0,475.0,96.0,2.0,2.0,1.0,8.0,117.0,2026-03-12,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-moderno-departamento-amoblado-cerca-a-el-olivar-149238788.html?n_src=Listado&n_pills=Amoblado&n_pg=2&n_pos=19,"calle independencia, miraflores",-12.1124846,-77.032395,12,3,0,0,0,17,train,4.0,15,0,1,0,0,46.04166666666666,4895.0,9.0,Bajo,2010.0,zona 7,7,mediano,seminuevo,2.0,2.0,1.0,nivel_3,3,2,Económico
