precio_pen,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,num_colegios_prox,num_hospitales_prox,total_ambientes,tiene_estac,tamano_cod,antiguedad_cod,nivel_socioeconomico_cod,total_servicios_prox
3600.0,380.0,80.0,2.0,3.0,1.0,2.0,46.0,5,2,5.0,1,2.0,1.0,1.0,7
1750.0,250.0,74.0,3.0,3.0,,0.0,398.0,2,0,6.0,0,2.0,1.0,3.0,2
1550.0,200.0,23.0,1.0,1.0,,1.0,203.0,8,0,2.0,0,1.0,1.0,1.0,9
1674.0,,32.0,1.0,1.0,,6.0,295.0,12,4,2.0,0,1.0,2.0,3.0,18
2100.0,180.0,54.0,1.0,1.0,,0.0,57.0,12,4,2.0,0,2.0,1.0,3.0,19
6480.0,450.0,411.0,4.0,3.0,2.0,8.0,41.0,4,1,7.0,1,3.0,2.0,3.0,6
3895.0,,90.0,2.0,3.0,1.0,0.0,18.0,13,0,5.0,1,2.0,1.0,3.0,13
2000.0,,90.0,3.0,1.0,,15.0,,7,0,4.0,0,2.0,2.0,2.0,7
2000.0,190.0,55.0,1.0,1.0,1.0,6.0,65.0,14,0,2.0,1,2.0,2.0,2.0,14
1800.0,300.0,45.0,1.0,1.0,,6.0,112.0,9,0,2.0,0,1.0,2.0,1.0,9
2950.0,250.0,140.0,3.0,3.0,1.0,10.0,193.0,4,1,6.0,1,3.0,2.0,1.0,5
3000.0,150.0,100.0,2.0,2.0,,30.0,264.0,4,1,4.0,0,2.0,3.0,1.0,5
2499.0,280.0,43.0,1.0,1.0,,0.0,17.0,8,2,2.0,0,1.0,1.0,1.0,11
2800.0,280.0,92.0,3.0,2.0,1.0,9.0,,9,1,5.0,1,2.0,2.0,3.0,11
2700.0,,54.0,2.0,2.0,,0.0,46.0,11,1,4.0,0,2.0,1.0,3.0,13
1200.0,,85.0,3.0,1.0,,10.0,346.0,12,1,4.0,0,2.0,2.0,3.0,13
5550.0,480.0,110.0,2.0,1.0,1.0,9.0,84.0,2,0,3.0,1,3.0,2.0,1.0,2
2900.0,300.0,67.0,2.0,2.0,,1.0,96.0,28,3,4.0,0,2.0,1.0,2.0,32
7560.0,750.0,131.0,2.0,2.0,1.0,7.0,83.0,10,1,4.0,1,3.0,2.0,1.0,11
6100.0,450.0,180.0,2.0,2.0,1.0,5.0,267.0,2,1,4.0,1,3.0,1.0,1.0,3
7400.0,700.0,210.0,3.0,2.0,2.0,12.0,180.0,3,0,5.0,1,3.0,2.0,1.0,3
3200.0,350.0,70.0,2.0,2.0,1.0,3.0,29.0,6,1,4.0,1,2.0,1.0,2.0,7
3200.0,350.0,70.0,2.0,2.0,1.0,3.0,44.0,7,1,4.0,1,2.0,1.0,1.0,8
1600.0,200.0,55.0,2.0,2.0,1.0,5.0,147.0,4,0,4.0,1,2.0,1.0,2.0,4
1900.0,70.0,74.0,2.0,1.0,,10.0,315.0,13,3,3.0,0,2.0,2.0,2.0,16
4990.0,1.0,266.0,3.0,2.0,1.0,7.0,33.0,7,9,5.0,1,3.0,2.0,1.0,16
3640.0,270.0,115.0,3.0,2.0,1.0,9.0,71.0,3,1,5.0,1,3.0,2.0,1.0,4
2800.0,480.0,115.0,1.0,2.0,1.0,4.0,,3,0,3.0,1,3.0,1.0,1.0,3
3744.0,450.0,110.0,3.0,3.0,1.0,20.0,111.0,5,2,6.0,1,3.0,2.0,1.0,7
2600.0,385.0,79.0,1.0,2.0,1.0,8.0,,10,0,3.0,1,2.0,2.0,1.0,10
3663.0,580.0,101.0,2.0,2.0,1.0,7.0,70.0,20,0,4.0,1,3.0,2.0,1.0,21
2800.0,200.0,67.0,1.0,1.0,1.0,1.0,,10,0,2.0,1,2.0,1.0,2.0,10
2000.0,180.0,65.0,3.0,2.0,,0.0,39.0,8,0,5.0,0,2.0,1.0,3.0,9
2300.0,220.0,77.0,3.0,2.0,,6.0,184.0,19,0,5.0,0,2.0,2.0,2.0,19
3450.0,400.0,87.0,2.0,2.0,1.0,8.0,106.0,2,0,4.0,1,2.0,2.0,1.0,2
2800.0,,62.0,2.0,2.0,,0.0,66.0,6,2,4.0,0,2.0,1.0,1.0,8
3800.0,350.0,80.0,2.0,2.0,1.0,0.0,130.0,9,3,4.0,1,2.0,1.0,1.0,12
3467.0,350.0,93.0,2.0,2.0,1.0,5.0,120.0,6,1,4.0,1,2.0,1.0,1.0,7
2200.0,250.0,44.0,1.0,1.0,,0.0,142.0,14,3,2.0,0,1.0,1.0,2.0,17
4200.0,320.0,62.0,2.0,1.0,,0.0,78.0,5,0,3.0,0,2.0,1.0,1.0,5
2550.0,300.0,80.0,3.0,2.0,1.0,3.0,356.0,15,2,5.0,1,2.0,1.0,2.0,17
1550.0,200.0,54.0,2.0,2.0,,3.0,51.0,10,0,4.0,0,2.0,1.0,3.0,10
1650.0,120.0,28.0,1.0,1.0,,9.0,468.0,15,4,2.0,0,1.0,2.0,3.0,19
2400.0,260.0,60.0,2.0,2.0,,3.0,18.0,3,0,4.0,0,2.0,1.0,3.0,3
1450.0,70.0,55.0,2.0,1.0,,10.0,378.0,14,1,3.0,0,2.0,2.0,2.0,15
6516.0,862.0,190.0,2.0,2.0,2.0,30.0,,0,0,4.0,1,3.0,3.0,1.0,0
2100.0,180.0,72.0,3.0,2.0,1.0,1.0,73.0,17,0,5.0,1,2.0,1.0,1.0,18
3145.0,160.0,135.0,3.0,2.0,2.0,41.0,72.0,7,2,5.0,1,3.0,3.0,1.0,9
5180.0,500.0,117.0,3.0,2.0,1.0,4.0,,1,0,5.0,1,3.0,1.0,1.0,2
2500.0,260.0,72.0,3.0,2.0,1.0,0.0,126.0,7,2,5.0,1,2.0,1.0,2.0,9
2950.0,240.0,98.0,2.0,2.0,1.0,12.0,201.0,4,1,4.0,1,2.0,2.0,1.0,5
3490.0,370.0,120.0,3.0,3.0,1.0,7.0,201.0,9,1,6.0,1,3.0,2.0,1.0,10
3916.0,300.0,120.0,2.0,3.0,1.0,9.0,102.0,1,0,5.0,1,3.0,2.0,1.0,1
2400.0,200.0,74.0,3.0,2.0,1.0,11.0,219.0,14,0,5.0,1,2.0,2.0,2.0,15
2701.0,220.0,85.0,3.0,2.0,1.0,0.0,17.0,8,3,5.0,1,2.0,1.0,3.0,11
1500.0,200.0,75.0,3.0,1.0,,8.0,353.0,15,3,4.0,0,2.0,2.0,2.0,18
2800.0,190.0,190.0,3.0,2.0,,11.0,103.0,12,1,5.0,0,3.0,2.0,2.0,13
5262.0,700.0,149.0,3.0,3.0,1.0,38.0,200.0,5,0,6.0,1,3.0,3.0,1.0,5
1100.0,,50.0,1.0,1.0,,20.0,73.0,7,0,2.0,0,1.0,2.0,1.0,7
2000.0,,50.0,1.0,1.0,1.0,25.0,35.0,6,0,2.0,1,1.0,3.0,1.0,6
3680.0,420.0,105.0,2.0,2.0,1.0,0.0,20.0,8,4,4.0,1,3.0,1.0,1.0,12
2000.0,160.0,50.0,1.0,1.0,,6.0,219.0,10,0,2.0,0,1.0,2.0,3.0,11
2700.0,,110.0,3.0,2.0,1.0,12.0,120.0,11,0,5.0,1,3.0,2.0,1.0,11
3066.0,,103.0,2.0,2.0,1.0,41.0,59.0,8,3,4.0,1,3.0,3.0,1.0,13
1700.0,190.0,54.0,3.0,1.0,,0.0,206.0,2,0,4.0,0,2.0,1.0,1.0,2
3260.0,300.0,68.0,2.0,2.0,1.0,12.0,18.0,4,1,4.0,1,2.0,2.0,1.0,6
2000.0,200.0,70.0,2.0,2.0,1.0,,,8,2,4.0,1,2.0,,3.0,12
1700.0,,40.0,1.0,1.0,,15.0,51.0,12,0,2.0,0,1.0,2.0,2.0,13
980.0,,30.0,1.0,1.0,,1.0,123.0,0,0,2.0,0,1.0,1.0,2.0,0
1700.0,10.0,90.0,2.0,2.0,,,,9,0,4.0,0,2.0,,1.0,9
1100.0,120.0,50.0,3.0,1.0,1.0,,,9,0,4.0,1,1.0,,3.0,9
3650.0,,103.0,3.0,3.0,1.0,6.0,,6,0,6.0,1,3.0,2.0,1.0,6
