precio_pen,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod
5712.0,1000.0,120.0,2.0,2.0,0.0,5,0,7,1
5760.0,370.0,110.0,3.0,2.0,1.0,10,0,7,4
2700.0,,40.0,1.0,1.0,0.0,5,1,7,4
6200.0,700.0,124.0,2.0,2.0,1.0,11,0,7,3
6900.0,800.0,130.0,2.0,2.0,2.0,7,0,7,1
10000.0,220.0,285.0,3.0,2.0,2.0,1,0,7,1
10150.0,1000.0,130.0,2.0,2.0,1.0,10,0,7,1
11760.0,750.0,250.0,3.0,4.0,2.0,5,0,7,1
3709.0,350.0,107.0,2.0,3.0,1.0,1,0,7,4
4500.0,500.0,74.0,2.0,2.0,1.0,12,0,7,4
4400.0,370.0,84.0,3.0,1.0,1.0,8,0,7,4
3600.0,350.0,93.0,1.0,1.0,1.0,2,0,7,1
3048.0,432.0,68.0,2.0,1.0,1.0,6,1,7,4
