precio_pen,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,zona_apeim_cod
3600.0,380.0,80.0,2.0,3.0,1.0,2.0,7.0
3640.0,270.0,115.0,3.0,2.0,1.0,9.0,7.0
3744.0,450.0,110.0,3.0,3.0,1.0,20.0,7.0
3663.0,580.0,101.0,2.0,2.0,1.0,7.0,7.0
3450.0,400.0,87.0,2.0,2.0,1.0,8.0,7.0
3800.0,350.0,80.0,2.0,2.0,1.0,0.0,7.0
3467.0,350.0,93.0,2.0,2.0,1.0,5.0,7.0
3490.0,370.0,120.0,3.0,3.0,1.0,7.0,7.0
3916.0,300.0,120.0,2.0,3.0,1.0,9.0,7.0
3680.0,420.0,105.0,2.0,2.0,1.0,0.0,7.0
3260.0,300.0,68.0,2.0,2.0,1.0,12.0,7.0
4500.0,600.0,90.0,2.0,2.0,1.0,3.0,7.0
4500.0,600.0,95.0,2.0,2.0,1.0,4.0,7.0
4050.0,420.0,105.0,2.0,2.0,2.0,0.0,7.0
3420.0,634.0,94.0,2.0,2.0,1.0,12.0,7.0
3400.0,450.0,100.0,2.0,2.0,1.0,10.0,7.0
4380.0,295.0,105.0,2.0,2.0,1.0,25.0,7.0
3100.0,270.0,80.0,2.0,2.0,1.0,8.0,7.0
4015.0,550.0,152.0,3.0,3.0,2.0,0.0,7.0
3890.0,587.0,90.0,3.0,2.0,1.0,0.0,7.0
3240.0,350.0,110.0,2.0,3.0,1.0,6.0,7.0
3970.0,430.0,113.0,3.0,2.0,1.0,13.0,7.0
4197.0,490.0,90.0,2.0,2.0,,1.0,7.0
3495.0,350.0,86.0,2.0,2.0,1.0,5.0,7.0
4171.0,320.0,86.0,3.0,2.0,1.0,0.0,7.0
3103.0,260.0,65.0,1.0,1.0,1.0,10.0,7.0
4150.0,280.0,86.0,2.0,2.0,1.0,0.0,7.0
3500.0,400.0,120.0,3.0,2.0,2.0,14.0,7.0
3624.0,350.0,71.0,1.0,,1.0,14.0,7.0
3750.0,260.0,85.0,2.0,2.0,1.0,,7.0
3730.0,280.0,80.0,2.0,2.0,1.0,,7.0
4440.0,360.0,130.0,3.0,3.0,1.0,45.0,7.0
3650.0,3.0,65.0,2.0,2.0,1.0,7.0,7.0
3119.0,,108.0,3.0,3.0,1.0,18.0,7.0
4015.0,400.0,137.0,3.0,,1.0,55.0,7.0
3300.0,290.0,75.0,2.0,2.0,1.0,0.0,7.0
3230.0,,77.0,1.0,1.0,1.0,5.0,7.0
4015.0,,80.0,2.0,2.0,1.0,10.0,7.0
3100.0,380.0,63.0,2.0,2.0,1.0,1.0,7.0
3160.0,370.0,92.0,2.0,2.0,1.0,5.0,7.0
3200.0,330.0,110.0,2.0,1.0,1.0,40.0,7.0
3647.0,420.0,87.0,2.0,3.0,1.0,2.0,7.0
3330.0,337.0,75.0,1.0,1.0,1.0,,7.0
3700.0,360.0,66.0,1.0,1.0,1.0,10.0,7.0
3670.0,420.0,87.0,2.0,2.0,1.0,4.0,7.0
3480.0,528.0,62.0,2.0,2.0,,0.0,7.0
3400.0,400.0,108.0,3.0,2.0,1.0,15.0,7.0
4232.0,343.0,120.0,2.0,2.0,2.0,7.0,7.0
3700.0,,100.0,2.0,2.0,,1.0,7.0
3266.0,210.0,62.0,1.0,1.0,1.0,10.0,7.0
3100.0,,72.0,1.0,1.0,1.0,5.0,7.0
3607.0,,83.0,2.0,2.0,2.0,1.0,7.0
3800.0,500.0,120.0,,2.0,1.0,7.0,7.0
4125.0,350.0,115.0,3.0,3.0,1.0,5.0,7.0
3515.0,350.0,85.0,2.0,2.0,1.0,11.0,7.0
3400.0,520.0,140.0,,3.0,1.0,38.0,7.0
3835.0,300.0,84.0,2.0,2.0,1.0,,7.0
4560.0,580.0,125.0,2.0,2.0,2.0,2.0,7.0
4125.0,350.0,96.0,2.0,2.0,1.0,13.0,7.0
3750.0,450.0,111.0,2.0,3.0,2.0,15.0,7.0
3385.0,541.0,120.0,2.0,2.0,1.0,15.0,7.0
3200.0,430.0,71.0,1.0,1.0,1.0,0.0,7.0
3102.0,450.0,105.0,2.0,2.0,1.0,8.0,7.0
4050.0,550.0,130.0,2.0,2.0,2.0,9.0,7.0
4114.0,600.0,126.0,2.0,2.0,2.0,4.0,7.0
3750.0,320.0,84.0,2.0,2.0,1.0,7.0,7.0
4488.0,500.0,104.0,3.0,3.0,2.0,10.0,7.0
4140.0,470.0,120.0,2.0,2.0,1.0,11.0,7.0
3630.0,450.0,80.0,1.0,1.0,1.0,7.0,7.0
3145.0,350.0,86.0,3.0,2.0,2.0,15.0,7.0
3310.0,390.0,90.0,1.0,1.0,1.0,1.0,7.0
3960.0,300.0,80.0,2.0,2.0,,10.0,7.0
3500.0,320.0,75.0,1.0,1.0,,10.0,7.0
3457.0,350.0,75.0,1.0,1.0,,5.0,7.0
3700.0,380.0,85.0,2.0,2.0,1.0,5.0,7.0
3500.0,260.0,58.0,2.0,2.0,1.0,0.0,7.0
3600.0,500.0,92.0,2.0,2.0,1.0,0.0,7.0
3640.0,320.0,90.0,2.0,2.0,,6.0,7.0
3800.0,300.0,80.0,,2.0,1.0,3.0,7.0
3400.0,300.0,80.0,2.0,2.0,1.0,3.0,7.0
4180.0,320.0,125.0,3.0,2.0,1.0,9.0,7.0
4488.0,430.0,115.0,3.0,3.0,1.0,8.0,7.0
4053.0,600.0,126.0,2.0,2.0,2.0,5.0,7.0
3366.0,400.0,97.0,,2.0,1.0,5.0,7.0
4488.0,300.0,110.0,3.0,2.0,1.0,4.0,7.0
4147.0,420.0,115.0,2.0,2.0,2.0,4.0,7.0
3366.0,380.0,80.0,2.0,2.0,1.0,16.0,7.0
3740.0,350.0,85.0,2.0,2.0,1.0,10.0,7.0
3179.0,350.0,100.0,3.0,2.0,1.0,8.0,7.0
3500.0,462.0,115.0,2.0,2.0,1.0,10.0,7.0
3610.0,470.0,78.0,3.0,2.0,1.0,0.0,7.0
3740.0,351.0,78.0,2.0,2.0,1.0,4.0,7.0
4114.0,455.0,108.0,2.0,2.0,1.0,8.0,7.0
4488.0,550.0,134.0,3.0,2.0,1.0,3.0,7.0
4114.0,,65.0,1.0,1.0,1.0,8.0,7.0
4000.0,450.0,107.0,3.0,2.0,1.0,5.0,7.0
4440.0,410.0,115.0,3.0,2.0,1.0,7.0,7.0
