precio_pen,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod
3700.0,350.0,90.0,3.0,2.0,1.0,3,0,6,3
2700.0,250.0,69.0,3.0,2.0,1.0,8,0,8,4
5100.0,550.0,140.0,3.0,2.0,1.0,5,0,7,1
3365.0,450.0,108.0,1.0,1.0,1.0,0,0,4,1
2600.0,,52.0,2.0,2.0,1.0,8,0,8,2
11220.0,1950.0,480.0,3.0,3.0,2.0,3,0,8,1
4071.0,380.0,62.0,2.0,1.0,1.0,11,0,6,3
1850.0,250.0,64.0,3.0,2.0,0.0,14,0,6,4
1900.0,,100.0,3.0,2.0,1.0,19,3,4,4
1450.0,160.0,73.0,2.0,2.0,0.0,12,0,4,4
2333.0,280.0,55.0,1.0,1.0,1.0,5,0,8,2
