nombre,latitud,longitud
Ripley,-12.0862037,-76.9753818
Plaza Vea,-12.0574878,-77.0376989
Plaza Vea,-12.0220304,-76.9969498
Real Plaza,-12.056575,-77.0375943
Plaza Vea,-11.1099384,-77.6132549
Wong,-12.089883,-77.0055793
Mercado Bolivar,-12.0728734,-77.0655359
Tottus Atocongo,-12.1475791,-76.9807458
Metro,-12.0062986,-77.0600749
Tottus,-11.9939964,-77.0619646
Ripley Max,-11.9956134,-77.0620124
Falabella,-11.9936658,-77.0603622
Wong,-12.762122,-76.6011594
Mercado Municipal Churin,-10.8090493,-76.875166
Plaza Vea,-12.0916358,-76.9502115
Wong,-12.0918502,-76.9508679
Ripley,-12.0074075,-77.0591555
Ripley,-12.0774676,-77.0827161
Tottus,-12.0792883,-77.0884094
"Mercado ""La Parada""",-11.1036214,-77.6090842
Wong,-12.076708,-77.081219
Minimarket Urcosol,-12.0720488,-77.0686946
Plaza Vea,-12.0481304,-77.0330813
Tottus Express,-12.1295635,-77.0223023
Centro Comercial Balta,-12.1229297,-77.0322474
Ripley,-12.7627918,-76.6028447
Plaza Vea,-12.274071,-76.8733897
Falabella,-12.0062842,-77.0570894
Estilos,-12.00554,-77.0576157
Falabella,-12.0767175,-77.0834859
Plaza Vea,-12.0849172,-76.9756698
CasaIdeas,-12.0866111,-76.9759858
Plaza Vea,-12.1728213,-76.9926674
Mercado María Magdalena,-10.7963988,-77.7150807
Mercado Productores de Santa Anita,-12.0418806,-76.9482449
Mercado Villa Jardín,-12.0782484,-76.9920742
Mercado Tantamayo,-11.9593354,-77.0967296
Donna,-12.0830756,-76.8977099
Mercado N° de Santa Clara,-12.0191716,-76.886805
Galería comercial Barrio chino,-12.0516519,-77.0255944
Mercado de salamanca,-12.0753999,-76.987557
,-12.075114,-76.9874873
,-12.0741023,-76.9869562
Ransa Comercial,-12.1196535,-77.0372316
Emolientero de Surco,-12.1380772,-77.0016148
Metro,-12.0405547,-77.0012765
Plaza Vea,-12.2313377,-76.9106984
Dolce Mela Valle Hermoso,-12.1268803,-76.9752005
Oechsle,-12.0562485,-77.0377515
Rivera,-11.9392427,-77.066564
Ripley,-12.0888432,-77.005221
Oechsle,-12.0901346,-77.0050646
Plaza Vea,-12.089914,-77.004267
Galeria La estrella de Caquetá,-12.0338958,-77.0426388
Galería Capón,-12.0511865,-77.0251655
Tottus,-12.0856462,-76.9791644
Oechsle,-12.0869817,-76.9754531
Las Malvinas,-12.0418383,-77.0181061
Tottus,-12.1555349,-76.9816331
Falabella,-12.1540439,-76.9825652
Metro,-12.1735816,-77.0126796
Oechsle,-12.1113215,-77.0018244
Metro,-12.1102677,-77.0021214
Plaza Vea,-12.0657587,-77.0485241
París,-12.0662237,-77.0479965
Ripley,-12.0663368,-77.047258
Falabella,-12.0571756,-77.0377311
Plaza Vea,-12.0157497,-76.8861462
El Óvalo,-12.0539353,-76.963509
Mercado Huamantaga,-11.8635398,-77.0748957
Mercado de Productores de San Isidro,-12.108776,-77.0537496
Plaza Vea,-11.9396555,-77.0698289
Tottus,-12.097334,-76.9947601
Galería Mina de Oro,-12.0533446,-77.0260148
Galería Cuzco,-12.0532135,-77.026346
Galería Tradición,-12.0522394,-77.0285499
Mercado Central,-12.0526789,-77.0275729
Huancaya,-12.2046092,-75.7992496
Señor de los Milagros,-12.0444186,-77.0390824
,-12.0442235,-77.0405352
Distribuidora nuevo mundo,-12.0916777,-77.0347503
Economax,-12.0649801,-77.0297755
Mercado Municipal Manco Cápac,-12.0688843,-77.0289717
Vivanda Pezet,-12.1025598,-77.052177
,-12.115835,-77.0446562
Plaza Vea,-12.0895002,-77.0752343
,-12.0593796,-77.0727748
Cayetano Heredia,-12.0470988,-77.0355366
MERCADO,-11.9648284,-77.0608908
Product baratos,-12.0494744,-77.0239183
Centro Comercial de artesania,-12.0445549,-77.0322941
Mercado tres regiones,-11.8484528,-77.0937361
Metro,-12.0404046,-77.0292348
Ripley,-12.1723708,-77.0141617
Mercado Las Poncianas,-11.9824347,-77.1014879
