,nombre,ubicacion,direccion_completa,distrito,provincia,latitud,longitud
0,Agustino Plaza,"El Agustino, Lima","Agustino Plaza, El Agustino, Lima",el agustino, Lima,-12.0411033,-77.0030906
1,Alameda Plaza,"San Juan de Lurigancho, Lima","Alameda Plaza, San Juan de Lurigancho, Lima",sjl, Lima,-11.9787838,-77.0109428
2,Arequipa Center,"Cerro Colorado, Arequipa","Arequipa Center, Cerro Colorado, Arequipa",cerro colorado, Arequipa,-16.3747288,-71.55718759999999
3,Arequipa Plaza Norte,"Cerro Colorado, Arequipa","Arequipa Plaza Norte, Cerro Colorado, Arequipa",cerro colorado, Arequipa,-16.3422824,-71.5833481
4,Balta Shopping,"Miraflores, Lima","Balta Shopping, Miraflores, Lima",miraflores, Lima,-12.1229203,-77.03224829999999
5,Cencosud Shopping Center La Molina,"La Molina, Lima","Cencosud Shopping Center La Molina, La Molina, Lima",la molina, Lima,-12.0820196,-76.928234
6,Centro Comercial Arenales,"Lince, Lima","Centro Comercial Arenales, Lince, Lima",lince, Lima,-12.0819773,-77.0356669
7,Centro Comercial Camino Real,"San Isidro, Lima","Centro Comercial Camino Real, San Isidro, Lima",san isidro, Lima,-12.0982203,-77.03705049999999
8,Centro Comercial El Polo,"Santiago de Surco, Lima","Centro Comercial El Polo, Santiago de Surco, Lima",santiago de surco, Lima,-12.1013902,-76.970967
9,Centro Comercial El Polo II,"Santiago de Surco, Lima","Centro Comercial El Polo II, Santiago de Surco, Lima",santiago de surco, Lima,-12.1013902,-76.970967
10,Centro Comercial Risso,"Lince, Lima","Centro Comercial Risso, Lince, Lima",lince, Lima,-12.0864172,-77.0347137
11,Centro Comercial Caminos del Inca,"Santiago de Surco, Lima","Centro Comercial Caminos del Inca, Santiago de Surco, Lima",santiago de surco, Lima,-12.113441,-76.9914083
12,Gamarra Moda Plaza,"La Victoria, Lima","Gamarra Moda Plaza, La Victoria, Lima",la victoria, Lima,-12.0644768,-77.0161098
13,Jockey Plaza Shopping Center,"Santiago de Surco, Lima","Jockey Plaza Shopping Center, Santiago de Surco, Lima",santiago de surco, Lima,-12.0852535,-76.9772493
14,KM40,"Lurín / Punta Hermosa, Lima","KM40, Lurín / Punta Hermosa, Lima",lurin / punta hermosa, Lima,-12.3114989,-76.8359619
15,Larcomar,"Miraflores, Lima","Larcomar, Miraflores, Lima",miraflores, Lima,-12.1319578,-77.03049159999999
16,La Rambla Brasil,"Breña, Lima","La Rambla Brasil, Breña, Lima",brena, Lima,-12.0669389,-77.047381
17,La Rambla San Borja,"San Borja, Lima","La Rambla San Borja, San Borja, Lima",san borja, Lima,-12.0888516,-77.0051573
18,Mall Aventura Chiclayo,Chiclayo,"Mall Aventura Chiclayo, Chiclayo",chiclayo,,-6.763157499999999,-79.8613002
19,Mall Aventura Arequipa,"Paucarpata, Arequipa","Mall Aventura Arequipa, Paucarpata, Arequipa",paucarpata, Arequipa,-16.4173429,-71.5137756
20,Mall Aventura Iquitos,"Iquitos, Loreto","Mall Aventura Iquitos, Iquitos, Loreto",iquitos, Loreto,-3.7526118,-73.2470268
21,Mall Aventura San Juan de Lurigancho,"San Juan de Lurigancho, Lima","Mall Aventura San Juan de Lurigancho, San Juan de Lurigancho, Lima",sjl, Lima,-12.0160002,-76.9991971
22,Mall Aventura Santa Anita,"Santa Anita, Lima","Mall Aventura Santa Anita, Santa Anita, Lima",santa anita, Lima,-12.0568533,-76.97074219999999
23,Mallplaza Bellavista,"Bellavista, Callao.","Mallplaza Bellavista, Bellavista, Callao.",bellavista, Callao.,-12.0551303,-77.1026218
24,Mallplaza Cayma,"Cayma, Arequipa","Mallplaza Cayma, Cayma, Arequipa",cayma, Arequipa,-16.3902726,-71.5465425
