nombre,direccion_completa,distrito,latitud,longitud
chimpu ocllo,"avenida isabel chimpu ocllo con avenida universitaria, peru",carabayllo,-11.8944484,-77.03682789999999
san felipe,"avenida san felipe con avenida universitaria, peru",comas,-11.9011058,-77.0397103
san carlos,"avenida san carlos con avenida universitaria, peru",comas,-11.9062994,-77.04263329999999
la alborada,"jiron los nisperos con avenida universitaria, peru",comas,-11.9984175,-77.0479248
los incas,"avenida los incas con avenida universitaria, peru",comas,-11.9149658,-77.0480552
sangarara,"avenida sangarara con avenida universitaria, peru",comas,-11.919654,-77.05068419999999
jamaica,"avenida jamaica con avenida universitaria, peru",comas,-11.9258293,-77.0523248
micaela bastidas,"avenida micaela bastidas con avenida universitaria, peru",comas,-11.9300155,-77.0534811
andres belaunde,"avenida victor andres belaunde oeste con avenida universitaria, peru",comas,-11.9348906,-77.0561584
los angeles,"avenida guillermo de la fuente con avenida universitaria, peru",comas,-11.9424384,-77.0602212
veintidos de agosto,"avenida 22 de agosto con avenida universitaria, peru",comas,-11.946048,-77.0603596
jose pagador,"jiron jose pagador con avenida universitaria, peru",comas,-11.9516203,-77.0597688
las vegas,"avenida mexico con avenida universitaria, peru",comas,-11.9553406,-77.0596843
universitaria,"avenida universitaria con avenida el parral, peru",comas,-11.9606199,-77.0612254
universidad,"avenida universitaria con avenida metropolitana, peru",comas,-11.9528802,-77.0645984
maestro peruano,avenida maestro peruano con avenida metropolitana,comas,-11.9648686,-77.0616964
los platinos,"jiron platino con avenida metropolitana, peru",comas,-11.9528802,-77.0645984
santa ligia,"jiron santa ligia con avenida metropolitana, peru",comas,-11.9749813,-77.05967559999999
naranjal,"avenida tupac amaru con avenida chinchaysuyo y avenida los alisos, peru",independencia,-11.9800504,-77.0589439
izaguirre,"avenida tupac amaru con avenida izaguirre, peru",independencia,-11.9890424,-77.0571126
pacifico,"avenida tupac amaru con avenida el pacifico, peru",independencia,-11.9944481,-77.0564062
independencia,"avenida tupac amaru con avenida los pinos, peru",independencia,-11.9978667,-77.05541079999999
los jazmines,"avenida tupac amaru con avenida los jazmines, peru",independencia,-12.0015292,-77.05469130000002
tomas valle,"avenida tupac amaru con avenida tomas valle, peru",independencia y san martin de porres,-12.0072217,-77.053685
el milagro,"avenida tupac amaru con avenida fray bartolome de las casas, peru",rimac y san martin de porres,-12.0109651,-77.05288759999999
honorio delgado,"avenida tupac amaru con avenida honorio delgado, peru",rimac y san martin de porres,-12.0182638,-77.0515443
uni,"avenida tupac amaru con avenida eduardo de habich, peru",rimac y san martin de porres,-12.0232361,-77.0498769
parque del trabajo,"avenida caqueta con avenida miguel grau, peru",rimac y san martin de porres,-12.0304894,-77.0440352
caqueta,"avenida caqueta con via de evitamiento, peru",rimac y san martin de porres,-12.0422714,-77.020402
dos de mayo,"avenida alfonso ugarte con plaza 2 de mayo, peru",lima cercado,-12.0459716,-77.0426103
quilca,"avenida alfonso ugarte con jiron quilca, peru",lima y brena,-12.0508703,-77.0422269
espana,"avenida alfonso ugarte con avenida espana, peru",lima y brena,-12.0582385,-77.041567
ramon castilla,"avenida emancipacion con plaza ramon castilla, peru",lima cercado,-12.0433131,-77.04243190000001
tacna,"avenida emancipacion con avenida tacna, peru",lima cercado,-12.0463748,-77.0373932
jiron de la union,"avenida emancipacion con jiron de la union, peru",lima cercado,-12.0488683,-77.033322
colmena,"jiron lampa con avenida nicolas de pierola, peru",lima cercado,-12.0527464,-77.0330508
estacion central,"paseo de los heroes navales, peru",lima cercado,-12.0576824,-77.0359692
estadio nacional,"avenida paseo de la republica con jiron sebastian barranca, peru",lima y la victoria,-12.116694,-77.02592530000001
mexico,"avenida paseo de la republica con avenida mexico, peru",lima y la victoria,-12.0771311,-77.0291697
canada,"avenida paseo de la republica con avenida canada, peru",lince y la victoria,-12.0825312,-77.0268644
javier prado,"avenida paseo de la republica con avenida javier prado, peru",lince y la victoria,-12.0833635,-76.9852257
canaval y moreyra / andres reyes,"avenida paseo de la republica con avenida canaval y moreyra, peru",san isidro,-12.0967674,-77.0246702
comunidad andina/aramburu,"avenida paseo de la republica con avenida aramburu, peru","san isidro, miraflores y surquillo",-12.1027439,-77.0270155
domingo orue,"avenida paseo de la republica con avenida domingo orue, peru",miraflores y surquillo,-12.108444,-77.0261689
angamos,"avenida paseo de la republica con avenida angamos, peru",miraflores y surquillo,-12.1134084,-77.02557689999999
ricardo palma,"avenida paseo de la republica con avenida ricardo palma, peru",miraflores y surquillo,-12.1192207,-77.025545
benavides,"avenida paseo de la republica con avenida benavides, peru",miraflores,-12.1253432,-77.0239094
veintiocho de julio,"avenida paseo de la republica con avenida veintiocho de julio, peru",miraflores,-12.0638442,-77.0340713
plaza de flores,"avenida paseo de la republica con jiron carlos arrieta, peru",barranco,-12.116694,-77.02592530000001
balta,"avenida republica de panama con avenida balta, peru",barranco,-12.1419237,-77.01784219999999
bulevar,"avenida francisco bolognesi con calle pazos, peru",barranco,-12.1479945,-77.0200397
estadio union,"avenida escuela militar con calle deportes, peru",barranco,-12.1609201,-77.0191991
escuela militar,"avenida escuela militar con villa militar, peru",chorrillos,-12.1609201,-77.0191991
fernando teran,"prolongacion paseo de la republica con avenida fernando teran, peru",chorrillos,-12.1697937,-77.01892649999999
rosario de villa,"prolongacion paseo de la republica con calle madalengoitia, peru",chorrillos,-12.1735093,-77.015077
matellini,"prolongacion paseo de la republica con avenida matellini, peru",chorrillos,-12.1790079,-77.00964259999999
