,Unnamed: 0,precio_pen,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,nivel_socioeconomico,latitud,longitud,num_colegios_prox,num_malls_prox,num_hospitales_prox,año,mes,dia,dia_semana,semana,es_fin_de_semana,distrito_ate,distrito_barranco,distrito_brena,distrito_callao,distrito_carabayllo,distrito_chaclacayo,distrito_chorrillos,distrito_cieneguilla,distrito_comas,distrito_el agustino,distrito_independencia,distrito_jesus maria,distrito_la molina,distrito_la victoria,distrito_lima cercado,distrito_lince,distrito_los olivos,distrito_lurigancho,distrito_lurin,distrito_magdalena,distrito_miraflores,distrito_pachacamac,distrito_pucusana,distrito_pueblo libre,distrito_puente piedra,distrito_punta hermosa,distrito_punta negra,distrito_rimac,distrito_san bartolo,distrito_san borja,distrito_san isidro,distrito_san luis,distrito_san miguel,distrito_santa anita,distrito_santa maria del mar,distrito_sjl,distrito_sjm,distrito_smp,distrito_surco,distrito_surquillo,distrito_ves,distrito_vmt
0,0,3600.0,380.0,80.0,2.0,3.0,1.0,2.0,46.0,4,-12.12416,-77.0330894,5,1,2,2025,6,9,0,24,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,1750.0,250.0,74.0,3.0,3.0,1.0,0.0,398.0,2,-12.0577678,-77.06694329999999,2,0,0,2025,6,16,0,25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2,1550.0,200.0,23.0,1.0,1.0,1.0,1.0,203.0,4,-12.0627478,-77.0262624,6,0,0,2025,6,12,3,24,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,3,1674.0,310.0,32.0,1.0,1.0,1.0,6.0,295.0,2,-12.0463808,-77.0432246,11,0,4,2025,2,21,4,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4,2100.0,180.0,54.0,1.0,1.0,1.0,0.0,57.0,2,-12.0466888,-77.04308859999999,11,0,4,2025,6,9,0,24,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,5,6480.0,450.0,411.0,4.0,3.0,2.0,8.0,41.0,2,-12.1063778,-77.0582883,3,0,1,2025,6,4,2,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,6,3895.0,310.0,90.0,2.0,3.0,1.0,0.0,18.0,2,-12.0960212,-77.0596096,13,1,0,2025,5,26,0,22,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,7,2000.0,310.0,90.0,3.0,1.0,1.0,15.0,61.0,3,-12.1927246,-77.0037691,6,0,0,2025,6,11,2,24,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,8,2000.0,190.0,55.0,1.0,1.0,1.0,6.0,65.0,3,-12.0926354,-77.0809125,9,0,0,2025,6,17,1,25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
9,9,1800.0,300.0,45.0,1.0,1.0,1.0,6.0,112.0,4,-12.1364596,-77.0213055,9,0,0,2025,6,17,1,25,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,10,2950.0,250.0,140.0,3.0,3.0,1.0,10.0,193.0,4,-12.1330483,-77.00383029999999,4,0,1,2025,6,15,6,24,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
11,11,3000.0,150.0,100.0,2.0,2.0,1.0,30.0,264.0,4,-12.1315328,-77.0275128,4,1,1,2025,6,16,0,25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,12,2499.0,280.0,43.0,1.0,1.0,1.0,0.0,17.0,4,-12.1023625,-77.0234548,5,0,2,2025,6,16,0,25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
13,13,2800.0,280.0,92.0,3.0,2.0,1.0,9.0,61.0,2,-12.1183186,-77.0079051,7,0,1,2025,6,11,2,24,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
14,14,2700.0,310.0,54.0,2.0,2.0,1.0,0.0,46.0,2,-12.1164878,-77.0097678,6,0,1,2025,6,14,5,24,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
15,15,1200.0,310.0,85.0,3.0,1.0,1.0,10.0,346.0,2,-11.9744937,-77.0829412,11,0,1,2025,6,17,1,25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,16,5550.0,480.0,110.0,2.0,1.0,1.0,9.0,84.0,4,-12.1152552,-77.0484237,2,0,0,2025,6,17,1,25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
