nombre,direccion_completa,distrito,latitud,longitud
villa el salvador,"avenida separadora industrial con avenida velasco alvarado, peru",ves,-12.2059787,-76.93551459999999
parque industrial,"avenida separadora industrial con avenida el sol, peru",ves,-12.1973281,-76.93910939999999
pumacahua,"avenida la union con ca capitan elias aguirre, peru",vmt,-9.189967,-75.015152
villa maria,"avenida pachacutec con avenida santa rosa, peru",vmt,-12.1947882,-76.9346399
maria auxiliadora,"avenida pachacutec con jiron angamos / avenida pachacutec con avenida 1, peru","villa maria del triunfo y
san juan de miraflores",-12.1947882,-76.9346399
san juan,"avenida los heroes con avenida cesar canevaro, peru",sjm,-12.156654,-76.9660775
atocongo,"avenida los heroes con avenida antonio buckingham, peru",sjm,-12.1524865,-76.9762196
jorge chavez,"avenida tomas marsano con avenida andres tinoco, peru",santiago de surco,-12.14267,-76.9911163
ayacucho,"avenida tomas marsano con avenida ayacucho, peru",santiago de surco,-9.189967,-75.015152
cabitos,"avenida aviacion con ovalo higuereta / cabitos, peru",santiago de surco,-12.1272459,-77.0004046
angamos,"avenida aviacion con avenida angamos este, peru",san borja,-12.1118166,-77.00032039999999
san borja sur,"avenida aviacion con avenida san borja sur, peru",san borja,-12.1008238,-77.00184130000001
la cultura,"avenida aviacion con avenida javier prado este, peru",san borja,-12.0882829,-77.0034356
nicolas arriola,"avenida aviacion con avenida nicolas arriola, peru",la victoria,-12.0760395,-77.01078500000001
gamarra,"avenida aviacion con jiron hipolito unanue, peru",la victoria,-12.0650865,-77.0125125
veintiocho de julio,"avenida aviacion con avenida veintiocho de julio, peru",la victoria,-12.0609618,-77.0131032
miguel grau,"avenida miguel grau con avenida nicolas ayllon, peru",lima cercado,-12.0549555,-77.01349689999999
el angel,"avenida locumba con avenida el angel, peru",lima y el agustino,-12.0469128,-77.0091971
presbitero maestro,"avenida locumba con ca rivera y davalos, peru",lima cercado,-17.614459,-70.7629369
caja de agua,"avenida proceres de la independencia con ca el tumi, peru",sjl,-11.9815915,-77.0055337
piramide del sol,"avenida proceres de la independencia con avenida piramide del sol, peru",sjl,-12.017527,-77.0021343
los jardines,"avenida proceres de la independencia con avenida los jardines, peru",sjl,-12.0060104,-77.0058166
los postes,"avenida proceres de la independencia con avenida los postes, peru",sjl,-11.9971634,-77.0097782
san carlos,"avenida proceres de la independencia con avenida el sol, peru",sjl,-11.9848181,-77.0065616
san martin,"avenida fernando wiese con avenida canto rey, peru",sjl,-11.9747635,-77.0002954
santa rosa,"avenida fernando wiese con avenida santa rosa, peru",sjl,-11.9688042,-76.9940821
bayovar,"avenida fernando wiese con avenida heroes del cenepa, peru",sjl,-11.958692,-76.9869075
