CODIGO INEI;CODIGO CPNP;NOMBREDD;NOMBREPP;NOMBREDI;GPS;MACREGPOL/FP;REGPOL;DIVPOL/DIVOPUS;COMISARÍA;TIPO*;RURAL*;SECTORIAL*;ZONAL*;;;
0957;4801;ANCASH;HUARAZ;HUARAZ;-9.52938327,-77.52979372;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP HUARAZ;A;;;;;;
0960;4802;ANCASH;HUARAZ;INDEPENDENCIA;-9.47419344,-77.53750311;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP MONTERREY;D;X;;;;;
0958;4804;ANCASH;HUARAZ;HUARAZ;-9.52707907,-77.53541276;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP SAN GERONIMO;B;;;;;;
0959;4806;ANCASH;HUARAZ;HUARAZ;-9.54260505,-77.53300929;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP TACLLAN;C;X;;;;;
0963;4808;ANCASH;HUARAZ;TARICA;-9.39288698,-77.5739404;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP TARICA;D;X;;;;;
0962;4810;ANCASH;HUARAZ;PIRA;-9.580864,-77.70756678;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP PIRA;D;X;;;;;
0967;4815;ANCASH;BOLOGNESI;CHIQUIAN;-10.15478576,-77.15741416;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP BOLOGNESI CHIQUIAN;B;;X;;;;
0969;4820;ANCASH;BOLOGNESI;COLQUIOC;-10.31293277,-77.61756694;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP CHASQUITAMBO;C;X;;;;;
0968;4822;ANCASH;BOLOGNESI;CAJACAY;-10.15375204,-77.43865901;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP CAJACAY;C;X;;;;;
0970;4826;ANCASH;BOLOGNESI;HUALLANCA;-9.90139427,-76.94111902;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP HUALLANCA CHURCOS;D;X;;;;;
1001;4830;ANCASH;RECUAY;RECUAY;-9.71903119,-77.45661348;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP RECUAY;B;;X;;;;
1002;4835;ANCASH;RECUAY;CATAC;-9.79810892,-77.43246069;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP CATAC;D;X;;;;;
1004;4837;ANCASH;RECUAY;MARCA;-10.08881012,-77.47510949;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP MARCA;E;X;;;;;
1003;4840;ANCASH;RECUAY;COTAPARACO;-9.99451686,-77.58747285;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP COTAPARACO;E;X;;;;;
0964;4845;ANCASH;AIJA;AIJA;-9.78325764,-77.60940487;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP AIJA;D;X;;;;;
0992;4850;ANCASH;OCROS;OCROS;-10.40369771,-77.39684782;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP OCROS;D;;X;;;;
0993;4852;ANCASH;OCROS;SAN CRISTOBAL DE RAJAN;-10.38650765,-77.21923281;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP RAJAN;E;X;;;;;
0989;4855;ANCASH;HUAYLAS;CARAZ;-9.04607706,-77.81157488;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP CARAZ;B;;X;;;;
0990;4857;ANCASH;HUAYLAS;HUAYLAS;-8.87269233,-77.8923664;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP HUAYLAS;D;X;;;;;
0972;4860;ANCASH;HUAYLAS;HUALLANCA;-8.81843259,-77.86211693;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP CAÑON DEL PATO;D;X;;;;;
1026;4862;ANCASH;YUNGAY;YANAMA;-9.02100971,-77.47098578;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP YANAMA;D;X;;;;;
1024;4864;ANCASH;YUNGAY;MANCOS;-9.19001808,-77.71412782;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP MANCOS;D;X;;;;;
1023;4865;ANCASH;YUNGAY;YUNGAY;-9.14096602,-77.7445578;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP YUNGAY;A;;X;;;;
0973;4870;ANCASH;CARHUAZ;CARHUAZ;-9.28248511,-77.64606581;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP CARHUAZ;B;;X;;;;
0974;4875;ANCASH;CARHUAZ;ANTA;-9.35756275,-77.59866296;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP ANTA;D;X;;;;;
0975;4877;ANCASH;CARHUAZ;MARCARA;-9.32238612,-77.60430709;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP MARCARA;D;X;;;;;
0979;4880;ANCASH;CORONGO;CORONGO;-8.57050324,-77.89820492;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP CORONGO;E;X;;;;;
0980;4882;ANCASH;CORONGO;LA PAMPA;-8.66255567,-77.90120042;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP LA PAMPA;E;;;;;;
0981;4950;ANCASH;HUARI;HUARI;-9.34729651,-77.17070632;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP HUARI;A;;X;;;;
0982;4952;ANCASH;HUARI;CHAVIN DE HUANTAR;-9.58369555,-77.17751942;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP CHAVIN;D;;;;;;
0984;4954;ANCASH;HUARI;SAN MARCOS;-9.52403031,-77.15753396;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP SAN MARCOS;C;X;;;;;
0983;4956;ANCASH;HUARI;MASIN;-9.36102264,-77.08301067;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP HUAYTUNA;D;X;;;;;
0986;4960;ANCASH;HUARI;UCO;-9.18822587,-76.92831802;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP UCO;E;X;;;;;
0966;4964;ANCASH;ASUNCION;CHACAS;-9.16337613,-77.36653446;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP ASUNCION-CHACAS;D;;X;;;;
0976;4966;ANCASH;CARLOS FERMIN FITZCARRALD;SAN LUIS;-9.09459398,-77.33019334;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP SAN LUIS-CARLOS FERMIN FITZCARRALD;D;X;X;;;;
7013;4967;ANCASH;CARLOS FERMIN FITZCARRALD;YAUYA;-8.98991646,-77.29080174;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP YAUYA;E;X;;;;;
0991;4968;ANCASH;MARISCAL LUZURIAGA;PISCOBAMBA;-8.86457031,-77.35656699;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP MARISCAL LUZURIAGA-PISCOBAMBA;D;X;;;;;
1000;4970;ANCASH;POMABAMBA;POMABAMBA;-8.81941943,-77.46139424;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP POMABAMBA;C;X;;;;;
0965;4972;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;-9.10033245,-77.01650839;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP ANTONIO RAYMONDI LLAMELLIN;E;X;;;;;
1022;4974;ANCASH;SIHUAS;SIHUAS;-8.5543449,-77.63136535;ANCASH;ANCASH;DIVOPUS HUARAZ;CPNP SIHUAS;D;X;X;;;;
1005;4884;ANCASH;SANTA;CHIMBOTE;-9.07316713,-78.59972883;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP CHIMBOTE;A;;;;;;
1009;4886;ANCASH;SANTA;CHIMBOTE;-9.0679505,-78.58382483;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP 21 DE ABRIL;A;;;;;;
1007;4888;ANCASH;SANTA;CHIMBOTE;-9.08680986,-78.57513493;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP LA LIBERTAD;A;;;;;;
1008;4890;ANCASH;SANTA;CHIMBOTE;-9.07815078,-78.57348137;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP ALTO PERU;B;;;;;;
1346;4891;ANCASH;SANTA;NUEVO CHIMBOTE;-9.11691983,-78.54481272;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP VILLA MARIA;C;;;;;;
3003;4892;ANCASH;SANTA;CHIMBOTE;-9.04911154,-78.58684341;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP SAN PEDRO;B;;;;;;
1013;4897;ANCASH;SANTA;COISHCO;-9.02077603,-78.61538608;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP COISHCO;B;;;;;;
1010;4900;ANCASH;SANTA;CHIMBOTE;-8.89314999,-78.5663249;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP RINCONADA;D;X;;;;;
1014;4902;ANCASH;SANTA;MACATE;-8.76032661,-78.06101262;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP MACATE;E;X;;;;;
1020;4905;ANCASH;SANTA;NUEVO CHIMBOTE;-9.12790115,-78.52121155;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP BUENOS AIRES;A;X;X;;;;
1021;4912;ANCASH;HUAYLAS;PAMPAROMAS;-9.07304774,-77.98176549;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP PAMPAROMAS;D;X;;;;;
1016;4914;ANCASH;SANTA;NEPEÑA;-9.17209654,-78.3611881;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP NEPEÑA;D;X;;;;;
1012;4916;ANCASH;SANTA;CACERES DEL PERU;-9.01553364,-78.13957108;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP JIMBE;D;X;;;;;
1017;4918;ANCASH;SANTA;NEPEÑA;-9.1516017,-78.27911767;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP SAN JACINTO;C;X;;;;;
1015;4920;ANCASH;SANTA;MORO;-9.13960773,-78.18411358;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP MORO;D;X;;;;;
1018;4922;ANCASH;SANTA;SAMANCO;-9.26170373,-78.49569023;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP SAMANCO;D;X;;;;;
0977;4925;ANCASH;CASMA;CASMA;-9.47565505,-78.30596287;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP CASMA;A;;X;;;;
0978;4926;ANCASH;CASMA;YAUTAN;-9.51186771,-77.99684409;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP YAUTAN;D;X;;;;;
0961;4927;ANCASH;HUARAZ;PARIACOTO;-9.55972629,-77.89025699;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP PARIACOTO;D;X;;;;;
1025;4928;ANCASH;YUNGAY;QUILLO;-9.32881929,-78.04205217;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP QUILLO;D;X;;;;;
0987;4930;ANCASH;HUARMEY;HUARMEY;-10.06898726,-78.15444293;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP HUARMEY;A;;X;;;;
1019;4931;ANCASH;SANTA;SANTA;-8.98711448,-78.61316407;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP SANTA;A;X;X;;;;
1011;4932;ANCASH;SANTA;MACATE;-8.656057,-78.234672;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP CHUQUICARA;D;X;;;;;
8001;4933;ANCASH;SANTA;CHIMBOTE;-8.9648039,-78.58551042;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP TAMBO REAL NUEVO;D;X;;;;;
0995;4935;ANCASH;PALLASCA;CABANA;-8.392918,-78.008577;ANCASH;ANCASH;DIVPOL CHIMBOTE;CPNP CABANA;C;;X;;;;
