pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL,fecha_publicacion,fecha_publicacion_exacta,visualizaciones,inmobiliaria,antiguedad_inmueble
1,"S/ 3,600 · USD 1,000",S/ 380 Mantenimiento,Malecon Jose Balta 780,"Miraflores, Lima",80 m² tot.,2 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-miraflores-146671898.html,Publicado hace 8 días,2025-06-09,46 visualizaciones,LIMA HOUSE INMOBILIARIA SAC,2 años
1,"S/ 1,750 · USD 481",S/ 250 Mantenimiento,Av. Venezuela 2575 - Cercado de lima,"Lima Cercado, Lima",74 m² tot.,3 dorm.,3 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-flat-de-estreno-en-condominio-146371221.html,Publicado desde ayer,2025-06-16,398 visualizaciones,CENTURY 21 PREMIUM,A estrenar
1,"S/ 1,550",S/ 200 Mantenimiento,"Av. 28 de Julio, Miraflores, Miraflores, Lima","Miraflores, Lima",23 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-mini-departamento-en-miraflores-av-28-de-146681495.html,Publicado hace 5 días,2025-06-12,203 visualizaciones,Loft Inmobiliaria,1 años
1,"S/ 1,674 · USD 450",,Jr Mercurio,"Lima Cercado, Lima",32 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-moderno-en-alquiler-en-el-cuarto-piso-145783994.html,Publicado hace 116 días,2025-02-21,295 visualizaciones,RE/MAX VISION,6 años
1,"S/ 2,100 · USD 575",S/ 180 Mantenimiento,Salaverry al 200,"Lima, Lima",54 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-estreno-en-magdalena-146672713.html,Publicado hace 8 días,2025-06-09,57 visualizaciones,Dominio Inmobiliaria,A estrenar
1,"S/ 6,480 · USD 1,800",S/ 450 Mantenimiento,"Calle A, Magdalena","Lima, Lima",411 m² tot.,4 dorm.,3 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-magdalena-frente-a-malecon-y-parque-146625891.html,Publicado hace 13 días,2025-06-04,41 visualizaciones,Perudise realestate S.A.C,8 años
1,"S/ 3,895 · USD 1,050",,Juan de Aliaga Cuadra 8 Magdalena,"Lima, Lima",90 m² tot.,2 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-magdalena-limite-con-san-146543086.html,Publicado hace 22 días,2025-05-26,18 visualizaciones,TAPIA RODRIGUEZ JESSICA DENISE,A estrenar
1,"S/ 2,000",,AV. DEFENSORES DEL MORRO CUADRA 7 CHORRILLOS,"Chorrillos, Chorrillos",90 m² tot.,3 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-cspa-alquilo-amplio-y-centrico-departamento-en-146197124.html,,,,,15 años
1,"S/ 2,000 · USD 540",S/ 190 Mantenimiento,AV. BERTOLOTO,"San Miguel, Lima",55 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-frente-al-mar-malecon-bertoloto-144365225.html,Publicado hoy,2025-06-17,65 visualizaciones,AISA INMOBILIARIA,6 años
1,"S/ 1,800 · USD 500",S/ 300 Mantenimiento,Buenaventura Aguirre 209,"Barranco, Lima",45 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-mc-1-dormitorio-sin-amoblar-ideal-para-persona-146337513.html,Publicado hoy,2025-06-17,112 visualizaciones,OFICINAS DEL PACIFICO SAC,6 años
1,"S/ 2,950",S/ 250 Mantenimiento,Calle Punta Sal 415,"Santiago de Surco, Lima",140 m² tot.,3 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-santiago-de-surco-146691460.html,Publicado hace 2 días,2025-06-15,193 visualizaciones,PISO 7 INMOBILIARIA,10 años
1,"S/ 3,000 · USD 850",S/ 150 Mantenimiento,Calle Santa Isabel 285,"Miraflores, Lima",100 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-bonito-duplex-en-miraflores-con-2d-y-146374460.html,Publicado desde ayer,2025-06-16,264 visualizaciones,PISO 7 INMOBILIARIA,30 años
1,"S/ 2,499 · USD 700",S/ 280 Mantenimiento,avenida Aramburu,"San Isidro, Lima",43 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-estreno-full-amoblado-1-habitacion-146722738.html,Publicado desde ayer,2025-06-16,17 visualizaciones,REMAX EXPO,A estrenar
1,"S/ 2,800 · USD 760",S/ 280 Mantenimiento,Calle Tomás Marsano 1600,"Surquillo, Lima",92 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-escritorio-146722503.html,,,,,9 años
1,"S/ 2,700",,Av. Tomás Marsano al 2200,"Marsano, Surquillo",54 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-estreno-tomas-marsano-146721918.html,Publicado hace 3 días,2025-06-14,46 visualizaciones,INMOBILIARIA PUGA,A estrenar
1,"S/ 1,200",,Calle Cochas,"Los Olivos, Lima",85 m² tot.,3 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-3-dorm.-cerca-al-ov.-huandoy-146593203.html,Publicado hoy,2025-06-17,346 visualizaciones,LYRA PROPIEDADES,10 años
1,"S/ 5,550 · USD 1,500",S/ 480 Mantenimiento,Malecon de la Marina,"Miraflores, Lima",110 m² tot.,2 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-110-m-con-linda-vista-al-mar-145808454.html,Publicado hoy,2025-06-17,84 visualizaciones,LYRA PROPIEDADES,9 años
