pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL
43,"S/ 2,500 · USD 750",S/ 60 Mantenimiento,Jirón Benlliure,"San Borja, Lima",65 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-con-cochera-en-san-borja-norte-149180940.html?n_src=Listado&n_pills=Seguridad&n_pg=43&n_pos=1
43,"S/ 2,400 · USD 720",S/ 250 Mantenimiento,"Av. Canaval y Moreyra, San Isidro","San Isidro, Lima",52 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-depa-de-estreno-san-isidro-148563519.html?n_src=Listado&n_pills=Seguridad&n_pg=43&n_pos=2
43,"S/ 3,000 · USD 900",S/ 180 Mantenimiento,Calle los Pinos,"Leuro, Miraflores",40 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-dpto-amoblado-de-40-m-sup2--en-el-corazon-de-149163138.html?n_src=Listado&n_pills=Amoblado&n_pg=43&n_pos=3
43,"S/ 3,685 · USD 1,100",S/ 380 Mantenimiento,C. Amador Merino Reyna 346,"San Isidro, Lima",62 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-amoblado-de-estreno-en-alquiler-san-148583353.html?n_src=Listado&n_pills=Gimnasio&n_pg=43&n_pos=4
43,"S/ 2,100 · USD 630",S/ 300 Mantenimiento,ALQUILER DEPARTAMENTO CON VISTA EXTERNA AO 60m2 - CALLE JORGE APRILE - SAN BORJA,"San Borja, Lima",60 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-con-vista-externa-ao-60-m-sup2-148655837.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=43&n_pos=5
43,"S/ 2,600 · USD 749",S/ 250 Mantenimiento,Avenida Javier Prado Este 591,"San Isidro, Lima",46 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-moderno-departamento-a-estrenar-149152025.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=43&n_pos=6
43,"Consultar precio · USD 369,000",S/ 680 Mantenimiento,"Chacarilla del Estanque, Conde de la Vega del Rhen","Santiago de Surco, Lima",265 m² tot.,3 dorm.,3 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-vendo-lindo-ph-duplex-en-conde-de-la-vega-chacarilla-429322.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=43&n_pos=7
43,"S/ 2,400 · USD 716",S/ 125 Mantenimiento,jorge basadre 489,"San Isidro, Lima",50 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-bajo-de-precio-alquilo-dpto.-en-san-isidro-142932610.html?n_src=Listado&n_pills=Ascensor&n_pg=43&n_pos=8
43,"S/ 1,700 · USD 500",S/ 180 Mantenimiento,Calle Parque Osores 108,"Pueblo Libre, Lima",43 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-junto-a-parque-privado-con-vista-exterior-149148026.html?n_src=Listado&n_pills=Parrilla&n_pg=43&n_pos=9
43,"S/ 8,762 · USD 2,600",,Av General Portillo,"San Isidro, Lima",150 m² tot.,2 dorm.,2 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-estreno-moderno-departamento-frente-al-golf-149146085.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=43&n_pos=10
43,"S/ 9,408 · USD 2,800","S/ 2,200 Mantenimiento",Av. Nicolás de Ribera,"San Isidro, Lima",223 m² tot.,3 dorm.,2 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-lindo-departamento-la-mejor-zona-de-san-isidro-149145833.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=43&n_pos=11
43,"S/ 3,000 · USD 900",S/ 800 Mantenimiento,Jiron manglares 114,"Santiago de Surco, Lima",166 m² tot.,2 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-duplex.-piso-4-y-5.-2-dorm.-estudio-3-banos-2-145500724.html?n_src=Listado&n_pills=Frente+a+parque&n_pg=43&n_pos=12
43,"S/ 3,300",,Fernando Castrat al 600,"Santiago de Surco, Lima",112 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-en-alquiler-departamento-tipo-casita-148678955.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=43&n_pos=13
43,"S/ 6,680 · USD 300,000",,avenida guardia civil san isidro,"San Isidro, Lima",368 m² tot.,4 dorm.,4 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-alquilo-duplex-de-3-dormmitorios-y-368-m-sup2--en-146899721.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=43&n_pos=14
43,"S/ 16,700 · USD 5,000","S/ 1,500 Mantenimiento",Nicolás de Rivera Cdra 8 Pisos 5 y 6,"San Isidro, Lima",508 m² tot.,5 dorm.,4 baños,3 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-ph-duplex-en-venta-o-alquiler-en-san-isidro-149123592.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=43&n_pos=15
43,"S/ 1,700",S/ 100 Mantenimiento,Av. de los Patriotas,"San Miguel, Lima",80 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-7-av-los-patriotas-vista-calle-incluye-arbitrios-149118636.html?n_src=Listado&n_pg=43&n_pos=16
43,"S/ 1,700",,Av. la Marina 2800,"San Miguel, Lima",90 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-a-2-cdras.-de-la-upc-entre-marina-con-los-patriotas-149118620.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=43&n_pos=17
43,"S/ 2,620",S/ 250 Mantenimiento,Av. Salaverry 1490,"Jesús María, Lima",85 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-jesus-maria-frente-essalud-149118443.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=43&n_pos=18
43,"S/ 1,900",,Av. Brasil,"Jesús María, Lima",80 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-16-de-av-brasil-cerca-a-plaza-vea-70-m-sup2--149118374.html?n_src=Listado&n_pg=43&n_pos=19
