pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL
1,"S/ 5,712 · USD 1,700","S/ 1,000 Mantenimiento",Malecon Miraflores lima,"Miraflores, Lima",120 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-con-terraza-y-preciosa-vista-al-mar-amoblado-y-147985913.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=4
1,"S/ 15,792 · USD 4,700",S/ 900 Mantenimiento,Malecon Miraflores lima,"Miraflores, Lima",280 m² tot.,3 dorm.,3 baños,3 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-bellismo-y-moderno-con-amplia-terraza-areas-sociales-147778405.html?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=5
1,"S/ 11,760",S/ 750 Mantenimiento,Malecon miraflores lima,"Miraflores, Lima",250 m² tot.,3 dorm.,4 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-con-amplia-terraza-y-bellisima-vista-al-mar!-c.-g-147778523.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=6
1,"S/ 5,100 · USD 1,500",S/ 550 Mantenimiento,AV. MANUEL OLGUIN,"Santiago de Surco, Lima",140 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-3-dorm.-vista-hipodromo-u-145168842.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=7
1,"S/ 1,200",S/ 100 Mantenimiento,"Avenida A Urb. Los Parques de Comas, Los Cerezos","Lima, Lima",73 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-comas-73-m-sup2-149497238.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=8
1,"S/ 1,900",,Calle Guadalupe al 500,"Lima, Lima",100 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-ate-149283938.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=9
1,"S/ 3,365 · USD 970",S/ 450 Mantenimiento,UAN Nolberto Elespuru al 700,"Lima, Lima",108 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-magdalena-149159491.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=10
1,"S/ 1,450",S/ 160 Mantenimiento,Casapalca 1674,"Lima Cercado, Lima",73 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-moderno-departamento-en-prolongacion-arica-149341637.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=11
1,"S/ 10,150 · USD 3,000","S/ 1,000 Mantenimiento",Armendariz 159,"Miraflores, Lima",130 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-duplex-de-lujo-con-vista-al-malecon-miraflores-130-149513285.html?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=12
1,"S/ 3,709 · USD 1,100",S/ 350 Mantenimiento,Avenida José Larco 1010,"Miraflores, Lima",107 m² tot.,2 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-duplex-de-2-dormitortios-de-area-107-149509870.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=13
