pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL,fecha_publicacion,fecha_publicacion_exacta,visualizaciones,inmobiliaria,antiguedad_inmueble
1,"S/ 2,200",,Padre Urraca 111,"San Miguel, Lima",83 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-san-miguel-lima-149123355.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=4,Publicado hace 7 días,2026-03-01,155 visualizaciones,CENTURY 21 PREMIUM,12 años
1,"S/ 1,800",S/ 210 Mantenimiento,Av. Venezuela 1839,"Breña, Lima",69 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-cercado-de-lima-limite-149122221.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=5,Publicado hace 8 días,2026-02-28,185 visualizaciones,REMAX REALTY CENTRAL SUR,6 años
1,"S/ 1,700 · USD 505",,Av. Petit Thouars 99x,"Lima Cercado, Lima",54 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-funcional-dpto-flat-amoblado-en-cercado-de-149118819.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=6,Publicado hace 8 días,2026-02-28,141 visualizaciones,REMAX PRINCIPAL,50 años
1,"S/ 3,800 · USD 1,120",S/ 350 Mantenimiento,jr Republica del Libano al 100,"Camacho, Santiago de Surco",88 m² tot.,3 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-3-habitaciones-frente-al-jockey-149133678.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=7,Publicado hace 6 días,2026-03-02,96 visualizaciones,INMOBILIARIA LIMA PRIME,1 años
1,"S/ 2,000",S/ 250 Mantenimiento,"Av Brasil,cuadra 30, Magdalena, Lima","Magdalena, Lima",50 m² tot.,1 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-en-magdalena-50-m-sup2--estacionamiento-148948777.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=8,Publicado hace 24 días,2026-02-12,386 visualizaciones,TAPIA RODRIGUEZ JESSICA DENISE,11 años
1,"S/ 5,500 · USD 1,650",S/ 550 Mantenimiento,AV. MANUEL OLGUIN,"Santiago de Surco, Lima",140 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-3-dorm.-vista-hipodromo-u-145168842.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=9,Publicado hace 53 días,2026-01-14,146 visualizaciones,JOVITA TAFUR PELAEZ,10 años
1,"S/ 8,500 · USD 2,500",S/ 980 Mantenimiento,AV. CIRCUNVALACION EL CLUB EL GOLF LOS INCAS 148,"Santiago de Surco, Lima",220 m² tot.,3 dorm.,3 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-3-dorm.-u.-lima-roosevelt-148211631.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=10,Publicado hace 97 días,2025-12-01,86 visualizaciones,JOVITA TAFUR PELAEZ,5 años
1,"S/ 5,650 · USD 1,650",S/ 550 Mantenimiento,Av. Manuel Olguín 790,"El Derby, Santiago de Surco",140 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-140-m-sup2--3dorm.-en-alquiler-amoblado-148846552.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=11,Publicado hace 33 días,2026-02-03,148 visualizaciones,JOVITA TAFUR PELAEZ,10 años
1,"S/ 3,400 · USD 1,000",S/ 450 Mantenimiento,UAN Nolberto Elespuru al 700,"Lima, Lima",103 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-magdalena-149159491.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=12,Publicado hace 4 días,2026-03-04,,GRACEY INMOBILIARIA,4 años
1,"S/ 3,500",S/ 380 Mantenimiento,Grimaldo del Solar,"Lima, Lima",90 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-miraflores-90-m-02-dorm.-01-cochera-amoblado-y-148999958.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=13,Publicado hace 18 días,2026-02-18,97 visualizaciones,"Grupo Proyecta Real Estate, S.A.C",4 años
1,"S/ 4,355 · USD 1,300",,San Isidro Av Rivera Navarrete 546,"Lima, Lima",100 m² tot.,1 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-san-isidro-centro-financiero-alquiler-duplex-con-148643188.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=14,Publicado hace 53 días,2026-01-14,,TAPIA RODRIGUEZ JESSICA DENISE,A estrenar
1,"S/ 2,399",,Republica de Venezuela al 2500,"Lima Cercado, Lima",73 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-de-estreno-03-dorm.-148924040.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=15,Publicado hace 26 días,2026-02-10,180 visualizaciones,DMAYO REAL ESTATE,A estrenar
1,"S/ 1,900",S/ 220 Mantenimiento,Avenida Tingo María 1048,"Lima Cercado, Lima",63 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-acogedor-departamento-bien-ubicado-148785498.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=16,Publicado hace 32 días,2026-02-04,333 visualizaciones,TOP HOUSE PERU INMOBILIARIA,9 años
1,"S/ 3,690 · USD 1,100",S/ 350 Mantenimiento,Calle 2 de Mayo 1060,"Miraflores, Lima",100 m² tot.,3 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-amoblado-al-costado-embajada-143806272.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=17,Publicado hoy,2026-03-08,90 visualizaciones,AISA INMOBILIARIA,8 años
1,"S/ 2,100 · USD 620",S/ 130 Mantenimiento,"Av. Juan de Aliaga 442 al 400 , Magdalena","Magdalena, Lima",40 m² tot.,1 dorm.,,,https://www.adondevivir.com/propiedades/clasificado/alclapin-estreno-magdalena-limite-san-isidro-con-12-areas-149190399.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=18,Publicado desde ayer,2026-03-07,,LIÉN Boutique Inmobiliaria,A estrenar
1,"S/ 2,700 · USD 806",S/ 200 Mantenimiento,Jiron San Martin 514 Magdalena,"Magdalena, Lima",73 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-73-m-sup2--en-alquiler-magdalena-149189010.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=19,Publicado desde ayer,2026-03-07,,NUOVA INMOBILIARIA,5 años
1,"S/ 2,512 · USD 750",S/ 200 Mantenimiento,Av. Jorge Chavez,"Miraflores, Lima",65 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-departamento-1-dormitorio-amoblado-con-balcon-149188608.html?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=20,Publicado desde ayer,2026-03-07,,DMAYO REAL ESTATE,5 años
1,"S/ 6,200 · USD 415,000",S/ 700 Mantenimiento,Parque Armendariz,"Miraflores, Lima",124 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-vendo-alquilo-moderno-departamento-de-125-m-sup2--en-90144797.html?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=21,Publicado hace más de 1 año,,28 visualizaciones,LYRA PROPIEDADES,4 años
1,"S/ 16,750 · USD 995,000","S/ 1,500 Mantenimiento",Malecón de la Marina 150,"Miraflores, Lima",247 m² tot.,3 dorm.,3 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-vendo-alquilo-departamento-equipado-de-247-m-sup2--64321782.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=22,Publicado hace más de 1 año,,270 visualizaciones,LYRA PROPIEDADES,8 años
1,"S/ 2,200 · USD 656",S/ 250 Mantenimiento,AV SAN MARTÍN,"Barranco, Lima",47 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-barranco-alquilo-encantador-departamento-con-linea-149186758.html?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=23,Publicado desde ayer,2026-03-07,19 visualizaciones,PAOLA PESCETTO ROMERO,5 años
1,"S/ 2,600 · USD 771",S/ 250 Mantenimiento,Los jazmines cuadra 3,"Lince, Lima",60 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-de-2-dorm.-de-60-m-sup2--en-149162751.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=24,Publicado hace 2 días,2026-03-06,,GROVER ROSAS,2 años
1,"S/ 3,000 · USD 895",S/ 195 Mantenimiento,LOS PINOS,"Miraflores, Lima",75 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-miraflores-alquilo-departamento-para-vivienda-u-149183508.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=25,Publicado hace 2 días,2026-03-06,16 visualizaciones,PAOLA PESCETTO ROMERO,30 años
1,"S/ 3,696 · USD 1,100",S/ 790 Mantenimiento,"Calle Independencia 1300, Miraflores","Miraflores, Lima",129 m² tot.,2 dorm.,2 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-dpto-2-dorm-s-muebles-con-linea-blanca-149181704.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=26,Publicado hace 2 días,2026-03-06,50 visualizaciones,EXP PERU S.A.C.,10 años
1,"S/ 3,200 · USD 925",S/ 250 Mantenimiento,Calle Shell 237,"Miraflores, Lima",110 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-amoblado-y-equipado-minimalista-ascensor-149177502.html?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=27,Publicado hace 2 días,2026-03-06,29 visualizaciones,LIÉN Boutique Inmobiliaria,A estrenar
1,"S/ 2,500 · USD 742",S/ 250 Mantenimiento,Av. Arequipa cuadra 14,"Lince, Lima",60 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-semi-amiblado-de-2-dorm.-de-60-149008056.html?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=28,Publicado hace 2 días,2026-03-06,264 visualizaciones,GROVER ROSAS,2 años
1,"S/ 3,060 · USD 900",S/ 350 Mantenimiento,Av 28 de Julio,"Miraflores, Lima",80 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-dpto-amoblado-de-2-dor-con-balcon-y-areas-149176211.html?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=29,Publicado hace 3 días,2026-03-05,24 visualizaciones,JORGE ESPINOZA,6 años
1,"S/ 2,700 · USD 771",,Proyecto Studio 4,"Barranco, Lima",40 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-aquila-lindo-minidepartamento-en-barranco-148681487.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=30,Publicado hace 3 días,2026-03-05,183 visualizaciones,REMAX PRO,3 años
