pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL
1,"S/ 402,000 · USD 120,000",,Cercado DE Lima,"Lima Cercado, Lima",94 m² tot.,5 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-venta-en-2do-piso-perfecto-para-airbnb-149119383.html?n_src=Listado&n_pg=1&n_pos=11
1,"S/ 295,000",,"Jr, Leonardo Arrieta 825, Lima 15081","Lima Cercado, Lima",61 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-se-vende-depa-en-cercado-de-lima-excelente-148518239.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=12
1,"S/ 582,900 · USD 174,000",,"Jirón Condesuyos 499, Lima 15079, Perú","Lima Cercado, Lima",96 m² tot.,4 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/veclcain-se-vende-casa-de-2-pisos-en-centro-de-lima-cruce-e.-148560705.html?n_src=Listado&n_pg=1&n_pos=13
1,"S/ 1,747,200 · USD 520,000",S/ 600 Mantenimiento,"Calle Via Lactea, Cerca a la Universidad de Lima, Surco","Santiago de Surco, Lima",400 m² tot.,4 dorm.,4 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-de-exclusivo-duplex-de-400-m-sup2--a-espaldas-u-148545161.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=14
1,"S/ 379,000 · USD 113,500",S/ 80 Mantenimiento,"Urbanización El Banco De Javier Prado, Ate, Lima","Ate Vitarte, Lima",90 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/veclapin-urbanizacion-el-banco-de-javier-prado-ate-lima-5-148895945.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=15
1,Consultar precio,,Terreno Comercial en Venta 1300m2 - Centro de Lima,"Centro De Lima, Lima Cercado",1303 m² tot.,,,,https://www.adondevivir.com/propiedades/clasificado/vecltein-terreno-comercial-en-venta-1-303-m-sup2--centro-de-145466737.html?n_src=Listado&n_pg=1&n_pos=16
1,"S/ 22,070,880 · USD 6,288,000",,"Av. Óscar R. Benavides 832, Lima 15082, Perú","Lima Cercado, Lima",5240 m² tot.,,,,https://www.adondevivir.com/propiedades/clasificado/vecltein-venta-de-terreno-para-proyectos-inmobiliarios-de-5-240-147542115.html?n_src=Listado&n_pg=1&n_pos=17
1,"S/ 21,001,920 · USD 6,288,000",,"Avenida Mariscal Óscar Raimundo Benavides 828, Lima 15082, Perú","Lima Cercado, Lima",5240 m² tot.,,,,https://www.adondevivir.com/propiedades/clasificado/veclniin-venta-de-local-para-almacenes-de-5-240-m-sup2--av-149184439.html?n_src=Listado&n_pg=1&n_pos=18
1,"S/ 838,000 · USD 250,000",S/ 550 Mantenimiento,Lima Polo AND Hunt Club – Segunda Etapa,"Santiago de Surco, Lima",125 m² tot.,3 dorm.,3 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-de-lujo-en-lima-polo-and-hunt-club-3-149086682.html?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=19
1,Consultar precio,,Pedro Garezon,"Lima Cercado, Lima",63 m² tot.,3 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-cercado-de-lima-148333361.html?n_src=Listado&n_pg=1&n_pos=20
1,"S/ 350,000 · USD 104,155",,Calle Porras Barrenechea al 2061,"Lima Cercado, Lima",98 m² tot.,,1 baño,,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-cercado-de-lima-148547590.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=21
1,"S/ 770,500 · USD 230,000",,Jr. Cangallo 217,"Lima Cercado, Lima",106 m² tot.,12 dorm.,12 baños,,https://www.adondevivir.com/propiedades/clasificado/veclcain-venta-de-edificio-en-cercado-lima-145565903.html?n_src=Listado&n_pg=1&n_pos=22
1,"S/ 641,320 · USD 188,000",,Jirón Joaquín Capello,"Mirones Bajo, Lima Cercado",231 m² tot.,,,,https://www.adondevivir.com/propiedades/clasificado/vecltein-se-vende-terreno-en-cercado-de-lima-148458546.html?n_src=Listado&n_pg=1&n_pos=23
1,"S/ 261,300 · USD 78,000",S/ 250 Mantenimiento,Jorge Chavez 20,"San Miguel, Lima",46 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-san-miguel-lima-149182850.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=24
1,"S/ 319,200 · USD 95,000",S/ 250 Mantenimiento,Av. Del Pacifico al 100,"San Miguel, Lima",83 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-san-miguel-lima-149112037.html?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=25
1,"S/ 435,500 · USD 129,900",,Calle Diego Quispe Tito al 100,"San Miguel, Lima",95 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-san-miguel-lima-149003807.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=26
1,"S/ 1,018,300 · USD 299,500",,Pomalca al 200,"San Miguel, Lima",154 m² tot.,4 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-san-miguel-lima-148715195.html?n_src=Listado&n_pg=1&n_pos=27
1,"S/ 701,400 · USD 210,000",,Jr. Sta. Rosa 1349 al 1300,"Lima Cercado, Lima",125 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/veclcain-venta-de-casa-en-miroquezada-cercado-lima-148137736.html?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=28
1,"S/ 447,600 · USD 132,430",,Av. Venezuela 2575,"Lima Cercado, Lima",73 m² tot.,4 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-departamento-estreno-en-cercado-de-lima-148886307.html?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=29
1,"S/ 1,003,000 · USD 295,000",,"Delfos, Lima 15054","Santiago de Surco, Lima",126 m² tot.,4 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-en-santiago-de-surco-149180365.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=30
