pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL
106,S/ 850,S/ 100 Mantenimiento,AV. A CON AV. Micaela Bastidas Condominio LOS Laureles Dpto 1202 Piso 12 (edificio 4) Alquiler Economico,"El Retablo, Comas",51 m² tot.,3 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-piso-13-c.-r-los-laureles-145614163.html
106,"S/ 2,220 · USD 600",,P.º Real 139,"La Molina, Lima",50 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-de-estreno-en-la-molina-145543023.html
106,"S/ 1,600 · USD 438",S/ 180 Mantenimiento,LOS POETAS 381 CHORRILLOS,"Chorrillos, Lima",43 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-chorrillos-alquiler-depa-de-43-m-sup2--ubicado-entre-145542875.html
106,"S/ 4,313 · USD 1,162",,Calle Juan de Arona al 500,"San Isidro, Lima",60 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-de-estreno-en-zona-financiera-145499624.html
106,S/ 750 · USD 212,,Condominio Vista Alegre - Carabayllo,"Carabayllo, Lima",120 m² tot.,3 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-dentro-de-condominio-145475508.html
106,"S/ 2,500,000 · USD 664,000",,AV. Paseo DE LA República al 5600,"Miraflores, Lima",100 m² tot.,,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-bien-ubicado-miraflores-145461753.html
106,"S/ 5,000 · USD 1,315",S/ 350 Mantenimiento,GENERAL MENDIBURU 640,"Miraflores, Lima",140 m² tot.,2 dorm.,3 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-miraflores-alquiler-de-amplio-departamento-de-140-143474705.html
106,"S/ 4,875 · USD 1,300",,Pucusana,"Pucusana, Lima",79 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-pucusana-vista-panoramica-145405449.html
106,S/ 700 · USD 180,,Calle las Araucarias,"Carabayllo, Lima",90 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-san-antonio-de-carabayllo-144552077.html
106,S/ 730 · USD 200,,Calle os Perales,"Carabayllo, Lima",55 m² tot.,3 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-carabayllo-valle-grande-143132664.html
106,S/ 850 · USD 221,,Cond. Los Molles,"Comas, Lima",58 m² tot.,3 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-de-59.69-m-sup2--en-cond.-los-142567323.html
106,"S/ 1,500 · USD 412",,Villanova - Callao,"Callao, Lima",63 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-3piso-en-villanova-callao-142566241.html
106,"S/ 2,700 · USD 720",S/ 290 Mantenimiento,Jr. Pedro Solari,"Chorrillos, Lima",66 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin--oportunidad-unica!-alquiler-de-departamento-en-144931741.html
106,"S/ 1,200 · USD 320",,Av Saenz Peña,"Callao, Lima",62 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-oficina-almacen-en-el-callao-144917958.html
106,S/ 780 · USD 210,,Urb. San Antonio de Carabayllo,"Carabayllo, Lima",60 m² tot.,3 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-urb.-san-antonio-de-144972538.html
106,"S/ 2,300",S/ 200 Mantenimiento,LA COSTANERA,"San Miguel, Lima",60 m² tot.,1 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-hermoso-dpto-de-60-m-sup2--01-dormitorio-145338258.html
