pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL
17,"S/ 2,800",S/ 280 Mantenimiento,Aldebaran,"Santiago de Surco, Lima",90 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-excelente-dp-en-condominio-c-parque-interno-2-dor-2-149673342.html?n_src=Listado&n_pills=Ascensor&n_pg=17&n_pos=1
17,"S/ 2,100",S/ 220 Mantenimiento,Jr. Estados Unidos,"Jesús María, Lima",42 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-de-estreno-149652555.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=17&n_pos=2
17,"S/ 2,000 · USD 590",S/ 130 Mantenimiento,Camilo Carrillo 145,"Santiago de Surco, Lima",80 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-3-dorm.-remodelado-en-surco-primer-piso-144441312.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=17&n_pos=3
17,"S/ 2,350 · USD 700",S/ 150 Mantenimiento,PUNTA HERMOSA,"Punta Hermosa, Lima",80 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-dpto.-en-alquiler-en-punta-hermosa-149334223.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=17&n_pos=4
17,"S/ 2,549",S/ 85 Mantenimiento,Huamachuco,"Jesús María, Lima",95 m² tot.,3 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-1er-piso.9.4.0.2.2.0.7.8.0.-jesus-maria-148004731.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=17&n_pos=5
17,"S/ 2,550 · USD 750",S/ 200 Mantenimiento,san bartolo panamericana sur,"San Bartolo, Lima",150 m² tot.,3 dorm.,3 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-lindo-duplex-en-san-bartolo-equipado-y-148155326.html?n_src=Listado&n_pills=Ascensor&n_pg=17&n_pos=6
17,"S/ 7,400 · USD 2,163",S/ 500 Mantenimiento,Calle Monteflor,"Santiago de Surco, Lima",160 m² tot.,3 dorm.,3 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-duplex-familiar-de-diseno-con-jardin-y-terraza-privada-149645095.html?n_src=Listado&n_pills=Parrilla&n_pg=17&n_pos=7
17,"S/ 5,070 · USD 1,490",,Manuel Roaud y Paz Soldan,"San Isidro, Lima",45 m² tot.,2 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-amoblado-y-equipado-en-exclusiva-zona-de-149645417.html?n_src=Listado&n_pills=Gimnasio&n_pg=17&n_pos=8
17,"S/ 4,063 · USD 1,195",,Manuel Roaud y Paz Soldan Cdra 3,"San Isidro, Lima",45 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-san-isidro-149645413.html?n_src=Listado&n_pills=Parrilla&n_pg=17&n_pos=9
17,"S/ 2,200 · USD 647",S/ 450 Mantenimiento,Calle Parque Osores 108,"Pueblo Libre, Lima",80 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-en-pueblo-libre-cochera-149349296.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=17&n_pos=10
