pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL
1,"S/ 5,712 · USD 1,700","S/ 1,000 Mantenimiento",Malecon Miraflores lima,"Miraflores, Lima",120 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-con-terraza-y-preciosa-vista-al-mar-amoblado-y-147985913.html?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=4
1,"S/ 15,792 · USD 4,700",S/ 900 Mantenimiento,Malecon Miraflores lima,"Miraflores, Lima",280 m² tot.,3 dorm.,3 baños,3 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-bellismo-y-moderno-con-amplia-terraza-areas-sociales-147778405.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=5
1,"S/ 11,760",S/ 750 Mantenimiento,Malecon miraflores lima,"Miraflores, Lima",250 m² tot.,3 dorm.,4 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-con-amplia-terraza-y-bellisima-vista-al-mar!-c.-g-147778523.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=6
1,"S/ 2,500 · USD 740",S/ 230 Mantenimiento,Av. Arequipa 768,"Santa Beatriz, Lima Cercado",70 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-vende-departamento-de-68-m-sup2--de-2-dorm.-mas-149514792.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=7
1,"S/ 1,200",S/ 100 Mantenimiento,"Avenida A Urb. Los Parques de Comas, Los Cerezos","Lima, Lima",73 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-comas-73-m-sup2-149497238.html?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=8
1,"S/ 3,365 · USD 970",S/ 450 Mantenimiento,UAN Nolberto Elespuru al 700,"Lima, Lima",108 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-magdalena-149159491.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=9
1,"S/ 1,450",S/ 160 Mantenimiento,Casapalca 1674 Arica Cercado,"Lima Cercado, Lima",73 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-moderno-departamento-en-prolongacion-arica-149341637.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=10
1,"S/ 2,930 · USD 850",S/ 300 Mantenimiento,Av. 28 DE JULIO,"Miraflores, Lima",95 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-dpto-amoblado-full-2-dor-corazon-de-145483870.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=11
1,"S/ 2,900 · USD 850",,av Angamos al 900,"Surquillo, Lima",170 m² tot.,4 dorm.,3 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-duplex-en-surquillo.-av-149576767.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=12
1,"S/ 2,900 · USD 850",,av Angamos al 900,"Surquillo, Lima",170 m² tot.,4 dorm.,3 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-duplex-en-surquillo.-av-149508603.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=13
1,"S/ 3,400 · USD 1,000",,Grimaldo del Solar al 400,"Miraflores, Lima",60 m² tot.,1 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-en-miraflores-moderno-amoblado-149478886.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=14
1,"S/ 3,500 · USD 1,000",,Av. Tomás Marsano 368,"Surquillo, Lima",80 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-excelente-departamento-2-dorms-amoblado-y-equipado-149320200.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=15
1,"S/ 3,048 · USD 824",S/ 432 Mantenimiento,Av. Ricardo Palma,"Miraflores, Lima",68 m² tot.,2 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-exclusivos-departamentos-desde-los-56-m-sup2--146042237.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=16
1,"S/ 3,600 · USD 1,050",S/ 350 Mantenimiento,Dalias 275,"Miraflores, Lima",93 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-1-dormitorio-cerca-a-larcomar-149248767.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=17
1,"S/ 5,760 · USD 1,600",S/ 370 Mantenimiento,"Av, Jose Pardo","Miraflores, Lima",110 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-amoblado-de-110-m-sup2--3-dorm-147803805.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=18
1,"S/ 2,140 · USD 640",S/ 320 Mantenimiento,Av. Pedro de Osma 203 - Barranco,"Barranco, Lima",60 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-remodelado-en-barranco-listo-para-148213917.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=19
1,"S/ 2,700",,Casimiro Ulloa al 300,"Miraflores, Lima",40 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-de-estreno-miraflores-149563810.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=20
1,"S/ 2,600 · USD 750",S/ 220 Mantenimiento,EL SOL al 100,"Barranco, Lima",40 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-en-barranco-149560778.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=21
1,"S/ 2,450",S/ 220 Mantenimiento,Av. Militar 1755,"Lince, Lima",56 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-2-domritorios-1-149454451.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=22
1,"S/ 4,500 · USD 1,300",S/ 430 Mantenimiento,Calle José Gálvez al 600-alquiler 140m2 con Jardín Privado,"Miraflores, Lima",140 m² tot.,2 dorm.,3 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-con-jardin-privado-y-terraza-en-149554828.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=23
1,"S/ 10,500 · USD 3,000","S/ 1,200 Mantenimiento",malecon balta,"Miraflores, Lima",240 m² tot.,3 dorm.,3 baños,3 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-dpto.-malecon-balta-63365013.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=24
1,"S/ 16,750 · USD 995,000","S/ 1,500 Mantenimiento",Malecón de la Marina 150,"Miraflores, Lima",247 m² tot.,3 dorm.,3 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-vendo-alquilo-departamento-equipado-de-247-m-sup2--64321782.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=25
