pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL
33,"S/ 1,836,000 · USD 540,000","S/ 1,213 Mantenimiento",Jirón Conde de la Vega del Ren al 400,"Santiago de Surco, Lima",396 m² tot.,3 dorm.,5 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-venta-chacarilla-surco-duplex-vista-149640590.html?n_src=Listado&n_pills=Seguridad&n_pg=33&n_pos=1
33,"S/ 1,368,495 · USD 405,000",S/ 550 Mantenimiento,"Av. Ernesto Montagne al 600 3D, Gran Terraza Y 02 Cocheras","Aurora, Miraflores",220 m² tot.,3 dorm.,3 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-triplex-3-dorm.-sala-de-estar-gran-149145539.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=33&n_pos=2
33,"S/ 502,500 · USD 150,000",,"Amplio y Espacioso Dúplex en San Miguel – Súper Iluminado y a Excelente Precio $150,000 No Cochera","San Miguel, Lima",140 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/veclapin-duplex-en-venta-calle-londres-urb.-cerrada-cerca-a-149272950.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=33&n_pos=3
33,"S/ 484,400 · USD 144,597",S/ 280 Mantenimiento,Av. Javier Prado Cerca al Centro Financiero,"San Isidro, Lima",45 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-de-moderno-departamento-1-dormitorio-con-vista-148994152.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=33&n_pos=4
33,"S/ 1,004,000 · USD 299,000",S/ 650 Mantenimiento,"Chacarilla V. Astete con C. Inca Parques, Colegios, 4 Habitaciones 3 Estacionamientos. 216m2","Santiago de Surco, Lima",216 m² tot.,3 dorm.,2 baños,3 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-chacarilla-v.-astete-con-c.-inca-parques-colegios-4-148881851.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=33&n_pos=5
33,"S/ 960,000 · USD 275,000",S/ 400 Mantenimiento,Av. Carriquiry al 800 3D 117m2 Y 01 Cochera,"San Isidro, Lima",117 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-moderno-con-vista-panoramica-piso-20-147826220.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=33&n_pos=6
33,"S/ 3,950,000 · USD 1,185,000",,Pezet 517m2 Casa Para Remodelar a Precio de Terreno en Excelente Zona,"San Isidro, Lima",517 m² tot.,,,,https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-en-venta-en-excelente-ubicacion-517-m-sup2--149094712.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=33&n_pos=7
33,"S/ 4,162,500 · USD 1,250,000",,Paul Harris al 400,"San Isidro, Lima",314 m² tot.,4 dorm.,4 baños,3 estac.,https://www.adondevivir.com/propiedades/clasificado/veclcain-se-vende-casa-en-paul-harris-san-isidro-148251432.html?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=33&n_pos=8
33,"S/ 10,370,000 · USD 3,100,000",,Avenida del Parque - La Planicie Alt.de la Tranquera,"La Planicie, La Molina",5350 m² tot.,9 dorm.,12 baños,10 estac.,https://www.adondevivir.com/propiedades/clasificado/veclcain-venta-mansion-exclusiva-en-la-planicie-con-piscina-y-148036599.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=33&n_pos=9
33,"S/ 494,000 · USD 133,429",,Av. San Felipe al 400 Vista a Parque,"Jesús María, Lima",51 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-departamento-de-2-dorm.-con-vista-a-parque-en-av-149023815.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=33&n_pos=10
33,"S/ 622,000 · USD 180,290",,Jr. Brigadier Mateo Pumacahua al 1000 Cerca a Parque,"Jesús María, Lima",68 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-departamento-de-2-dorm.-cerca-a-parque-y-1-cdra.-149017051.html?n_src=Listado&n_pills=Seguridad&n_pg=33&n_pos=11
