Código Modular|Anexo|Nombre de SS.EE.|Ubigeo|Departamento|Provincia|Distrito|Código DRE/UGEL|DRE / UGEL|Centro Poblado|Código Centro Poblado|Código Local|Dirección|Nivel / Modalidad|Gestion / Dependencia|Latitud|Longitud|Altitud|Fuente de coordenadas
1723352|0|INNOVA SCHOOLS - BERTELLO|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|FUNDO CHACRARIO|567819|805206|SUB LOTE 5-B MZ C LOTE 3-4-5|Inicial - Jardín|Privada - Particular|-12.06259000|-77.06233000|104|UBICACION_WEB_MED (LOCAL)
1723360|0|INNOVA SCHOOLS - BERTELLO|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|FUNDO CHACRARIO|567819|805206|SUB LOTE 5-B MZ C LOTE 3-4-5|Primaria|Privada - Particular|-12.06259000|-77.06233000|104|UBICACION_WEB_MED (LOCAL)
1723378|0|INNOVA SCHOOLS - BERTELLO|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|FUNDO CHACRARIO|567819|805206|SUB LOTE 5-B MZ C LOTE 3-4-5|Secundaria|Privada - Particular|-12.06259000|-77.06233000|104|UBICACION_WEB_MED (LOCAL)
0334821|0|0001 MARIA AUXILIADORA|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|288860|JIRON ISAIAS CLIVIO 237|Primaria|Pública - En convenio|-12.04671000|-77.01373000|184|UBICACION_WEB_MED (LOCAL)
0466730|0|0001 MARIA AUXILIADORA|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|288860|JIRON ISAIAS CLIVIO 237|Secundaria|Pública - En convenio|-12.04671000|-77.01373000|184|UBICACION_WEB_MED (LOCAL)
1048792|0|0035 NUESTRA SEÑORA DE LA VISITACION|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|288054|JIRON PACASMAYO 550|Inicial - Jardín|Pública - Sector Educación|-12.04618600|-77.04688300|132|MED_REG (LOCAL)
0466383|0|0035 NUESTRA SEÑORA DE LA VISITACION|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|288054|JIRON PACASMAYO 550|Secundaria|Pública - Sector Educación|-12.04618600|-77.04688300|132|MED_REG (LOCAL)
0334938|0|0035 NUESTRA SEÑORA DE LA VISITACION|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|288054|JIRON PACASMAYO 550|Primaria|Pública - Sector Educación|-12.04618600|-77.04688300|132|MED_REG (LOCAL)
0334961|0|0038 SAN MARTIN DE PORRES|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|287912|JIRON ASCOPE 142|Primaria|Pública - Sector Educación|-12.03948000|-77.04636000|127|UBICACION_WEB_MED (LOCAL)
0537597|0|0038 SAN MARTIN DE PORRES|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|287912|JIRON ASCOPE 142|Inicial - Jardín|Pública - Sector Educación|-12.03948000|-77.04636000|127|UBICACION_WEB_MED (LOCAL)
0337345|0|0040 HIPOLITO UNANUE|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|288092|AVENIDA ELVIRA GARCIA Y GARCIA S/N|Básica Alternativa - Avanzado|Pública - Sector Educación|-12.05265000|-77.07040000|94|UBICACION_WEB (LOCAL)
0334656|0|0040 HIPOLITO UNANUE|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|288092|AVENIDA ELVIRA GARCIA Y GARCIA S/N|Secundaria|Pública - Sector Educación|-12.05265000|-77.07040000|94|UBICACION_WEB (LOCAL)
0334979|0|0040 HIPOLITO UNANUE|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|288092|AVENIDA ELVIRA GARCIA Y GARCIA S/N|Primaria|Pública - Sector Educación|-12.05265000|-77.07040000|94|UBICACION_WEB (LOCAL)
0466375|0|0095 MARIA AUXILIADORA|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|288105|AVENIDA MATERIALES 2005|Primaria|Pública - Sector Educación|-12.04113000|-77.06812000|94|UBICACION_WEB_MED (LOCAL)
1242510|0|0095 MARIA AUXILIADORA|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|288105|AVENIDA MATERIALES 2005|Secundaria|Pública - Sector Educación|-12.04113000|-77.06812000|94|UBICACION_WEB_MED (LOCAL)
0478420|0|0099 OSCAR MIRO QUESADA DE LA GUERRA|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|288110|JIRON PARURO 231|Primaria|Pública - Sector Educación|-12.04595000|-77.02188000|168|UBICACION_WEB (LOCAL)
0644880|0|0099 OSCAR MIRO QUESADA DE LA GUERRA|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|288110|JIRON PARURO 231|Secundaria|Pública - Sector Educación|-12.04595000|-77.02188000|168|UBICACION_WEB (LOCAL)
0337741|0|022 REPUBLICA DE GUATEMALA|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|288469|JIRON MANUEL PARDO 225|Secundaria|Pública - Sector Educación|-12.04685000|-77.01556000|182|UBICACION_WEB_MED (LOCAL)
1492206|0|022 REPUBLICA DE GUATEMALA|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|288469|JIRON MANUEL PARDO 225|Inicial - Jardín|Pública - Sector Educación|-12.04685000|-77.01556000|182|UBICACION_WEB_MED (LOCAL)
1390426|0|022 REPUBLICA DE GUATEMALA|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|288469|JIRON MANUEL PARDO 225|Primaria|Pública - Sector Educación|-12.04685000|-77.01556000|182|UBICACION_WEB_MED (LOCAL)
0335281|0|030 SANTA TERESITA DEL DIVINO NIÑO|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|288011|JIRON JOSE DIAZ 412|Inicial - Jardín|Pública - Sector Educación|-12.06868000|-77.03501000|135|UBICACION_WEB_MED (LOCAL)
0482323|0|06 REPUBLICA DE HOLANDA|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|287790|JIRON CARABAYA 1171|Inicial - Jardín|Pública - Sector Educación|-12.05526000|-77.03562000|147|UBICACION_WEB (LOCAL)
0605683|0|077 MANZANILLA|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|702581|AVENIDA NICOLAS AYLLON CDRA 3 S/N|Inicial - Cuna Jardín|Pública - Sector Educación|-12.05753000|-77.01097000|178|UBICACION_WEB_MED (LOCAL)
0605741|0|088 NIÑA MARIA|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|287931|JIRON CONDE DE SUPERUNDA 446|Inicial - Cuna Jardín|Pública - Municipalidad|-12.04297000|-77.03416000|153|UBICACION_WEB_MED (LOCAL)
0702936|0|097 MINISTERIO PUBLICO|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|287969|JIRON AYACUCHO 613|Inicial - Cuna Jardín|Pública - Otro Sector Público|-12.05165000|-77.02742000|164|UBICACION_WEB (LOCAL)
0763656|0|100 VIRGEN DE LA MERCED|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|288742|AVENIDA MORALES DUAREZ 2053|Inicial - Jardín|Pública - Sector Educación|-12.03522000|-77.06850000|83|UBICACION_WEB_MED (LOCAL)
0632471|0|1001 JOSE JIMENEZ BORJA|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|288167|JIRON WASHINGTON 1454|Secundaria|Pública - Sector Educación|-12.05908000|-77.03922000|144|UBICACION_WEB (LOCAL)
0336297|0|1001 JOSE JIMENEZ BORJA|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|288167|JIRON WASHINGTON 1454|Primaria|Pública - Sector Educación|-12.05908000|-77.03922000|144|UBICACION_WEB (LOCAL)
0763680|0|101 LIBERTADOR SIMON BOLIVAR|150101|LIMA|LIMA|LIMA|150104|03 BREÑA|LIMA CERCADO|523312|287988|JIRON RAMON CARCAMO 195|Inicial - Jardín|Pública - Sector Educación|-12.04028100|-77.05130900|123|MED_REG (LOCAL)
