@id	name	brand	addr:district	addr:street	addr:city	@lat	@lon
654145632	Ripley	Ripley		Nave Central	Santiago de Surco	-12.0862037	-76.9753818
762771692	Alejandro					-12.0781388	-77.0693745
959828530	Plaza Vea	Plaza Vea			Cercado de Lima	-12.0574878	-77.0376989
1107564688	Plaza Vea	Plaza Vea				-12.0220304	-76.9969498
1278915822	Real Plaza					-12.0565750	-77.0375943
1302229321	"Bodega ""Carlitos"""					-12.0758132	-76.9863222
1422429994	Plaza Vea			C.C. Plaza del Sol		-11.1099384	-77.6132549
1426626482	Wong			Jirón Ucello	San Borja	-12.0898830	-77.0055793
1428382251	Comercial Rose y Gus					-12.0375885	-77.0484220
1431212652	Tambo+	Tambo+		Avenida Del Ejército	Miraflores	-12.1146520	-77.0472762
1588685006				Avenida Universitaria	Callao	-12.0429455	-77.0774083
1705270783	Mercado Bolivar					-12.0728734	-77.0655359
1800680808	Tottus Atocongo			Avenida Circunvalación		-12.1475791	-76.9807458
1800703425	Max y Antonia					-12.1355907	-76.9848230
1917982797	Metro	Metro				-12.0062986	-77.0600749
1917986232	Tottus	Tottus		Alfredo Mendiola	Independencia	-11.9939964	-77.0619646
1917986264	Ripley Max			Libertadores	Independencia	-11.9956134	-77.0620124
1917986267	Falabella	Falabella		Pasillo este	Independencia	-11.9936658	-77.0603622
1921401815	Estocker Market		Lince	Avenida Prolongación Iquitos	Lima	-12.0886061	-77.0290439
1921403735						-12.0877799	-77.0298913
1922933467	Wong					-12.7621220	-76.6011594
1933959547	Mercado Municipal Churin					-10.8090493	-76.8751660
2099768078	Plaza Vea	Plaza Vea				-12.0916358	-76.9502115
2099768082	Wong					-12.0918502	-76.9508679
2114005142	Ripley	Ripley		Calle Sur	Independencia	-12.0074075	-77.0591555
2114005157	Ripley	Ripley				-12.0774676	-77.0827161
2116516462	Tottus	Tottus		Avenida La Marina	San Miguel	-12.0792883	-77.0884094
2331354183	"Mercado ""La Parada"""					-11.1036214	-77.6090842
2450084490	Wong			Rio Mantaro	San Miguel	-12.0767080	-77.0812190
2500711602	Bodega Estelita			Avenida Los Angeles	Lima	-11.9395592	-77.0608419
2642867143	Minimarket Urcosol					-12.0720488	-77.0686946
2642873727	Bagueteria Sergio					-12.0723797	-77.0693613
2644956629	Plaza Vea	Plaza Vea				-12.0481304	-77.0330813
2663483707	Tottus Express	Tottus	Miraflores	28 de Julio	Lima	-12.1295635	-77.0223023
2670622746	Centro Comercial Balta					-12.1229297	-77.0322474
2681637220	Ripley	Ripley				-12.7627918	-76.6028447
2692670974	Plaza Vea	Plaza Vea		Antigua Panamericana Sur	Lurín	-12.2740710	-76.8733897
2699371196	Falabella	Falabella				-12.0062842	-77.0570894
2699377941	Estilos			Calle Norte	Independencia	-12.0055400	-77.0576157
2722757649	Falabella	Falabella		Avenida La Marina	San Miguel	-12.0767175	-77.0834859
2742388361	Plaza Vea	Plaza Vea		Plazuela	Santiago de Surco	-12.0849172	-76.9756698
2745593466	CasaIdeas			Pasadiso París	Santiago de Surco	-12.0866111	-76.9759858
2799370511	Plaza Vea	Plaza Vea		Avenida Guardia Civil Sur		-12.1728213	-76.9926674
2931135074	Mercado María Magdalena					-10.7963988	-77.7150807
2970225329						-11.4873770	-77.3042077
3010730359	Mercado Productores de Santa Anita			Avenida La Cultura	Santa Anita	-12.0418806	-76.9482449
3063482682	Mercado Villa Jardín					-12.0782484	-76.9920742
3063581760	Mercado Tantamayo					-11.9593354	-77.0967296
3066057813						-12.0890639	-77.0622251
3066057814						-12.0903850	-77.0646253
3066057822	Oxxo					-12.0887745	-77.0647530
3066057823						-12.0894751	-77.0661461
3077649261	Donna					-12.0830756	-76.8977099
3128492686	Mercado N° de Santa Clara					-12.0191716	-76.8868050
3196468244	Minimarket Donatella			Avenida Coronel Reynaldo Vivanco	Lima	-12.1162638	-76.9787570
3214772662	Silvia					-12.1520750	-76.9863377
3214772708						-12.1512443	-76.9856851
3214772718						-12.1514539	-76.9860533
3214772731						-12.1516990	-76.9862353
3214772749						-12.1521032	-76.9863006
3214772757						-12.1522677	-76.9864048
3214772759						-12.1523309	-76.9880903
3216763972						-12.0694184	-77.1019019
3224279495						-12.1509478	-76.9855128
3225907898				Avenida Los Próceres	Santiago de Surco	-12.1497918	-76.9869775
3225907904						-12.1504026	-76.9876508
3225932837				Pasaje Antonio José de Sucre		-12.1487834	-76.9860985
3234756228	Galería comercial Barrio chino					-12.0516519	-77.0255944
3264619417				Pasaje de Rosa Merino		-12.1534449	-76.9848095
3264619436				Pasaje de Rosa Merino		-12.1544562	-76.9854794
3264619439				Pasaje de Rosa Merino		-12.1549035	-76.9856905
3289023999	Bodega Gloria					-12.0780156	-76.9873560
3293619473				Los Tallanes		-12.0768444	-76.9889782
3293761062	Mercado de salamanca			Garcilazo de la Vega		-12.0753999	-76.9875570
3293764126						-12.0751140	-76.9874873
3293803187						-12.0756404	-76.9869454
3293804434						-12.0741023	-76.9869562
3445784188	Ransa Comercial					-12.1196535	-77.0372316
3597500447	Bodega Superman					-12.0121708	-77.0559103
3637860573						-12.1378563	-77.0016192
3637860574						-12.1378058	-77.0015907
3637902625						-12.1376601	-77.0014541
3638044170						-12.1339862	-76.9989497
3638048485	Mini Stop					-12.1397791	-77.0031480
3638048487	Mini Stop					-12.1399003	-77.0032151
3638063599	Oxxo	Oxxo				-12.1450683	-77.0039375
3643448084	Emolientero de Surco					-12.1380772	-77.0016148
3643448088	Epicerie					-12.1381495	-77.0013814
3649762007	Metro	Metro		Jirón Áncash	El Agustino	-12.0405547	-77.0012765
3742135513						-12.1273521	-76.8112295
3759586691	Plaza Vea					-12.2313377	-76.9106984
3783331596	A3	A3 Hard Discount				-12.0212536	-77.0536171
3788360422	Dolce Mela Valle Hermoso			Avenida Jacaranda		-12.1268803	-76.9752005
3792309447						-11.9905874	-77.0526951
3792310914	Tienda Charles					-12.0109999	-77.0560612
3792313785	Tienda Don Piki					-12.0109571	-77.0553186
3802999337	El Paso Market			Avenida Inca Molle	Cieneguilla	-12.1192152	-76.8132981
3818709198						-12.1870127	-76.4628920
3877232975	Epicerie					-12.1337970	-76.9927093
3949420738	Listo!					-12.0731197	-76.9649997
3964618808	Oechsle	Oechsle				-12.0562485	-77.0377515
3969040718	Rivera					-11.9392427	-77.0665640
3998135543						-11.9587187	-77.0525227
4022683717	Ripley	Ripley		Avenida Javier Prado Este		-12.0888432	-77.0052210
4022683739	Oechsle	Oechsle				-12.0901346	-77.0050646
4022683740	Plaza Vea	Plaza Vea				-12.0899140	-77.0042670
4029952258	Galeria La estrella de Caquetá			Jirón Esteban Salmón	Rímac	-12.0338958	-77.0426388
4034986270	Galería Capón				Barrios Altos	-12.0511865	-77.0251655
4035459874	Tottus	Tottus				-12.0856462	-76.9791644
4035480052	Oechsle	Oechsle		Barrio Jockey	Santiago de Surco	-12.0869817	-76.9754531
4039208921	Las Malvinas					-12.0418383	-77.0181061
4040883405	Tottus	Tottus		Avenida Pedro José Miotta	San Juan de Miraflores	-12.1555349	-76.9816331
4040883417	Falabella	Falabella		Avenida Pedro José Miotta	San Juan de Miraflores	-12.1540439	-76.9825652
4041028591	Metro	Metro				-12.1735816	-77.0126796
4041042897	Tu Bazar					-12.1597501	-77.0096074
4042592132	Oechsle	Oechsle		Angamos Este	San Borja	-12.1113215	-77.0018244
4042592134	Metro	Metro				-12.1102677	-77.0021214
4042632144	Plaza Vea	Plaza Vea				-12.0657587	-77.0485241
4042632151	París	París				-12.0662237	-77.0479965
4042632170	Quality Store					-12.0660351	-77.0470944
4042632172	Ripley	Ripley				-12.0663368	-77.0472580
4042685261	Falabella	Falabella				-12.0571756	-77.0377311
4044617058	Plaza Vea	Plaza Vea				-12.0157497	-76.8861462
4051161912	El Óvalo					-12.0539353	-76.9635090
4077142609	Mercado Huamantaga			Carretera Panamericana Norte		-11.8635398	-77.0748957
4077383012	Mercado de Productores de San Isidro			Avenida Perez Araníbar		-12.1087760	-77.0537496
4077576803	Plaza Vea	Plaza Vea				-11.9396555	-77.0698289
4101276989	In One			Avenida Chinchaysuyo	Independencia	-11.9785180	-77.0523301
4102715294	Tottus			Avenida San Luis	San Borja	-12.0973340	-76.9947601
4102743991	Bodega Imadori San					-12.1639579	-76.9971354
4103971789						-12.1740822	-77.0021804
4115247898	Bodiga Gonzales					-12.3566216	-76.8024718
4119559003	Galería Mina de Oro					-12.0533446	-77.0260148
4119559004	Galería Cuzco			Jirón Cuzco	Barrios Altos	-12.0532135	-77.0263460
4119559012	Comercial Cami			Jirón Andahuaylas	Cercado de Lima	-12.0534071	-77.0267006
4119559798	Galería Tradición					-12.0522394	-77.0285499
4119559799	Mercado Central					-12.0526789	-77.0275729
4122124001	Huancaya					-12.2046092	-75.7992496
4124950381	Señor de los Milagros			Jirón Cañete	Cercado de Lima	-12.0444186	-77.0390824
4124950382						-12.0442235	-77.0405352
4133895929	Distribuidora nuevo mundo			Avenida Alvarez de Arenales		-12.0916777	-77.0347503
4137563992						-12.1302864	-77.0175718
4139069973	Economax					-12.0649801	-77.0297755
4139070892	Mercado Municipal Manco Cápac			Avenida Manco Cápac	La Victoria	-12.0688843	-77.0289717
4139512201						-12.1334288	-77.0162043
4139512202				Santa Camela		-12.1333134	-77.0158476
4143692375	Vivanda Pezet			Avenida General Juan Antonio Pezet	San Isidro	-12.1025598	-77.0521770
