iter	RMSE
0	1907.04733
1	1773.907979
2	1650.309242
3	1543.210913
4	1438.790515
5	1346.830052
6	1268.69806
7	1194.853365
8	1126.227897
9	1064.784093
10	1005.404738
11	946.8513122
12	900.5166773
13	853.7144575
14	813.9563822
15	776.6976004
16	744.7553426
17	717.4378353
18	688.2403758
19	663.5307125
20	643.5977502
21	618.0616656
22	595.067629
23	573.8298699
24	557.7749016
25	540.5418404
26	525.8954353
27	512.122011
28	495.9650618
29	485.8621257
30	474.8734036
31	461.6246895
32	451.3962365
33	442.3838244
34	434.8100239
35	426.6105184
36	420.0939284
37	409.8840469
38	400.33281
39	394.3549025
40	386.5484981
41	378.6435967
42	370.6666749
43	365.4689115
44	358.1157788
45	352.2047373
46	348.2368726
47	340.8675676
48	335.4377415
49	331.009008
50	325.545438
51	321.2685079
52	315.764128
53	310.8334029
54	307.3320673
55	303.6991395
56	299.4641693
57	296.7230691
58	292.3927971
59	287.8045361
60	283.8947325
61	281.622368
62	278.0014051
63	274.6014079
64	270.7712029
65	267.4291467
66	265.1157865
67	261.6744566
68	258.5332309
69	256.456904
70	253.9769968
71	251.3521923
72	249.2813223
73	246.9274173
74	244.6488961
75	242.1417035
76	240.383641
77	239.0981554
78	236.8331282
79	234.8524472
80	232.8125175
81	230.2968456
82	228.0789705
83	226.2138081
84	224.8335981
85	223.3505925
86	221.2611157
87	219.1854471
88	217.2650139
89	215.663907
90	213.2944384
91	211.642466
92	210.2769737
93	208.3621821
94	206.4554107
95	204.9582025
96	202.784159
97	201.6295128
98	199.8744111
99	198.8599555
100	197.2096636
101	195.4388792
102	193.8875872
103	192.5522122
104	191.3537034
105	190.1413723
106	188.5211579
107	187.1517741
108	185.7013038
109	184.40372
110	183.4206075
111	182.1792358
112	180.8315461
113	179.9794624
114	178.9452962
115	177.7025589
116	176.560493
117	175.6995056
118	174.7080996
119	173.2207506
120	171.885431
121	170.9045075
122	169.8234676
123	169.0959633
124	168.2741731
125	167.580792
126	166.6377068
127	165.4143983
128	164.5235498
129	163.1775444
130	162.0180068
131	160.876117
132	160.2047901
133	159.1647717
134	158.5730018
135	157.9619658
136	157.2283206
137	156.2677009
138	155.1961889
139	154.248404
140	153.587104
141	152.8915798
142	152.2117123
143	151.352392
144	150.8762434
145	149.9868199
146	149.1679198
147	148.6200521
148	147.7321899
149	146.9392402
150	145.9750408
151	145.6059625
152	144.9892289
153	144.3797006
154	143.4196516
155	142.9190764
156	141.9870396
157	141.4479117
158	140.734947
159	139.9309621
160	139.0079
161	138.471481
162	138.0031298
163	137.4412105
164	136.7609184
165	136.1463546
166	135.4540918
167	135.0374666
168	134.2699635
169	133.4919702
170	133.0259342
171	132.387306
172	132.0298757
173	131.6101248
174	130.7616384
175	130.2810208
176	129.7637288
177	129.2080712
178	128.4811201
179	127.8558036
180	127.2453966
181	126.6655065
182	126.2681436
183	125.8537152
184	125.4293688
185	124.8887312
186	124.3580558
187	123.8172563
188	123.4274107
189	122.9458203
190	122.6452124
191	122.1509525
192	121.7996798
193	121.4362754
194	120.6705325
195	120.1610395
196	119.8182752
197	119.5399642
198	119.1211367
199	118.4752093
