iter	Passed	Remaining
0	1	252
1	2	232
2	3	224
3	4	228
4	5	219
5	6	216
6	7	212
7	8	208
8	9	200
9	10	193
10	10	187
11	11	184
12	12	180
13	13	176
14	14	172
15	14	169
16	15	167
17	16	165
18	17	162
19	17	160
20	18	158
21	19	156
22	20	154
23	20	152
24	21	150
25	22	149
26	23	147
27	23	145
28	24	144
29	25	142
30	25	140
31	26	139
32	27	138
33	28	136
34	28	135
35	29	134
36	30	132
37	30	131
38	31	130
39	32	128
40	32	127
41	33	126
42	34	125
43	35	124
44	35	123
45	36	123
46	37	121
47	38	120
48	38	119
49	39	118
50	40	117
51	40	116
52	41	115
53	42	114
54	43	113
55	43	112
56	44	111
57	45	110
58	45	109
59	46	108
60	47	107
61	47	106
62	48	106
63	49	105
64	50	104
65	51	103
66	52	103
67	52	102
68	53	101
69	54	100
70	55	99
71	55	99
72	56	98
73	57	97
74	58	96
75	58	96
76	59	95
77	60	94
78	61	93
79	62	93
80	62	92
81	63	91
82	64	90
83	65	89
84	65	88
85	66	88
86	67	87
87	68	86
88	68	85
89	69	85
90	70	84
91	71	83
92	71	82
93	72	81
94	73	80
95	73	80
96	74	79
97	75	78
98	76	77
99	76	76
100	77	75
101	78	75
102	79	74
103	79	73
104	80	72
105	81	72
106	82	71
107	82	70
108	83	69
109	84	68
110	84	68
111	85	67
112	86	66
113	87	65
114	87	65
115	88	64
116	89	63
117	90	62
118	90	61
119	91	61
120	92	60
121	92	59
122	93	58
123	94	57
124	95	57
125	95	56
126	96	55
127	97	54
128	97	53
129	98	53
130	99	52
131	99	51
132	100	50
133	101	49
134	102	49
135	102	48
136	103	47
137	104	46
138	105	46
139	105	45
140	106	44
141	107	43
142	108	43
143	108	42
144	109	41
145	110	40
146	111	40
147	111	39
148	112	38
149	113	37
150	113	36
151	114	36
152	115	35
153	116	34
154	116	33
155	117	33
156	118	32
157	118	31
158	119	30
159	120	30
160	121	29
161	122	28
162	122	27
163	123	27
164	124	26
165	124	25
166	125	24
167	126	24
168	127	23
169	128	22
170	128	21
171	129	21
172	130	20
173	130	19
174	131	18
175	132	18
176	133	17
177	133	16
178	134	15
179	135	15
180	136	14
181	136	13
182	137	12
183	138	12
184	138	11
185	139	10
186	140	9
187	141	9
188	141	8
189	142	7
190	143	6
191	144	6
192	144	5
193	145	4
194	146	3
195	147	3
196	147	2
197	148	1
198	149	0
199	150	0
