iter	RMSE
0	1957.850504
1	1868.198402
2	1780.466605
3	1697.313711
4	1622.136856
5	1548.928197
6	1486.650333
7	1426.773032
8	1367.336644
9	1323.020123
10	1274.844745
11	1227.303726
12	1187.077464
13	1148.963738
14	1119.890274
15	1092.49316
16	1061.688937
17	1039.379964
18	1020.139907
19	1001.044046
20	979.8299344
21	969.7328657
22	953.1608255
23	937.7166241
24	926.6521253
25	912.1527453
26	905.2086923
27	889.0855889
28	878.0518076
29	869.5814716
30	861.5853048
31	853.3020762
32	847.5036037
33	841.779682
34	835.6606389
35	830.2727074
36	823.649877
37	819.3080759
38	812.7619524
39	807.4843418
40	804.8608304
41	801.3821332
42	798.1556134
43	791.6847795
44	786.4353848
45	782.10634
46	777.4915435
47	775.498197
48	772.4935876
49	769.4858937
50	767.402873
51	762.9057903
52	760.4077541
53	757.4144401
54	755.3458885
55	752.4174631
56	750.8197349
57	748.7391765
58	745.8782942
59	742.6307153
60	740.54668
61	739.5170233
62	737.9293852
63	736.5186198
64	733.9559528
65	729.3941183
66	727.7626572
67	727.4544181
68	725.255659
69	724.0660618
70	722.8762266
71	721.7854669
72	719.5747823
73	718.9800965
74	717.6982472
75	716.0264117
76	714.8002891
77	713.6772971
78	712.0599763
79	710.7385836
80	710.6786776
81	708.9182234
82	706.5659847
83	705.1723212
84	703.9824977
85	703.3493499
86	702.39201
87	700.5022883
88	699.8353655
89	699.1504832
90	697.5335614
91	695.5953512
92	693.2635854
93	692.7196099
94	692.5653334
95	689.4311065
96	688.4664279
97	687.4664331
98	686.3012574
99	685.8665123
100	684.5834277
101	683.6065858
102	682.4180341
103	681.8391593
104	680.2163601
105	679.1705195
106	677.8833136
107	676.917822
108	675.3117302
109	673.6310502
110	669.4761771
111	668.7923793
112	666.6188418
113	664.7303396
114	663.7918094
115	662.9705989
116	661.9308045
117	661.8659619
118	660.2013096
119	658.7703321
120	656.6279796
121	655.6068611
122	654.8320266
123	652.2673599
124	650.6236303
125	650.6168146
126	649.5598742
127	647.9817389
128	645.4494674
129	643.6282718
130	643.5166909
131	642.3356461
132	638.3214988
133	635.2367899
134	629.3168625
135	629.2203465
136	623.0520814
137	622.0004623
138	618.8421449
139	616.9732497
140	611.9174513
141	610.0576767
142	607.8405105
143	605.8106955
144	602.8829755
145	599.0070943
146	597.0246238
147	592.266322
148	590.0671055
149	588.4939761
150	585.7481853
151	580.0870843
152	576.6492735
153	574.4937053
154	572.0279409
155	570.0278195
156	566.3122058
157	563.4679294
158	560.2147123
159	557.6810683
160	555.2452582
161	553.3109279
162	551.5296767
163	550.1171526
164	546.4828632
165	545.1200359
166	541.4585741
167	538.2198495
168	534.0497706
169	532.0778893
170	530.1145963
171	527.2191877
172	523.7758453
173	521.9957283
174	519.3334016
175	517.5273948
176	515.6297462
177	513.335845
178	510.3990533
179	508.9346138
180	506.264717
181	503.6258599
182	501.4085519
183	499.8234824
184	498.5065547
185	497.1723927
186	496.1347826
187	493.9523023
188	492.0055687
189	489.9108317
190	487.2699621
191	485.4379431
192	484.1543928
193	483.0723119
194	478.8716562
195	477.2477771
196	475.2514889
197	473.911916
198	472.1821883
199	470.3784607
200	468.2456998
201	465.0029698
202	464.1002271
203	462.5901941
204	460.8751216
205	457.814215
206	456.6436353
207	455.1856031
208	452.6314099
209	449.9347993
210	448.7395695
211	447.4429524
212	446.7334719
213	444.7432235
214	442.7041513
215	441.1526975
216	439.585493
217	438.8299048
218	437.3398766
219	434.6168911
220	433.0704718
221	430.6685164
222	428.1362658
223	426.0875185
224	425.1518081
225	423.6853907
226	421.6763266
227	420.6528724
228	418.8448664
229	417.7277025
230	417.0577573
231	415.3464449
232	414.0163436
233	412.1687352
234	411.3835541
235	410.2193174
236	408.2575104
237	405.9770729
238	404.5881831
239	403.4683539
240	401.9021721
241	401.1693914
242	399.0461442
243	397.3745121
244	396.2824321
245	394.7094446
246	393.3086481
247	391.9018017
248	390.3730528
249	389.005669
250	387.0707092
251	386.4633526
252	385.1240839
253	383.423684
254	382.7838426
255	382.2593089
256	381.263463
257	380.1159837
258	379.4832774
259	378.4726671
260	377.674255
261	376.7714384
262	375.6213499
263	373.8766908
264	372.7537072
265	371.3033097
266	369.6609679
267	369.1689746
268	368.7112286
269	366.6593071
270	364.6500747
271	362.0377404
272	361.5308986
273	360.0061375
274	358.7943794
275	357.1180842
276	356.7201579
277	355.4594622
278	354.4609242
279	353.6603226
280	352.5003746
281	351.7689079
282	350.8039291
283	349.9015865
284	348.3041958
285	347.5520788
286	345.9579721
287	344.8397163
288	344.2262082
289	343.7781286
290	342.7561767
291	342.0859181
292	341.5653015
293	340.38143
294	339.4708113
295	338.4464878
296	337.2401159
297	335.7530838
298	334.415584
299	333.2952255
300	332.7580201
301	332.1568461
302	330.9646118
303	330.4637616
304	329.5948698
305	328.9506941
306	328.4234287
307	327.6993539
308	327.0816751
309	326.7289585
310	326.2493968
311	324.8189279
312	324.1191667
313	322.6940142
314	321.7489166
315	321.2077803
316	320.2863534
317	319.6714873
318	318.792605
319	318.1398688
320	317.6665313
321	316.8194522
322	315.8167276
323	314.713948
324	313.6058355
325	313.1520114
326	312.098209
327	311.6959483
328	310.9346882
329	310.2429277
330	309.8138043
331	309.4369166
332	308.8397931
333	308.2811904
334	307.948208
335	307.5291817
336	306.9697318
337	306.1395191
338	305.8492676
339	305.2950228
340	304.6887235
341	304.2913402
342	303.3394095
343	303.005907
