url,precio,mantenimiento,m2_total,dorms,banos,estac,direccion,distrito
https://urbania.pe/inmueble/proyecto/ememcein-proyecto-altavista-condominio-lima-san-miguel-san-jose-peru-3577480?n_src=Listado&n_pg=1&n_pos=1,Consultar precio,,120,3,,,"Av. Venezuela 2695, Bellavista- Límite con San Miguel","San Miguel, Lima"
https://urbania.pe/inmueble/proyecto/ememefin-proyecto-catalina-park-lima-la-victoria-v-v-grupo-inmobiliario-148218236?n_src=Listado&n_pg=1&n_pos=2,Consultar precio,,69,2,,,Jorge Salazar Araoz 171,"La Victoria, Lima"
https://urbania.pe/inmueble/proyecto/ememefin-proyecto-alquileres-semiamoblados-nomad-living-juan-de-arona-lima-san-isidro-ccla-nomad-living-4618731?n_src=Listado&n_pg=1&n_pos=3,"Departamentos desdeS/ 2,750",,60,2,,,Av. Juan de Arona 110,"San Isidro, Lima"
https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-javier-prado-san-borja-4-dormitorios-149791627?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=4,"S/ 5,440 · USD 420,000",,260,4,2,,Jirón Eduardo Lizarzaburu,"Javier Prado, San Borja"
https://urbania.pe/inmueble/clasificado/alclocin-alquiler-de-oficina-en-san-isidro-lima-147242595?n_src=Listado&n_pills=Frente+a+parque&n_pg=1&n_pos=5,"S/ 8,273 · USD 2,364",S/ 15 Mantenimiento,131,,,3,Andres reyes,"San Isidro, Lima"
https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-san-isidro-lima-1-dormitorio-148474708?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=6,"S/ 3,500 · USD 1,000",S/ 300 Mantenimiento,45,1,1,1,Calle Amador Merino Reyna,"San Isidro, Lima"
https://urbania.pe/inmueble/clasificado/alclocin-alquiler-de-oficina-en-miraflores-lima-147108522?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=7,"S/ 7,597 · USD 2,134","S/ 1,726 Mantenimiento",194,,2,1,"Calle Martin Olaya 129, Miraflores","Miraflores, Lima"
https://urbania.pe/inmueble/clasificado/alclocin-alquiler-de-oficina-en-san-isidro-lima-149248623?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=8,"S/ 36,507 · USD 10,898","S/ 5,721 Mantenimiento",545,,,14,Calle Las Orquídeas,"San Isidro, Lima"
https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-barranco-lima-2-dormitorios-149459747?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=9,"S/ 4,617 · USD 1,350",,146,2,3,,"Pje Belén 116, Barranco 15063, Perú","Barranco, Lima"
https://urbania.pe/inmueble/clasificado/alcllcin-alquiler-de-local-comercial-en-brena-lima-5-a-mas-dormitorios-145261845?n_src=Listado&n_pg=1&n_pos=10,"S/ 28,875 · USD 7,500",,1100,15,,,Jirón Centenario,"Breña, Lima"
https://urbania.pe/inmueble/clasificado/alcllcin-alquiler-de-local-comercial-en-jesus-maria-lima-149341317?n_src=Listado&n_pg=1&n_pos=11,"S/ 21,539 · USD 6,335",S/ 550 Mantenimiento,181,,2,,Jirón Inca Rípac,"Jesús María, Lima"
https://urbania.pe/inmueble/clasificado/alclocin-alquiler-de-oficina-en-san-isidro-lima-148958157?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=12,S/ 353,,5,,2,,"607 Jorge Basadre Avenue, San Isidro, Lima, Peru","San Isidro, Lima"
https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-jesus-maria-lima-3-dormitorios-149761667?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=13,"S/ 4,100 · USD 1,164",,126,3,3,1,"Av. República de Chile, Jesús María","Jesús María, Lima"
https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-santa-beatriz-lima-cercado-3-dormitorios-149578052?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=14,"S/ 2,500",S/ 320 Mantenimiento,72,3,2,,Av. Arequipa al 1400,"Santa Beatriz, Lima Cercado"
https://urbania.pe/inmueble/clasificado/alclocin-alquiler-de-oficina-en-san-isidro-lima-146881440?n_src=Listado&n_pg=1&n_pos=15,Consultar precio,,300,,,,Calla Dean Valdivia,"San Isidro, Lima"
https://urbania.pe/inmueble/clasificado/alcllcin-alquiler-de-local-comercial-en-san-juan-de-miraflores-lima-149196746?n_src=Listado&n_pg=1&n_pos=16,"S/ 20,000",,320,,5,1,Avenida Prolongacion Cesar Canevaro al 100,"San Juan de Miraflores, Lima"
https://urbania.pe/inmueble/clasificado/alclocin-alquiler-de-oficina-en-san-borja-lima-149272071?n_src=Listado&n_pg=1&n_pos=17,"S/ 5,950 · USD 1,730",,120,,1,3,Bronzino,"San Borja, Lima"
https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-san-isidro-lima-2-dormitorios-149390911?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=18,"S/ 4,550 · USD 1,300",S/ 350 Mantenimiento,60,2,2,1,"Av. Ricardo Rivera Navarrete N° 665, Edificio The Lead","San Isidro, Lima"
https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-santa-catalina-la-victoria-2-dormitorios-149290933?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=19,"S/ 2,500 · USD 720",S/ 70 Mantenimiento,67,2,1,,Nicolás Arriola Cuadra 2,"Santa Catalina, La Victoria"
https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-miraflores-lima-1-dormitorio-149248602?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=20,"S/ 3,230 · USD 950",S/ 350 Mantenimiento,93,1,1,1,Dalias 275,"Miraflores, Lima"
https://urbania.pe/inmueble/clasificado/alclocin-alquiler-de-oficina-en-miraflores-lima-149272958?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=21,"S/ 6,986 · USD 2,085",S/ 9 Mantenimiento,160,,1,,Calle Mártir José Olaya 129,"Miraflores, Lima"
